# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.159
metadata : {}


# id : NWRW1800000054.159.1.1
한국GM노조, 3000만원 받고 '정규직 장사'

한국GM노조,	한국/NNP+GM/SL+노조/NNG+,/SP
3000만원	3000/SN+만/NR+원/NNB
받고	받/VV+고/EC
'정규직	'/SS+정규직/NNG
장사'	장사/NNG+'/SS


# id : NWRW1800000054.159.2.1
회사와 짜고 5년간 123명 부정채용… 검찰, 31명 기소

회사와	회사/NNG+와/JKB
짜고	짜/VV+고/EC
5년간	5/SN+년/NNB+간/XSN
123명	123/SN+명/NNB
부정채용…	부정/NNG+채용/NNG+…/SE
검찰,	검찰/NNG+,/SP
31명	31/SN+명/NNB
기소	기소/NNG


# id : NWRW1800000054.159.3.1
인천지검 특수부(김형근 부장검사)는 협력업체 소속 비정규직 직원들을 정규직 직원으로 고용하는 '발탁 채용' 과정에서 지원자들로부터 뒷돈을 받고 성적을 조작한 혐의로 외국계 완성차 기업인 한국GM의 노사 부문 부사장과 상무 등 간부와 전·현직 노조 간부 등 31명(회사 간부 5명·노조 간부 17명·생산직 직원 등 기타 9명)을 기소했다고 7일 밝혔다.

인천지검	인천지검/NNP
특수부(김형근	특수부/NNG+(/SS+김형근/NNP
부장검사)는	부장/NNG+검사/NNG+)/SS+는/JX
협력업체	협력/NNG+업체/NNG
소속	소속/NNG
비정규직	비/XPN+정규직/NNG
직원들을	직원/NNG+들/XSN+을/JKO
정규직	정규직/NNG
직원으로	직원/NNG+으로/JKB
고용하는	고용/NNG+하/XSV+는/ETM
'발탁	'/SS+발탁/NNG
채용'	채용/NNG+'/SS
과정에서	과정/NNG+에서/JKB
지원자들로부터	지원자/NNG+들/XSN+로부터/JKB
뒷돈을	뒷돈/NNG+을/JKO
받고	받/VV+고/EC
성적을	성적/NNG+을/JKO
조작한	조작/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
외국계	외국/NNG+계/XSN
완성차	완성차/NNG
기업인	기업/NNG+이/VCP+ㄴ/ETM
한국GM의	한국GM/NNP+의/JKG
노사	노사/NNG
부문	부문/NNG
부사장과	부사장/NNG+과/JC
상무	상무/NNG
등	등/NNB
간부와	간부/NNG+와/JC
전·현직	전·현직/NNG
노조	노조/NNG
간부	간부/NNG
31명(회사	31/SN+명/NNB+(/SS+회사/NNG
5명·노조	5/SN+명/NNB+·/SP+노조/NNG
17명·생산직	17/SN+명/NNB+·/SP+생산직/NNG
직원	직원/NNG
기타	기타/NNG
9명)을	9/SN+명/NNB+)/SS+을/JKO
기소했다고	기소/NNG+하/XSV+았/EP+다고/EC
7일	7/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.159.3.2
'발탁 채용'은 업체 등으로부터 추천받은 사람을 서류전형과 면접 등의 절차를 거쳐 뽑는 것으로, 공채가 아닌 일종의 수시 채용이다.

'발탁	'/SS+발탁/NNG
채용'은	채용/NNG+'/SS+은/JX
업체	업체/NNG
등으로부터	등/NNB+으로부터/JKB
추천받은	추천/NNG+받/XSV+은/ETM
사람을	사람/NNG+을/JKO
서류전형과	서류/NNG+전형/NNG+과/JC
면접	면접/NNG
등의	등/NNB+의/JKG
절차를	절차/NNG+를/JKO
거쳐	거치/VV+어/EC
뽑는	뽑/VV+는/ETM
것으로,	것/NNB+으로/JKB+,/SP
공채가	공채/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
일종의	일종/NNG+의/JKG
수시	수시/NNG
채용이다.	채용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.159.4.1
검찰에 따르면 이 회사의 노조 간부들은 발탁 채용을 원하는 사람들에게서 뒷돈을 받고 회사 상무와 부사장 등 임원들에게 명단을 전달했다.

검찰에	검찰/NNG+에/JKB
따르면	따르/VV+면/EC
이	이/MMD
회사의	회사/NNG+의/JKG
노조	노조/NNG
간부들은	간부/NNG+들/XSN+은/JX
발탁	발탁/NNG
채용을	채용/NNG+을/JKO
원하는	원/NNG+하/XSV+는/ETM
사람들에게서	사람/NNG+들/XSN+에게서/JKB
뒷돈을	뒷돈/NNG+을/JKO
받고	받/VV+고/EC
회사	회사/NNG
상무와	상무/NNG+와/JC
부사장	부사장/NNG
등	등/NNB
임원들에게	임원/NNG+들/XSN+에게/JKB
명단을	명단/NNG+을/JKO
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.159.4.2
상무와 부사장은 이 명단을 인력관리팀 실무자들에게 넘겨 해당자들을 합격시키도록 지시했다.

상무와	상무/NNG+와/JC
부사장은	부사장/NNG+은/JX
이	이/MMD
명단을	명단/NNG+을/JKO
인력관리팀	인력/NNG+관리/NNG+팀/NNG
실무자들에게	실무자/NNG+들/XSN+에게/JKB
넘겨	넘기/VV+어/EC
해당자들을	해당자/NNG+들/XSN+을/JKO
합격시키도록	합격/NNG+시키/XSV+도록/EC
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.159.4.3
실무자들은 근무 경력과 나이, 학교 성적, 부서장 추천 점수 등 지원자의 이력 중에서 정확하게 확인하기 어려운 학교 성적을 주로 조작해 탈락자를 합격자로 만들었다.

실무자들은	실무자/NNG+들/XSN+은/JX
근무	근무/NNG
경력과	경력/NNG+과/JC
나이,	나이/NNG+,/SP
학교	학교/NNG
성적,	성적/NNG+,/SP
부서장	부서장/NNG
추천	추천/NNG
점수	점수/NNG
등	등/NNB
지원자의	지원자/NNG+의/JKG
이력	이력/NNG
중에서	중/NNB+에서/JKB
정확하게	정확/NNG+하/XSA+게/EC
확인하기	확인/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
성적을	성적/NNG+을/JKO
주로	주로/MAG
조작해	조작/NNG+하/XSV+아/EC
탈락자를	탈락자/NNG+를/JKO
합격자로	합격자/NNG+로/JKB
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.159.4.4
2012~2016년에 발탁 채용으로 이 회사 정규직에 합격한 사람은 모두 346명인데, 이 중 35.5%인 123명이 성적 조작을 통해 합격했다고 드러났다.

2012~2016년에	2012/SN+~/SO+2016/SN+년/NNB+에/JKB
발탁	발탁/NNG
채용으로	채용/NNG+으로/JKB
이	이/MMD
회사	회사/NNG
정규직에	정규직/NNG+에/JKB
합격한	합격/NNG+하/XSV+ㄴ/ETM
사람은	사람/NNG+은/JX
모두	모두/MAG
346명인데,	346/SN+명/NNB+이/VCP+ㄴ데/EC+,/SP
중	중/NNB
35.5%인	35/SN+./SP+5/SN+%/SW+이/VCP+ㄴ/ETM
123명이	123/SN+명/NNB+이/JKS
성적	성적/NNG
조작을	조작/NNG+을/JKO
통해	통하/VV+아/EC
합격했다고	합격/NNG+하/XSV+았/EP+다고/EC
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.159.4.5
2014~2015년엔 합격자의 70%가 이런 비리를 통해서 채용됐다.

2014~2015년엔	2014/SN+~/SO+2015/SN+년/NNB+에/JKB+ㄴ/JX
합격자의	합격자/NNG+의/JKG
70%가	70/SN+%/SW+가/JKS
이런	이런/MMD
비리를	비리/NNG+를/JKO
통해서	통하/VV+아서/EC
채용됐다.	채용/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.159.5.1
비정규직에서 정규직으로 바뀌면 고용이 안정된다.

비정규직에서	비/XPN+정규직/NNG+에서/JKB
정규직으로	정규직/NNG+으로/JKB
바뀌면	바뀌/VV+면/EC
고용이	고용/NNG+이/JKS
안정된다.	안정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.159.5.2
연봉은 대개 2배 이상 늘고, 각종 수당이나 자녀 학자금 지원 등의 복지 혜택도 늘어난다.

연봉은	연봉/NNG+은/JX
대개	대개/MAG
2배	2/SN+배/NNG
이상	이상/NNG
늘고,	늘/VV+고/EC+,/SP
각종	각종/NNG
수당이나	수당/NNG+이나/JC
자녀	자녀/NNG
학자금	학자금/NNG
지원	지원/NNG
등의	등/NNB+의/JKG
복지	복지/NNG
혜택도	혜택/NNG+도/JX
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.159.5.3
하지만 정상적인 방법으로는 정규직 채용이라는 문을 통과하기가 어려워 지원자들은 뒷돈을 쓰는 불법행위를 했다고 검찰은 밝혔다.

하지만	하지만/MAJ
정상적인	정상/NNG+적/XSN+이/VCP+ㄴ/ETM
방법으로는	방법/NNG+으로/JKB+는/JX
정규직	정규직/NNG
채용이라는	채용/NNG+이/VCP+라는/ETM
문을	문/NNG+을/JKO
통과하기가	통과/NNG+하/XSV+기/ETN+가/JKS
어려워	어렵/VA+어/EC
지원자들은	지원자/NNG+들/XSN+은/JX
뒷돈을	뒷돈/NNG+을/JKO
쓰는	쓰/VV+는/ETM
불법행위를	불법/NNG+행위/NNG+를/JKO
했다고	하/VV+았/EP+다고/EC
검찰은	검찰/NNG+은/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.159.5.4
수사 과정에서 검찰은 작년 11월부터 두 달 동안 '되도록 처벌하지 않겠다'는 조건을 걸고 브로커에게 돈을 준 사람 42명의 자수를 유도했다.

수사	수사/NNG
과정에서	과정/NNG+에서/JKB
검찰은	검찰/NNG+은/JX
작년	작년/NNG
11월부터	11/SN+월/NNB+부터/JX
두	두/MMN
달	달/NNG
동안	동안/NNG
'되도록	'/SS+되도록/MAG
처벌하지	처벌/NNG+하/XSV+지/EC
않겠다'는	않/VX+겠/EP+다/EF+'/SS+는/ETM
조건을	조건/NNG+을/JKO
걸고	걸/VV+고/EC
브로커에게	브로커/NNG+에게/JKB
돈을	돈/NNG+을/JKO
준	주/VV+ㄴ/ETM
사람	사람/NNG
42명의	42/SN+명/NNB+의/JKG
자수를	자수/NNG+를/JKO
유도했다.	유도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.159.6.1
'채용 장사'의 먹잇감이 된 사람들의 사연은 다양했다.

'채용	'/SS+채용/NNG
장사'의	장사/NNG+'/SS+의/JKG
먹잇감이	먹잇감/NNG+이/JKC
된	되/VV+ㄴ/ETM
사람들의	사람/NNG+들/XSN+의/JKG
사연은	사연/NNG+은/JX
다양했다.	다양/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000054.159.6.2
A씨는 한국GM의 협력업체에서 비정규직으로 일하면서 2006년부터 9번이나 정규직에 지원했으나 1차 서류전형조차 통과하지 못했다.

A씨는	A/SL+씨/NNB+는/JX
한국GM의	한국GM/NNP+의/JKG
협력업체에서	협력/NNG+업체/NNG+에서/JKB
비정규직으로	비/XPN+정규직/NNG+으로/JKB
일하면서	일/NNG+하/XSV+면서/EC
2006년부터	2006/SN+년/NNB+부터/JX
9번이나	9/SN+번/NNB+이나/JX
정규직에	정규직/NNG+에/JKB
지원했으나	지원/NNG+하/XSV+았/EP+으나/EC
1차	1/SN+차/NNB
서류전형조차	서류/NNG+전형/NNG+조차/JX
통과하지	통과/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.159.6.3
은행 대출까지 받아 마련한 돈 2000만원을 이 회사 식당에서 일하는 외숙모를 통해 노조에 주고 나서야 2015년 정식 직원이 될 수 있었다.

은행	은행/NNG
대출까지	대출/NNG+까지/JX
받아	받/VV+아/EC
마련한	마련/NNG+하/XSV+ㄴ/ETM
돈	돈/NNG
2000만원을	2000/SN+만/NR+원/NNB+을/JKO
이	이/MMD
회사	회사/NNG
식당에서	식당/NNG+에서/JKB
일하는	일/NNG+하/XSV+는/ETM
외숙모를	외숙모/NNG+를/JKO
통해	통하/VV+아/EC
노조에	노조/NNG+에/JKB
주고	주/VV+고/EC
나서야	나/VX+아서/EC+야/JX
2015년	2015/SN+년/NNB
정식	정식/NNG
직원이	직원/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.159.6.4
B씨는 7번 정규직 채용 지원에 실패한 뒤 브로커로부터 "7000만원이 필요하다"는 말을 들었다.

B씨는	B/SL+씨/NNB+는/JX
7번	7/SN+번/NNB
정규직	정규직/NNG
채용	채용/NNG
지원에	지원/NNG+에/JKB
실패한	실패/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
브로커로부터	브로커/NNG+로부터/JKB
"7000만원이	"/SS+7000/SN+만/NR+원/NNB+이/JKS
필요하다"는	필요/NNG+하/XSA+다/EF+"/SS+는/ETM
말을	말/NNG+을/JKO
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.159.6.5
그는 신용 문제로 은행 대출이 안 되자 환경미화원인 이모에게 돈을 빌렸다.

그는	그/NP+는/JX
신용	신용/NNG
문제로	문제/NNG+로/JKB
은행	은행/NNG
대출이	대출/NNG+이/JKS
안	안/MAG
되자	되/VV+자/EC
환경미화원인	환경미화원/NNG+이/VCP+ㄴ/ETM
이모에게	이모/NNG+에게/JKB
돈을	돈/NNG+을/JKO
빌렸다.	빌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.159.6.6
10번 떨어졌던 C씨도 은행 대출과 사채로 급전을 마련하려다 여의치 않자 어머니의 아파트를 담보로 7500만원을 마련한 뒤 우선 1000만원을 주고 지난해 합격했다.

10번	10/SN+번/NNB
떨어졌던	떨어지/VV+었/EP+던/ETM
C씨도	C/SL+씨/NNB+도/JX
은행	은행/NNG
대출과	대출/NNG+과/JC
사채로	사채/NNG+로/JKB
급전을	급전/NNG+을/JKO
마련하려다	마련/NNG+하/XSV+려다/EC
여의치	여의하/VA+지/EC
않자	않/VX+자/EC
어머니의	어머니/NNG+의/JKG
아파트를	아파트/NNG+를/JKO
담보로	담보/NNG+로/JKB
7500만원을	7500/SN+만/NR+원/NNB+을/JKO
마련한	마련/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
우선	우선/MAG
1000만원을	1000/SN+만/NR+원/NNB+을/JKO
주고	주/VV+고/EC
지난해	지난해/NNG
합격했다.	합격/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.159.7.1
취업 브로커들은 지원자 123명에게서 1인당 2000만~3000만원(최고 7500만원)씩 11억5200만원을 받았다.

취업	취업/NNG
브로커들은	브로커/NNG+들/XSN+은/JX
지원자	지원자/NNG
123명에게서	123/SN+명/NNB+에게서/JKB
1인당	1/SN+인/NNG+당/XSN
2000만~3000만원(최고	2000/SN+만/NR+~/SO+3000/SN+만/NR+원/NNB+(/SS+최고/NNG
7500만원)씩	7500/SN+만/NR+원/NNB+)/SS+씩/XSN
11억5200만원을	11/SN+억/NR+5200/SN+만/NR+원/NNB+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.159.7.2
이 중 8억7300만원(75.8%)을 전 노조 사무국장 함모(52)씨 등 노조 간부 17명이 챙겼다.

이	이/MMD
중	중/NNB
8억7300만원(75.8%)을	8/SN+억/NR+7300/SN+만/NR+원/NNB+(/SS+75/SN+./SP+8/SN+%/SW+)/SS+을/JKO
전	전/MMD
노조	노조/NNG
사무국장	사무국장/NNG
함모(52)씨	함/NNP+모/NP+(/SS+52/SN+)/SS+씨/NNB
등	등/NNB
간부	간부/NNG
17명이	17/SN+명/NNB+이/JKS
챙겼다.	챙기/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.159.7.3
특히 전 노조 지부장 정모(55)씨의 경우는 집 화장실 천장에 4억원, 자동차에 5000만원의 현금다발을 숨겨두었다가 검찰에 적발되기도 했다.

특히	특히/MAG
전	전/MMD
노조	노조/NNG
지부장	지부장/NNG
정모(55)씨의	정/NNP+모/NP+(/SS+55/SN+)/SS+씨/NNB+의/JKG
경우는	경우/NNG+는/JX
집	집/NNG
화장실	화장실/NNG
