# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.61
metadata : {}


# id : NWRW1800000049.61.1.1
‘티파티 대모’ 강경보수 페일린, 美보훈장관 후보로

‘티파티	‘/SS+티파티/NNP
대모’	대모/NNG+’/SS
강경보수	강경/NNG+보수/NNG
페일린,	페일린/NNP+,/SP
美보훈장관	美/SH+보훈/NNG+장관/NNG
후보로	후보/NNG+로/JKB


# id : NWRW1800000049.61.2.1
대선때 일찌감치 트럼프 지지 선언… 음담패설 영상 파문때도 적극 옹호 국가정보국장에는 코츠 의원 물망

대선때	대선/NNG+때/NNG
일찌감치	일찌감치/MAG
트럼프	트럼프/NNP
지지	지지/NNG
선언…	선언/NNG+…/SE
음담패설	음담패설/NNG
영상	영상/NNG
파문때도	파문/NNG+때/NNG+도/JX
적극	적극/NNG
옹호	옹호/NNG
국가정보국장에는	국가/NNG+정보국장/NNG+에/JKB+는/JX
코츠	코츠/NNP
의원	의원/NNG
물망	물망/NNG


# id : NWRW1800000049.61.3.1
도널드 트럼프 미국 대통령 당선인이 공화당 내 강경 보수파인 세라 페일린 전 알래스카 주지사를 보훈부 장관으로 고려 중이라고 뉴욕타임스(NYT) 등 외신이 지난달 30일 전했다.

도널드	도널드/NNP
트럼프	트럼프/NNP
미국	미국/NNP
대통령	대통령/NNG
당선인이	당선인/NNG+이/JKS
공화당	공화당/NNP
내	내/NNB
강경	강경/NNG
보수파인	보수파/NNG+이/VCP+ㄴ/ETM
세라	세라/NNP
페일린	페일린/NNP
전	전/MMD
알래스카	알래스카/NNP
주지사를	주지사/NNG+를/JKO
보훈부	보훈부/NNG
장관으로	장관/NNG+으로/JKB
고려	고려/NNG
중이라고	중/NNB+이/VCP+라고/EC
뉴욕타임스(NYT)	뉴욕타임스/NNP+(/SS+NYT/SL+)/SS
등	등/NNB
외신이	외신/NNG+이/JKS
지난달	지난달/NNG
30일	30/SN+일/NNB
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.61.3.2
이날 페일린은 자신이 장관 물망에 올랐다는 보도를 페이스북에 공유하고 “트럼프는 퇴역 군인을 우선시하는 최고사령관”이라며 “큰 정부가 정답이 아니라는 점을 이해하는 민간 친화적 인물”이라고 찬사를 보냈다.

이날	이날/NNG
페일린은	페일린/NNP+은/JX
자신이	자신/NNG+이/JKS
장관	장관/NNG
물망에	물망/NNG+에/JKB
올랐다는	오르/VV+았/EP+다는/ETM
보도를	보도/NNG+를/JKO
페이스북에	페이스북/NNP+에/JKB
공유하고	공유/NNG+하/XSV+고/EC
