# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.63
metadata : {}


# id : NWRW1800000054.63.1.1
"쌀알·크리스털로 만든 불상 보셨나요?"

"쌀알·크리스털로	"/SS+쌀알/NNG+·/SP+크리스털/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
불상	불상/NNG
보셨나요?"	보/VV+시/EP+었/EP+나요/EF+?/SF+"/SS


# id : NWRW1800000054.63.2.1
용인 와우정사 '세계불교박물관'

용인	용인/NNP
와우정사	와우정사/NNP
'세계불교박물관'	'/SS+세계불교박물관/NNP+'/SS


# id : NWRW1800000054.63.3.1
코브라가 똬리를 튼 가운데에 부처님이 좌정한 불상이 있다.

코브라가	코브라/NNG+가/JKS
똬리를	똬리/NNG+를/JKO
튼	틀/VV+ㄴ/ETM
가운데에	가운데/NNG+에/JKB
부처님이	부처/NNP+님/XSN+이/JKS
좌정한	좌정/NNG+하/XSV+ㄴ/ETM
불상이	불상/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.63.3.2
부처님 머리 위에 코브라 머리가 우산처럼 씌워진 형태도 특이하지만 자세히 뜯어보면 탄성이 나온다.

부처님	부처/NNP+님/XSN
머리	머리/NNG
위에	위/NNG+에/JKB
코브라	코브라/NNG
머리가	머리/NNG+가/JKS
우산처럼	우산/NNG+처럼/JKB
씌워진	씌우/VV+어/EC+지/VX+ㄴ/ETM
형태도	형태/NNG+도/JX
특이하지만	특이/NNG+하/XSA+지만/EC
자세히	자세히/MAG
뜯어보면	뜯어보/VV+면/EC
탄성이	탄성/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.63.3.3
스리랑카에서 건너온 이 불상의 재료는 쌀.

스리랑카에서	스리랑카/NNP+에서/JKB
건너온	건너오/VV+ㄴ/ETM
이	이/MMD
불상의	불상/NNG+의/JKG
재료는	재료/NNG+는/JX
쌀.	쌀/NNG+./SF


# id : NWRW1800000054.63.3.4
우리나라 쌀보다 가늘고 작은 쌀알을 이어붙여 만든 불상이다.

우리나라	우리나라/NNG
쌀보다	쌀/NNG+보다/JKB
가늘고	가늘/VA+고/EC
작은	작/VA+은/ETM
쌀알을	쌀알/NNG+을/JKO
이어붙여	잇/VV+어/EC+붙이/VV+어/EC
만든	만들/VV+ㄴ/ETM
불상이다.	불상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.63.3.5
그 옆엔 백옥을 깎아 만든 미얀마 불상, 갠지스 강변 모래알로 만든 불상, 투명한 크리스털 불상, 호박(琥珀)으로 만든 불상까지 이색 소재로 만든 불상이 나란히 앉아 있다.

그	그/MMD
옆엔	옆/NNG+에/JKB+ㄴ/JX
백옥을	백옥/NNG+을/JKO
깎아	깎/VV+아/EC
만든	만들/VV+ㄴ/ETM
미얀마	미얀마/NNP
불상,	불상/NNG+,/SP
갠지스	갠지스/NNP
강변	강변/NNG
모래알로	모래알/NNG+로/JKB
투명한	투명/NNG+하/XSA+ㄴ/ETM
크리스털	크리스털/NNG
호박(琥珀)으로	호박/NNG+(/SS+琥珀/SH+)/SS+으로/JKB
불상까지	불상/NNG+까지/JX
이색	이색/NNG
소재로	소재/NNG+로/JKB
불상이	불상/NNG+이/JKS
나란히	나란히/MAG
앉아	앉/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.63.4.1
최근 개관한 경기 용인 처인구 와우정사(臥牛精舍·주지 해곡 스님)의 '세계불교박물관' 전시 작품들이다.

최근	최근/NNG
개관한	개관/NNG+하/XSV+ㄴ/ETM
경기	경기/NNP
용인	용인/NNP
처인구	처인구/NNP
와우정사(臥牛精舍·주지	와우정사/NNP+(/SS+臥牛精舍/SH+·/SP+주지/NNG
해곡	해곡/NNP
스님)의	스님/NNG+)/SS+의/JKG
'세계불교박물관'	'/SS+세계불교박물관/NNP+'/SS
전시	전시/NNG
