# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.388
metadata : {}


# id : NWRW1800000046.388.1.1
北, 노동당 70주년(10월 10일) 앞두고 核협박… 韓·美 "안보리 결의 위반" 경고

北,	北/SH+,/SP
노동당	노동당/NNP
70주년(10월	70/SN+주년/NNB+(/SS+10/SN+월/NNB
10일)	10/SN+일/NNB+)/SS
앞두고	앞두/VV+고/EC
核협박…	核/SH+협박/NNG+…/SE
韓·美	韓/SH+·/SP+美/SH
"안보리	"/SS+안보리/NNG
결의	결의/NNG
위반"	위반/NNG+"/SS
경고	경고/NNG


# id : NWRW1800000046.388.2.1
장거리 미사일 발사 위협 이어 4차 核실험 시사, 왜?

장거리	장거리/NNG
미사일	미사일/NNG
발사	발사/NNG
위협	위협/NNG
이어	잇/VV+어/EC
4차	4/SN+차/NNB
核실험	核/SH+실험/NNG
시사,	시사/NNG+,/SP
왜?	왜/MAG+?/SF


# id : NWRW1800000046.388.3.1
북한이 장거리미사일에 이어 제4차 핵실험 가능성까지 시사하고 나선 것은 오는 10월 10일 노동당 창건 70주년을 앞두고 대내외에 김정은 체제의 건재를 과시하려는 조치로 풀이된다.

북한이	북한/NNP+이/JKS
장거리미사일에	장거리/NNG+미사일/NNG+에/JKB
이어	잇/VV+어/EC
제4차	제/XPN+4/SN+차/NNB
핵실험	핵/NNG+실험/NNG
가능성까지	가능/NNG+성/XSN+까지/JX
시사하고	시사/NNG+하/XSV+고/EC
나선	나서/VV+ㄴ/ETM
것은	것/NNB+은/JX
오는	오/VV+는/ETM
10월	10/SN+월/NNB
10일	10/SN+일/NNB
노동당	노동당/NNP
창건	창건/NNG
70주년을	70/SN+주년/NNB+을/JKO
앞두고	앞두/VV+고/EC
대내외에	대내외/NNG+에/JKB
김정은	김정은/NNP
체제의	체제/NNG+의/JKG
건재를	건재/NNG+를/JKO
과시하려는	과시/NNG+하/XSV+려는/ETM
조치로	조치/NNG+로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.388.3.2
북한 내부적으로는 주민들에게 '강성대국' 이미지를 각인시켜 체제 안정을 도모하고, 미국 등 국제사회의 관심을 끌어 자신들과의 대화에 나서게 하려는 의도가 깔려있다는 것이다.

북한	북한/NNP
내부적으로는	내부/NNG+적/XSN+으로/JKB+는/JX
주민들에게	주민/NNG+들/XSN+에게/JKB
'강성대국'	'/SS+강성/NNG+대국/NNG+'/SS
이미지를	이미지/NNG+를/JKO
각인시켜	각인/NNG+시키/XSV+어/EC
체제	체제/NNG
안정을	안정/NNG+을/JKO
도모하고,	도모/NNG+하/XSV+고/EC+,/SP
미국	미국/NNP
등	등/NNB
국제사회의	국제/NNG+사회/NNG+의/JKG
관심을	관심/NNG+을/JKO
끌어	끌/VV+어/EC
자신들과의	자신/NNG+들/XSN+과/JKB+의/JKG
대화에	대화/NNG+에/JKB
나서게	나서/VV+게/EC
하려는	하/VX+려는/ETM
의도가	의도/NNG+가/JKS
깔려있다는	깔리/VV+어/EC+있/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.388.4.1
송대성 전 세종연구소 소장은 15일 "이번 기회에 '온 세상이 반대해도 김정은 장군은 한다면 한다'는 강성 이미지를 북 주민에게 심어줘 내부 장악력을 높이고 체제 존속에 기여하려는 목적이 있을 것"이라고 말했다.

송대성	송대성/NNP
전	전/MMD
세종연구소	세종연구소/NNP
소장은	소장/NNG+은/JX
15일	15/SN+일/NNB
"이번	"/SS+이번/NNG
기회에	기회/NNG+에/JKB
'온	'/SS+온/MMN
세상이	세상/NNG+이/JKS
반대해도	반대/NNG+하/XSV+아도/EC
김정은	김정은/NNP
장군은	장군/NNG+은/JX
한다면	하/VV+ㄴ다면/EC
한다'는	하/VV+ㄴ다/EF+'/SS+는/ETM
강성	강성/NNG
이미지를	이미지/NNG+를/JKO
북	북/NNP
주민에게	주민/NNG+에게/JKB
심어줘	심/VV+어/EC+주/VX+어/EC
내부	내부/NNG
장악력을	장악력/NNG+을/JKO
높이고	높이/VV+고/EC
체제	체제/NNG
존속에	존속/NNG+에/JKB
기여하려는	기여/NNG+하/XSV+려는/ETM
목적이	목적/NNG+이/JKS
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.388.4.2
김용현 동국대 교수는 "미국과 중국 등에 '우리와 대화에 적극 나서라'는 강한 메시지를 주려는 의도도 있다"고 했다.

김용현	김용현/NNP
동국대	동국대/NNP
교수는	교수/NNG+는/JX
"미국과	"/SS+미국/NNP+과/JC
중국	중국/NNP
등에	등/NNB+에/JKB
'우리와	'/SS+우리/NP+와/JKB
대화에	대화/NNG+에/JKB
적극	적극/NNG
나서라'는	나서/VV+라/EF+'/SS+는/ETM
강한	강하/VA+ㄴ/ETM
메시지를	메시지/NNG+를/JKO
주려는	주/VV+려는/ETM
의도도	의도/NNG+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.388.4.3
북한은 핵은 보유하면서도 경제난 타개를 위한 국제적 지원은 바라고 있다.

북한은	북한/NNP+은/JX
핵은	핵/NNG+은/JX
보유하면서도	보유/NNG+하/XSV+면서/EC+도/JX
경제난	경제난/NNG
타개를	타개/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
국제적	국제/NNG+적/XSN
지원은	지원/NNG+은/JX
바라고	바라/VV+고/EC
있다.	있/VX+다/EF+./SF


