# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.86
metadata : {}


# id : NWRW1800000033.86.1.1
“佛 탈세 잡는 장관이 해외 탈세” 파문

“佛	“/SS+佛/SH
탈세	탈세/NNG
잡는	잡/VV+는/ETM
장관이	장관/NNG+이/JKS
해외	해외/NNG
탈세”	탈세/NNG+”/SS
파문	파문/NNG


# id : NWRW1800000033.86.2.1
“스위스銀에 거액 비밀계좌 2년전 싱가포르로 옮겨” 인터넷언론, 통화내용 공개 좌파정권 도덕성 문제 비화

“스위스銀에	“/SS+스위스銀/NNP+에/JKB
거액	거액/NNG
비밀계좌	비밀/NNG+계좌/NNG
2년전	2/SN+년/NNB+전/NNG
싱가포르로	싱가포르/NNP+로/JKB
옮겨”	옮기/VV+어/EF+”/SS
인터넷언론,	인터넷/NNG+언론/NNG+,/SP
통화내용	통화/NNG+내용/NNG
공개	공개/NNG
좌파정권	좌파/NNG+정권/NNG
도덕성	도덕/NNG+성/XSN
문제	문제/NNG
비화	비화/NNG


# id : NWRW1800000033.86.3.1
한 퇴직 세무공무원의 구원(舊怨)의 복수인가.

한	한/MMN
퇴직	퇴직/NNG
세무공무원의	세무/NNG+공무원/NNG+의/JKG
구원(舊怨)의	구원/NNG+(/SS+舊怨/SH+)/SS+의/JKG
복수인가.	복수/NNG+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000033.86.4.1
프랑스 사회당 정부에서 ‘탈세와의 전쟁’을 주도하며 탁월한 업무 능력을 인정받고 있는 제롬 카위자크 국세예산 장관(사진)이 오랫동안 스위스 은행의 비밀계좌를 보유하고 거액을 보관해 왔다는 폭로가 나와 정가가 발칵 뒤집혔다.

프랑스	프랑스/NNP
사회당	사회당/NNP
정부에서	정부/NNG+에서/JKB
‘탈세와의	‘/SS+탈세/NNG+와/JKB+의/JKG
전쟁’을	전쟁/NNG+’/SS+을/JKO
주도하며	주도/NNG+하/XSV+며/EC
탁월한	탁월하/VA+ㄴ/ETM
업무	업무/NNG
능력을	능력/NNG+을/JKO
인정받고	인정/NNG+받/XSV+고/EC
있는	있/VX+는/ETM
제롬	제롬/NNP
카위자크	카위자크/NNP
국세예산	국세/NNG+예산/NNG
장관(사진)이	장관/NNG+(/SS+사진/NNG+)/SS+이/JKS
오랫동안	오랫동안/NNG
스위스	스위스/NNP
은행의	은행/NNG+의/JKG
비밀계좌를	비밀/NNG+계좌/NNG+를/JKO
보유하고	보유/NNG+하/XSV+고/EC
거액을	거액/NNG+을/JKO
보관해	보관/NNG+하/XSV+아/EC
왔다는	오/VX+았/EP+다는/ETM
폭로가	폭로/NNG+가/JKS
나와	나오/VV+아/EC
정가가	정가/NNG+가/JKS
발칵	발칵/MAG
