# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.20
metadata : {}


# id : NWRW1800000054.20.1.1
[월드 톡톡] 어떻게 들고 갔을까?

[월드	[/SS+월드/NNG
톡톡]	톡톡/MAG+]/SS
어떻게	어떻/VA+게/EC
들고	들/VV+고/EC
갔을까?	가/VV+았/EP+을까/EF+?/SF


# id : NWRW1800000054.20.1.2
100㎏ 대형 금화, 박물관서 도난당해

100㎏	100/SN+㎏/SW
대형	대형/NNG
금화,	금화/NNG+,/SP
박물관서	박물관/NNG+서/JKB
도난당해	도난/NNG+당하/XSV+아/EF


# id : NWRW1800000054.20.2.1
순도 99.99% 시가 45억원 상당… 캐나다 조폐국이 발행한 것, 베를린 박물관이 임차 전시

순도	순도/NNG
99.99%	99/SN+./SP+99/SN+%/SW
시가	시가/NNG
45억원	45/SN+억/NR+원/NNB
상당…	상당/NNG+…/SE
캐나다	캐나다/NNP
조폐국이	조폐국/NNG+이/JKS
발행한	발행/NNG+하/XSV+ㄴ/ETM
것,	것/NNB+,/SP
베를린	베를린/NNP
박물관이	박물관/NNG+이/JKS
임차	임차/NNG
전시	전시/NNG


# id : NWRW1800000054.20.3.1
독일 베를린의 한 박물관이 27일(현지 시각) 무게 100㎏짜리 대형 금화(지름 53㎝·두께 3㎝)를 도난당했다고 영국 일간 텔레그래프가 보도했다.

독일	독일/NNP
베를린의	베를린/NNP+의/JKG
한	한/MMN
박물관이	박물관/NNG+이/JKS
27일(현지	27/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
무게	무게/NNG
100㎏짜리	100/SN+㎏/SW+짜리/XSN
대형	대형/NNG
금화(지름	금화/NNG+(/SS+지름/NNG
53㎝·두께	53/SN+㎝/SW+·/SP+두께/NNG
3㎝)를	3/SN+㎝/SW+)/SS+를/JKO
도난당했다고	도난/NNG+당하/XSV+았/EP+다고/EC
영국	영국/NNP
일간	일간/NNG
텔레그래프가	텔레그래프/NNP+가/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.20.4.1
순금으로 제작된 이 금화의 시가는 400만달러(약 45억원)에 달한다.

순금으로	순금/NNG+으로/JKB
제작된	제작/NNG+되/XSV+ㄴ/ETM
이	이/MMD
금화의	금화/NNG+의/JKG
시가는	시가/NNG+는/JX
400만달러(약	400/SN+만/NR+달러/NNB+(/SS+약/MMA
45억원)에	45/SN+억/NR+원/NNB+)/SS+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.20.4.2
독일 경찰에 따르면 절도범들은 이날 오전 3시 30분쯤 베를린 '보데(Bode) 박물관'에 뒤편 창문으로 사다리를 타고 침입했다.

독일	독일/NNP
경찰에	경찰/NNG+에/JKB
따르면	따르/VV+면/EC
절도범들은	절도범/NNG+들/XSN+은/JX
이날	이날/NNG
오전	오전/NNG
3시	3/SN+시/NNB
30분쯤	30/SN+분/NNB+쯤/XSN
베를린	베를린/NNP
'보데(Bode)	'/SS+보데/NNP+(/SS+Bode/SL+)/SS
박물관'에	박물관/NNG+'/SS+에/JKB
뒤편	뒤편/NNG
창문으로	창문/NNG+으로/JKB
사다리를	사다리/NNG+를/JKO
타고	타/VV+고/EC
침입했다.	침입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.20.4.3
이들이 사용한 것으로 보이는 사다리는 박물관 인근 기찻길에서 발견됐다.

이들이	이/NP+들/XSN+이/JKS
사용한	사용/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보이는	보이/VV+는/ETM
사다리는	사다리/NNG+는/JX
박물관	박물관/NNG
인근	인근/NNG
기찻길에서	기찻길/NNG+에서/JKB
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.20.4.4
경찰은 "당시 금화는 방탄유리 안에 보관돼 있었다"며 "금화의 무게를 고려하면 범인은 여러 명일 것"이라고 했다.

경찰은	경찰/NNG+은/JX
"당시	"/SS+당시/NNG
금화는	금화/NNG+는/JX
방탄유리	방탄유리/NNG
안에	안/NNG+에/JKB
보관돼	보관/NNG+되/XSV+어/EC
있었다"며	있/VX+었/EP+다/EF+"/SS+며/EC
"금화의	"/SS+금화/NNG+의/JKG
무게를	무게/NNG+를/JKO
고려하면	고려/NNG+하/XSV+면/EC
범인은	범인/NNG+은/JX
여러	여러/MMN
명일	명/NNB+이/VCP+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.20.4.5
절도범들이 어떻게 경보 시스템을 뚫고 금화를 꺼내 갔는지는 밝히지 않았다.

절도범들이	절도범/NNG+들/XSN+이/JKS
어떻게	어떻/VA+게/EC
경보	경보/NNG
시스템을	시스템/NNG+을/JKO
뚫고	뚫/VV+고/EC
금화를	금화/NNG+를/JKO
꺼내	꺼내/VV+어/EC
갔는지는	가/VX+았/EP+는지/EF+는/JX
밝히지	밝히/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.20.5.1
도난 금화는 2007년 캐나다 왕립 조폐국이 발행한 것으로, 보데 박물관이 2010년부터 임차해 전시해왔다.

도난	도난/NNG
금화는	금화/NNG+는/JX
2007년	2007/SN+년/NNB
캐나다	캐나다/NNP
왕립	왕립/NNG
조폐국이	조폐국/NNG+이/JKS
발행한	발행/NNG+하/XSV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
보데	보데/NNP
박물관이	박물관/NNG+이/JKS
2010년부터	2010/SN+년/NNB+부터/JX
임차해	임차/NNG+하/XSV+아/EC
전시해왔다.	전시/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.20.5.2
순도 99.99% 금으로 만들어져 기네스북에 '세계에서 가장 순도가 높은 금화'로 등재돼 있다.

순도	순도/NNG
99.99%	99/SN+./SP+99/SN+%/SW
금으로	금/NNG+으로/JKB
만들어져	만들/VV+어/EC+지/VX+어/EC
기네스북에	기네스북/NNP+에/JKB
'세계에서	'/SS+세계/NNG+에서/JKB
가장	가장/MAG
순도가	순도/NNG+가/JKS
높은	높/VA+은/ETM
금화'로	금화/NNG+'/SS+로/JKB
등재돼	등재/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.20.5.3
금화 양면에는 각각 영국 엘리자베스 2세 여왕과 캐나다를 상징하는 단풍잎이 그려져 있어 '큰 단풍잎(Big Maple Leaf) 금화'라는 별칭도 갖고 있다.

금화	금화/NNG
양면에는	양면/NNG+에/JKB+는/JX
각각	각각/MAG
영국	영국/NNP
엘리자베스	엘리자베스/NNP
2세	2/SN+세/NNB
여왕과	여왕/NNG+과/JC
캐나다를	캐나다/NNP+를/JKO
상징하는	상징/NNG+하/XSV+는/ETM
단풍잎이	단풍잎/NNG+이/JKS
그려져	그리/VV+어/EC+지/VX+어/EC
있어	있/VX+어/EC
'큰	'/SS+크/VA+ㄴ/ETM
단풍잎(Big	단풍잎/NNG+(/SS+Big/SL
Maple	Maple/SL
Leaf)	Leaf/SL+)/SS
금화'라는	금화/NNG+'/SS+이/VCP+라는/ETM
별칭도	별칭/NNG+도/JX
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.20.5.4
