# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.228
metadata : {}


# id : NWRW1800000036.228.1.1
강남경찰, 이번엔 ‘안마 스캔들’ 터지나

강남경찰,	강남/NNP+경찰/NNG+,/SP
이번엔	이번/NNG+에/JKB+ㄴ/JX
‘안마	‘/SS+안마/NNG
스캔들’	스캔들/NNG+’/SS
터지나	터지/VV+나/EF


# id : NWRW1800000036.228.2.1
[한겨레] ‘자금세탁 등 수상’ 금융분석원 자료받고도 내사 중지

[한겨레]	[/SS+한겨레/NNP+]/SS
‘자금세탁	‘/SS+자금/NNG+세탁/NNG
등	등/NNB
수상’	수상/XR+’/SS
금융분석원	금융/NNG+분석원/NNG
자료받고도	자료/NNG+받/XSV+고/EC+도/JX
내사	내사/NNG
중지	중지/NNG


# id : NWRW1800000036.228.3.1
업주가 평소 경찰인맥 관리 소문…‘내부비리 무마’ 의혹

업주가	업주/NNG+가/JKS
평소	평소/NNG
경찰인맥	경찰/NNG+인맥/NNG
관리	관리/NNG
소문…‘내부비리	소문/NNG+…/SE+‘/SS+내부/NNG+비리/NNG
무마’	무마/NNG+’/SS
의혹	의혹/NNG


# id : NWRW1800000036.228.4.1
“이상하네요.

“이상하네요.	“/SS+이상/NNG+하/XSA+네/EF+요/JX+./SF


# id : NWRW1800000036.228.4.2
일주일 전까지만 해도 멀쩡하게 영업하던 곳인데….”

일주일	일주일/NNG
전까지만	전/NNG+까지/JX+만/JX
해도	하/VV+아도/EC
멀쩡하게	멀쩡하/VA+게/EC
영업하던	영업/NNG+하/XSV+던/ETM
곳인데….”	곳/NNG+이/VCP+ㄴ데/EF+…/SE+./SF+”/SS


# id : NWRW1800000036.228.5.1
14일 저녁, 서울 강남구 도곡동 ㅇ안마업소 인근의 한 상가 주인이 말했다.

14일	14/SN+일/NNB
저녁,	저녁/NNG+,/SP
서울	서울/NNP
강남구	강남구/NNP
도곡동	도곡동/NNP
ㅇ안마업소	ㅇ/NNG+안마/NNG+업소/NNG
인근의	인근/NNG+의/JKG
한	한/MMN
상가	상가/NNG
주인이	주인/NNG+이/JKS
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.228.5.2
서울 강남경찰서가 이 업소 사장 박아무개(34)씨가 연루된 사건을 석연치 않은 이유로 덮었다가 재수사하겠다고 밝힌 이날, 업소 문 앞에는 ‘공사중’이라고 적힌 작은 종이가 붙어 있었다.

서울	서울/NNP
강남경찰서가	강남경찰서/NNP+가/JKS
이	이/MMD
업소	업소/NNG
사장	사장/NNG
박아무개(34)씨가	박/NNP+아무개/NP+(/SS+34/SN+)/SS+씨/NNB+가/JKS
연루된	연루/NNG+되/XSV+ㄴ/ETM
사건을	사건/NNG+을/JKO
석연치	석연하/VA+지/EC
않은	않/VX+은/ETM
이유로	이유/NNG+로/JKB
덮었다가	덮/VV+었/EP+다가/EC
재수사하겠다고	재/XPN+수사/NNG+하/XSV+겠/EP+다고/EC
밝힌	밝히/VV+ㄴ/ETM
이날,	이날/NNG+,/SP
문	문/NNG
앞에는	앞/NNG+에/JKB+는/JX
‘공사중’이라고	‘/SS+공사/NNG+중/NNB+’/SS+이라고/JKQ
적힌	적히/VV+ㄴ/ETM
작은	작/VA+은/ETM
종이가	종이/NNG+가/JKS
붙어	붙/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000036.228.6.1
길 건너편에 있는 박씨 소유의 ㅅ안마업소도 마찬가지였다.

길	길/NNG
건너편에	건너편/NNG+에/JKB
있는	있/VA+는/ETM
박씨	박/NNP+씨/NNB
소유의	소유/NNG+의/JKG
ㅅ안마업소도	ㅅ/NNG+안마/NNG+업소/NNG+도/JX
마찬가지였다.	마찬가지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.228.6.2
이 업소는 4층짜리 건물 전체를 사용중인데, 건물 입구가 굳게 닫혀 있었다.

이	이/MMD
업소는	업소/NNG+는/JX
4층짜리	4/SN+층/NNG+짜리/XSN
건물	건물/NNG
전체를	전체/NNG+를/JKO
사용중인데,	사용/NNG+중/NNB+이/VCP+ㄴ데/EC+,/SP
입구가	입구/NNG+가/JKS
굳게	굳/VA+게/EC
닫혀	닫히/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000036.228.6.3
박씨를 잘 안다고 밝힌 한 주민은 “경찰 단속만 나오면 갑자기 건물 앞 주차장이 텅 빈다”며 “업주가 미리 경찰로부터 단속 정보를 입수하면 손님을 받지 않는다”고 말했다.

박씨를	박/NNP+씨/NNB+를/JKO
잘	잘/MAG
안다고	알/VV+ㄴ다고/EC
밝힌	밝히/VV+ㄴ/ETM
한	한/MMN
주민은	주민/NNG+은/JX
“경찰	“/SS+경찰/NNG
단속만	단속/NNG+만/JX
나오면	나오/VV+면/EC
갑자기	갑자기/MAG
건물	건물/NNG
앞	앞/NNG
주차장이	주차장/NNG+이/JKS
텅	텅/MAG
빈다”며	비/VV+ㄴ다/EF+”/SS+며/EC
“업주가	“/SS+업주/NNG+가/JKS
미리	미리/MAG
경찰로부터	경찰/NNG+로부터/JKB
단속	단속/NNG
정보를	정보/NNG+를/JKO
입수하면	입수/NNG+하/XSV+면/EC
손님을	손/NNG+님/XSN+을/JKO
받지	받/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.228.6.4
“마사지 말고 다른 것도 하냐”고 묻자 그는 슬며시 웃으며 “경찰과 뒷돈 거래를 안 할 수 없는 곳”이라고 에둘러 답했다.

“마사지	“/SS+마사지/NNG
말고	말/VV+고/EC
다른	다른/MMD
것도	것/NNB+도/JX
하냐”고	하/VV+냐/EF+”/SS+고/JKQ
묻자	묻/VV+자/EC
그는	그/NP+는/JX
슬며시	슬며시/MAG
웃으며	웃/VV+으며/EC
“경찰과	“/SS+경찰/NNG+과/JKB
뒷돈	뒷돈/NNG
거래를	거래/NNG+를/JKO
안	안/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
곳”이라고	곳/NNG+”/SS+이라고/JKQ
에둘러	에두르/VV+어/EC
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.228.7.1
이른바 ‘룸살롱 황제’ 이경백(39)씨 사건으로 홍역을 치르고 있는 경찰이 이번엔 ‘안마 스캔들’로 곤혹스러운 처지에 놓였다.

이른바	이른바/MAG
‘룸살롱	‘/SS+룸살롱/NNG
황제’	황제/NNG+’/SS
이경백(39)씨	이경백/NNP+(/SS+39/SN+)/SS+씨/NNB
사건으로	사건/NNG+으로/JKB
홍역을	홍역/NNG+을/JKO
치르고	치르/VV+고/EC
있는	있/VX+는/ETM
경찰이	경찰/NNG+이/JKS
이번엔	이번/NNG+에/JKB+ㄴ/JX
‘안마	‘/SS+안마/NNG
스캔들’로	스캔들/NNG+’/SS+로/JKB
곤혹스러운	곤혹/NNG+스럽/XSA+ㄴ/ETM
처지에	처지/NNG+에/JKB
놓였다.	놓이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.228.8.1
경찰의 설명을 종합하면, 서울 강남경찰서는 2009년 12월 경찰청으로부터 강남 지역 유명 안마업소들의 성매매 및 수상한 돈흐름에 관한 자료를 넘겨받았다.

경찰의	경찰/NNG+의/JKG
설명을	설명/NNG+을/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
서울	서울/NNP
강남경찰서는	강남경찰서/NNP+는/JX
2009년	2009/SN+년/NNB
12월	12/SN+월/NNB
경찰청으로부터	경찰청/NNG+으로부터/JKB
강남	강남/NNP
지역	지역/NNG
유명	유명/NNG
안마업소들의	안마/NNG+업소/NNG+들/XSN+의/JKG
성매매	성매매/NNG
및	및/MAG
수상한	수상하/VA+ㄴ/ETM
돈흐름에	돈/NNG+흐름/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
자료를	자료/NNG+를/JKO
넘겨받았다.	넘겨받/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.228.8.2
수백쪽에 이르는 이 자료에는 ㅅ업소 종업원 유아무개(34)씨의 계좌로 거액이 오고 간 기록이 포함돼 있었는데, 금융정보원이 자금세탁을 의심해 경찰청에 넘긴 것이다.

수백쪽에	수백/NR+쪽/NNG+에/JKB
이르는	이르/VV+는/ETM
이	이/MMD
자료에는	자료/NNG+에/JKB+는/JX
ㅅ업소	ㅅ/NNG+업소/NNG
종업원	종업원/NNG
유아무개(34)씨의	유/NNP+아무개/NP+(/SS+34/SN+)/SS+씨/NNB+의/JKG
계좌로	계좌/NNG+로/JKB
거액이	거액/NNG+이/JKS
오고	오/VV+고/EC
간	가/VV+ㄴ/ETM
기록이	기록/NNG+이/JKS
포함돼	포함/NNG+되/XSV+어/EC
있었는데,	있/VX+었/EP+는데/EC+,/SP
금융정보원이	금융/NNG+정보원/NNG+이/JKS
자금세탁을	자금/NNG+세탁/NNG+을/JKO
의심해	의심/NNG+하/XSV+아/EC
경찰청에	경찰청/NNG+에/JKB
넘긴	넘기/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.228.8.3
2009년 7월 유씨의 계좌로 일주일 사이 1억여원이 입금되고, 이 돈이 다시 성매매 업소를 운영하다 처벌받은 업주 등 8명에게 이체된 기록이 담겨 있었다.

2009년	2009/SN+년/NNB
7월	7/SN+월/NNB
유씨의	유/NNP+씨/NNB+의/JKG
계좌로	계좌/NNG+로/JKB
일주일	일주일/NNG
사이	사이/NNG
1억여원이	1/SN+억/NR+여/XSN+원/NNB+이/JKS
입금되고,	입금/NNG+되/XSV+고/EC+,/SP
이	이/MMD
돈이	돈/NNG+이/JKS
다시	다시/MAG
성매매	성매매/NNG
업소를	업소/NNG+를/JKO
운영하다	운영/NNG+하/XSV+다/EC
처벌받은	처벌/NNG+받/XSV+은/ETM
업주	업주/NNG
등	등/NNB
8명에게	8/SN+명/NNB+에게/JKB
이체된	이체/NNG+되/XSV+ㄴ/ETM
기록이	기록/NNG+이/JKS
담겨	담기/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000036.228.9.1
그러나 강남경찰서는 종업원 유씨에게 2010년 한 차례 출석요구서를 보냈을 뿐, 이름까지 밝혀진 나머지 관련자들의 소재 파악조차 하지 않는 등 수사를 미적거리다가 1년 만인 2010년 12월 내사중지했다.

그러나	그러나/MAJ
강남경찰서는	강남경찰서/NNP+는/JX
종업원	종업원/NNG
유씨에게	유/NNP+씨/NNB+에게/JKB
2010년	2010/SN+년/NNB
한	한/MMN
차례	차례/NNG
출석요구서를	출석/NNG+요구서/NNG+를/JKO
보냈을	보내/VV+었/EP+을/ETM
뿐,	뿐/NNB+,/SP
이름까지	이름/NNG+까지/JX
밝혀진	밝히/VV+어/EC+지/VX+ㄴ/ETM
나머지	나머지/NNG
관련자들의	관련자/NNG+들/XSN+의/JKG
소재	소재/NNG
파악조차	파악/NNG+조차/JX
하지	하/VV+지/EC
않는	않/VX+는/ETM
등	등/NNB
수사를	수사/NNG+를/JKO
미적거리다가	미적거리/VV+다가/EC
1년	1/SN+년/NNB
만인	만/NNB+이/VCP+ㄴ/ETM
12월	12/SN+월/NNB
내사중지했다.	내사/NNG+중지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.228.9.2
강남경찰서 관계자는 “유씨에게 출석요구서를 보냈는데 불응해서 주거지 소재 조사를 했더니 소재 불명이었다”며 “금융정보원 기록은 수백쪽이라고는 하지만 첩보 수준이었고 더이상 수사를 진행할 수 없어 내사중지했다”고 밝혔다.

강남경찰서	강남경찰서/NNP
관계자는	관계자/NNG+는/JX
“유씨에게	“/SS+유/NNP+씨/NNB+에게/JKB
출석요구서를	출석/NNG+요구서/NNG+를/JKO
보냈는데	보내/VV+었/EP+는데/EC
불응해서	불응/NNG+하/XSV+아서/EC
주거지	주거지/NNG
소재	소재/NNG
조사를	조사/NNG+를/JKO
했더니	하/VV+았/EP+더니/EC
불명이었다”며	불명/NNG+이/VCP+었/EP+다/EF+”/SS+며/EC
“금융정보원	“/SS+금융/NNG+정보원/NNG
기록은	기록/NNG+은/JX
수백쪽이라고는	수백/NR+쪽/NNG+이/VCP+라고/EC+는/JX
하지만	하/VV+지만/EC
첩보	첩보/NNG
수준이었고	수준/NNG+이/VCP+었/EP+고/EC
더이상	더/MAG+이상/NNG
수사를	수사/NNG+를/JKO
진행할	진행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없어	없/VA+어/EC
내사중지했다”고	내사/NNG+중지/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.228.9.3
이 관계자는 “안마업소들에 가보면 다 비워져 있는 사무실이거나 업소가 폐쇄된 경우가 많다.

이	이/MMD
관계자는	관계자/NNG+는/JX
“안마업소들에	“/SS+안마/NNG+업소/NNG+들/XSN+에/JKB
가보면	가/VV+아/EC+보/VX+면/EC
다	다/MAG
비워져	비우/VV+어/EC+지/VX+어/EC
있는	있/VX+는/ETM
사무실이거나	사무실/NNG+이/VCP+거나/EC
업소가	업소/NNG+가/JKS
폐쇄된	폐쇄/NNG+되/XSV+ㄴ/ETM
경우가	경우/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000036.228.9.4
그래서 추가 수사를 진행하는 게 참 힘들다”고 덧붙였다.

그래서	그래서/MAJ
추가	추가/NNG
수사를	수사/NNG+를/JKO
진행하는	진행/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
참	참/IC
힘들다”고	힘들/VA+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.228.10.1
박씨는 관할구역 성매매업소 단속 경찰관 및 고위급 경찰 간부를 관리해 온 것으로 소문이 퍼져 있다.

박씨는	박/NNP+씨/NNB+는/JX
관할구역	관할/NNG+구역/NNG
성매매업소	성매매업소/NNG
단속	단속/NNG
경찰관	경찰관/NNG
및	및/MAG
고위급	고위급/NNG
경찰	경찰/NNG
간부를	간부/NNG+를/JKO
관리해	관리/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
소문이	소문/NNG+이/JKS
퍼져	퍼지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.228.10.2
이 때문에 경찰은 이번 사건이 ‘제2의 이경백 사건’으로 번지지 않을까 전전긍긍하고 있다.

이	이/MMD
때문에	때문/NNB+에/JKB
경찰은	경찰/NNG+은/JX
이번	이번/NNG
사건이	사건/NNG+이/JKS
‘제2의	‘/SS+제/XPN+2/SN+의/JKG
이경백	이경백/NNP
사건’으로	사건/NNG+’/SS+으로/JKB
번지지	번지/VV+지/EC
않을까	않/VX+을까/EC
전전긍긍하고	전전긍긍/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.228.10.3
박씨는 이경백씨 밑에서 일을 배웠다고 알려져 있다.

박씨는	박/NNP+씨/NNB+는/JX
이경백씨	이경백/NNP+씨/NNB
밑에서	밑/NNG+에서/JKB
일을	일/NNG+을/JKO
배웠다고	배우/VV+었/EP+다고/EC
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.228.10.4
이씨는 강남 일대 유흥업소를 운영하면서 경찰 단속 정보를 먼저 넘겨받거나 단속 대상에서 제외받은 대가로 경찰관들에게 금품을 건넸는데, 박씨 역시 비슷한 수법으로 당국의 단속을 피해간 것이 아니냐는 의혹이 일고 있는 것이다.

이씨는	이/NNP+씨/NNB+는/JX
강남	강남/NNP
일대	일대/NNG
유흥업소를	유흥업소/NNG+를/JKO
운영하면서	운영/NNG+하/XSV+면서/EC
경찰	경찰/NNG
단속	단속/NNG
정보를	정보/NNG+를/JKO
먼저	먼저/MAG
넘겨받거나	넘겨받/VV+거나/EC
대상에서	대상/NNG+에서/JKB
제외받은	제외/NNG+받/XSV+은/ETM
대가로	대가/NNG+로/JKB
경찰관들에게	경찰관/NNG+들/XSN+에게/JKB
금품을	금품/NNG+을/JKO
건넸는데,	건네/VV+었/EP+는데/EC+,/SP
박씨	박/NNP+씨/NNB
역시	역시/MAG
비슷한	비슷하/VA+ㄴ/ETM
수법으로	수법/NNG+으로/JKB
당국의	당국/NNG+의/JKG
단속을	단속/NNG+을/JKO
피해간	피하/VV+아/EC+가/VX+ㄴ/ETM
것이	것/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
의혹이	의혹/NNG+이/JKS
일고	일/VV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.228.10.5
이씨는 경찰청 간부 및 강남경찰서 경찰관들에게 2006년부터 2009년 초까지 정기적으로 금품을 상납했고, 이 사실이 적발된 뒤 이씨는 물론 전·현직 경찰관 14명이 체포 또는 구속됐고 40명이 징계를 당했다.

이씨는	이/NNP+씨/NNB+는/JX
경찰청	경찰청/NNG
간부	간부/NNG
및	및/MAG
강남경찰서	강남경찰서/NNP
경찰관들에게	경찰관/NNG+들/XSN+에게/JKB
2006년부터	2006/SN+년/NNB+부터/JX
2009년	2009/SN+년/NNB
초까지	초/NNB+까지/JX
정기적으로	정기/NNG+적/XSN+으로/JKB
금품을	금품/NNG+을/JKO
상납했고,	상납/NNG+하/XSV+았/EP+고/EC+,/SP
이	이/MMD
사실이	사실/NNG+이/JKS
적발된	적발/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
물론	물론/MAG
전·현직	전·현직/NNG
경찰관	경찰관/NNG
14명이	14/SN+명/NNB+이/JKS
체포	체포/NNG
또는	또는/MAG
구속됐고	구속/NNG+되/XSV+었/EP+고/EC
40명이	40/SN+명/NNB+이/JKS
징계를	징계/NNG+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.228.11.1
김기용 경찰청장은 14일 기자간담회에서 “왜 수사가 중지됐는지 검토해보겠다”고 밝혔다.

김기용	김기용/NNP
경찰청장은	경찰청장/NNG+은/JX
14일	14/SN+일/NNB
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
“왜	“/SS+왜/MAG
수사가	수사/NNG+가/JKS
중지됐는지	중지/NNG+되/XSV+었/EP+는지/EC
검토해보겠다”고	검토/NNG+하/XSV+아/EC+보/VX+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


