# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.334
metadata : {}


# id : NWRW1800000046.334.1.1
[리콴유 장례식] 18개국 頂上급 인사들 대거 참석… 리콴유 장례식, 弔問 외교 무대로

[리콴유	[/SS+리콴유/NNP
장례식]	장례식/NNG+]/SS
18개국	18/SN+개국/NNB
頂上급	頂上/SH+급/NNG
인사들	인사/NNG+들/XSN
대거	대거/MAG
참석…	참석/NNG+…/SE
리콴유	리콴유/NNP
장례식,	장례식/NNG+,/SP
弔問	弔問/SH
외교	외교/NNG
무대로	무대/NNG+로/JKB


# id : NWRW1800000046.334.2.1
인도·이스라엘 친선 다져… 中과 서로 껄끄러운 관계, 대만 총통은 5일전 다녀가

인도·이스라엘	인도/NNP+·/SP+이스라엘/NNP
친선	친선/NNG
다져…	다지/VV+어/EF+…/SE
中과	中/SH+과/JKB
서로	서로/MAG
껄끄러운	껄끄럽/VA+ㄴ/ETM
관계,	관계/NNG+,/SP
대만	대만/NNP
총통은	총통/NNG+은/JX
5일전	5/SN+일/NNB+전/NNG
다녀가	다녀가/VV+아/EF


# id : NWRW1800000046.334.3.1
29일 리콴유 전 싱가포르 총리의 국장(國葬)에는 한국과 일본 등 아시아 국가의 정상을 비롯해 18개국 전·현직 정상이 참석해 조문(弔問) 외교 무대가 펼쳐졌다.

29일	29/SN+일/NNB
리콴유	리콴유/NNP
전	전/MMD
싱가포르	싱가포르/NNP
총리의	총리/NNG+의/JKG
국장(國葬)에는	국장/NNG+(/SS+國葬/SH+)/SS+에/JKB+는/JX
한국과	한국/NNP+과/JC
일본	일본/NNP
등	등/NNB
아시아	아시아/NNP
국가의	국가/NNG+의/JKG
정상을	정상/NNG+을/JKO
비롯해	비롯하/VV+아/EC
18개국	18/SN+개국/NNB
전·현직	전·현직/NNG
정상이	정상/NNG+이/JKS
참석해	참석/NNG+하/XSV+아/EC
조문(弔問)	조문/NNG+(/SS+弔問/SH+)/SS
외교	외교/NNG
무대가	무대/NNG+가/JKS
펼쳐졌다.	펼쳐지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.334.4.1
이날 장례식 행사엔 조코 위도도 인도네시아 대통령을 비롯해 동남아시아국가연합(ASEAN) 9개국의 조문단이 참석했다.

이날	이날/NNG
장례식	장례식/NNG
행사엔	행사/NNG+에/JKB+ㄴ/JX
조코	조코/NNP
위도도	위도도/NNP
인도네시아	인도네시아/NNP
대통령을	대통령/NNG+을/JKO
비롯해	비롯하/VV+아/EC
동남아시아국가연합(ASEAN)	동남아시아국가연합/NNP+(/SS+ASEAN/SL+)/SS
9개국의	9/SN+개국/NNB+의/JKG
조문단이	조문단/NNG+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.334.4.2
빌 클린턴 전 미국 대통령, 윌리엄 헤이그 영국 보수당 하원 대표, 데이비드 존스턴 캐나다 총독 등 아시아 밖의 국가에서도 정상급 인사들이 찾아와 폭넓은 조문 외교가 이뤄졌다.

빌	빌/NNP
클린턴	클린턴/NNP
전	전/MMD
미국	미국/NNP
대통령,	대통령/NNG+,/SP
윌리엄	윌리엄/NNP
헤이그	헤이그/NNP
영국	영국/NNP
보수당	보수당/NNP
하원	하원/NNG
대표,	대표/NNG+,/SP
데이비드	데이비드/NNP
존스턴	존스턴/NNP
캐나다	캐나다/NNP
총독	총독/NNG
등	등/NNB
아시아	아시아/NNP
밖의	밖/NNG+의/JKG
국가에서도	국가/NNG+에서/JKB+도/JX
정상급	정상급/NNG
인사들이	인사/NNG+들/XSN+이/JKS
찾아와	찾아오/VV+아/EC
폭넓은	폭넓/VA+은/ETM
조문	조문/NNG
외교가	외교/NNG+가/JKS
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.334.5.1
인도와 이스라엘은 친선을 다졌다.

인도와	인도/NNP+와/JC
이스라엘은	이스라엘/NNP+은/JX
친선을	친선/NNG+을/JKO
다졌다.	다지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.334.5.2
나렌드라 모디 인도 총리는 이스라엘의 레우벤 리블린 대통령을 만나 양국 간 관계 발전 방안에 대해 논의했다.

나렌드라	나렌드라/NNP
모디	모디/NNP
인도	인도/NNP
총리는	총리/NNG+는/JX
이스라엘의	이스라엘/NNP+의/JKG
레우벤	레우벤/NNP
리블린	리블린/NNP
대통령을	대통령/NNG+을/JKO
만나	만나/VV+아/EC
양국	양국/NNG
간	간/NNB
관계	관계/NNG
발전	발전/NNG
방안에	방안/NNG+에/JKB
대해	대하/VV+아/EC
논의했다.	논의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.334.5.3
이 자리에서 리블린 대통령은 모디 총리의 이스라엘 방문을 제안했다.

이	이/MMD
자리에서	자리/NNG+에서/JKB
리블린	리블린/NNP
대통령은	대통령/NNG+은/JX
모디	모디/NNP
총리의	총리/NNG+의/JKG
이스라엘	이스라엘/NNP
방문을	방문/NNG+을/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF

