# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.133
metadata : {}


# id : NWRW1800000029.133.1.1
韓-日 ‘5월 5일 어린이날’ 같은 날짜 다른 사연

韓-日	韓/SH+-/SO+日/SH
‘5월	‘/SS+5/SN+월/NNB
5일	5/SN+일/NNB
어린이날’	어린이날/NNG+’/SS
같은	같/VA+은/ETM
날짜	날짜/NNG
다른	다른/MMD
사연	사연/NNG


# id : NWRW1800000029.133.2.1
韓, 원래 5월 1일… 노동절과 겹쳐 5일로

韓,	韓/SH+,/SP
원래	원래/MAG
5월	5/SN+월/NNB
1일…	1/SN+일/NNB+…/SE
노동절과	노동절/NNG+과/JKB
겹쳐	겹치/VV+어/EC
5일로	5/SN+일/NNB+로/JKB


# id : NWRW1800000029.133.3.1
日, 단오 전통따라 정해… 지진 영향 차분

日,	日/SH+,/SP
단오	단오/NNG
전통따라	전통/NNG+따르/VV+아/EC
정해…	정하/VV+아/EF+…/SE
지진	지진/NNG
영향	영향/NNG
차분	차분/XR


# id : NWRW1800000029.133.4.1
5일은 한국뿐 아니라 일본도 어린이날이다.

5일은	5/SN+일/NNB+은/JX
한국뿐	한국/NNP+뿐/JX
아니라	아니/VCN+라/EC
일본도	일본/NNP+도/JX
어린이날이다.	어린이날/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.133.4.2
동일본 대지진의 여파 속에서 어린이날을 맞는 일본의 분위기는 차분하다.

동일본	동일본/NNP
대지진의	대/XPN+지진/NNG+의/JKG
여파	여파/NNG
속에서	속/NNG+에서/JKB
어린이날을	어린이날/NNG+을/JKO
맞는	맞/VV+는/ETM
일본의	일본/NNP+의/JKG
분위기는	분위기/NNG+는/JX
차분하다.	차분하/VA+다/EF+./SF


# id : NWRW1800000029.133.5.1
이슬람권에서는 이슬람력으로는 5월 5일이 어린이날인데 양력으로 올해는 4월 9일이었다.

이슬람권에서는	이슬람/NNG+권/XSN+에서/JKB+는/JX
이슬람력으로는	이슬람력/NNG+으로/JKB+는/JX
5월	5/SN+월/NNB
5일이	5/SN+일/NNB+이/JKS
어린이날인데	어린이날/NNG+이/VCP+ㄴ데/EC
양력으로	양력/NNG+으로/JKB
올해는	올해/NNG+는/JX
4월	4/SN+월/NNB
9일이었다.	9/SN+일/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.133.5.2
옛 소련과 중국을 비롯해 주로 공산권 국가에서는 6월 1일이 ‘국제 아동절’이다.

옛	옛/MMA
소련과	소련/NNP+과/JC
중국을	중국/NNP+을/JKO
비롯해	비롯하/VV+아/EC
주로	주로/MAG
공산권	공산/NNG+권/XSN
국가에서는	국가/NNG+에서/JKB+는/JX
6월	6/SN+월/NNB
1일이	1/SN+일/NNB+이/JKS
‘국제	‘/SS+국제/NNG
아동절’이다.	아동절/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000029.133.6.1
북한에서는 국제 아동절과 함께 조선소년단 창립일인 6월 6일이 어린이날 역할을 한다.

북한에서는	북한/NNP+에서/JKB+는/JX
국제	국제/NNG
아동절과	아동절/NNG+과/JKB
함께	함께/MAG
조선소년단	조선/NNP+소년단/NNG
창립일인	창립일/NNG+이/VCP+ㄴ/ETM
6월	6/SN+월/NNB
6일이	6/SN+일/NNB+이/JKS
어린이날	어린이날/NNG
역할을	역할/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.133.6.2
한 탈북자는 “6월 1일이 유치원생까지 축하하는 날이라면 6일은 초중학생을 위한 날”이라고 설명했다.

한	한/MMN
탈북자는	탈북자/NNG+는/JX
“6월	“/SS+6/SN+월/NNB
1일이	1/SN+일/NNB+이/JKS
