# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.90
metadata : {}


# id : NWRW1800000049.90.1.1
[RIO 2016 ‘10-10’ 노리는 한국]올림픽 정식 종목 변천사

[RIO	[/SS+RIO/SL
2016	2016/SN
‘10-10’	‘/SS+10/SN+-/SO+10/SN+’/SS
노리는	노리/VV+는/ETM
한국]올림픽	한국/NNP+]/SS+올림픽/NNG
정식	정식/NNG
종목	종목/NNG
변천사	변천사/NNG


# id : NWRW1800000049.90.2.1
2020년엔 33개 종목… ‘자국이익+상업성’ 따라 들쭉날쭉

2020년엔	2020/SN+년/NNB+에/JKB+ㄴ/JX
33개	33/SN+개/NNB
종목…	종목/NNG+…/SE
‘자국이익+상업성’	‘/SS+자국/NNG+이익/NNG++/SW+상업/NNG+성/XSN+’/SS
따라	따르/VV+아/EC
들쭉날쭉	들쭉날쭉/MAG


# id : NWRW1800000049.90.3.1
리우데자네이루 올림픽 정식 종목은 28개다.

리우데자네이루	리우데자네이루/NNP
올림픽	올림픽/NNG
정식	정식/NNG
종목은	종목/NNG+은/JX
28개다.	28/SN+개/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.90.3.2
4년 전 런던 올림픽 때 26개에서 골프와 럭비(7인제)가 추가됐다.

4년	4/SN+년/NNB
전	전/NNG
런던	런던/NNP
올림픽	올림픽/NNG
때	때/NNG
26개에서	26/SN+개/NNB+에서/JKB
골프와	골프/NNG+와/JC
럭비(7인제)가	럭비/NNG+(/SS+7/SN+인/NNG+제/XSN+)/SS+가/JKS
추가됐다.	추가/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.90.3.3
2020년 도쿄 올림픽 때는 가라테, 서핑, 스케이트보드, 스포츠클라이밍, 야구·소프트볼을 더해 33개로 늘어난다.

2020년	2020/SN+년/NNB
도쿄	도쿄/NNP
올림픽	올림픽/NNG
때는	때/NNG+는/JX
가라테,	가라테/NNG+,/SP
서핑,	서핑/NNG+,/SP
스케이트보드,	스케이트보드/NNG+,/SP
스포츠클라이밍,	스포츠클라이밍/NNG+,/SP
야구·소프트볼을	야구/NNG+·/SP+소프트볼/NNG+을/JKO
더해	더/MAG+하/XSV+아/EC
33개로	33/SN+개/NNB+로/JKB
