# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.403
metadata : {}


# id : NWRW1800000040.403.1.1
유로파이터쪽 “차기전투기 입찰때 계약위반 안해” 반발

유로파이터쪽	유로파이터/NNP+쪽/NNB
“차기전투기	“/SS+차기/NNG+전투기/NNG
입찰때	입찰/NNG+때/NNG
계약위반	계약/NNG+위반/NNG
안해”	안/MAG+하/VV+아/EF+”/SS
반발	반발/NNG


# id : NWRW1800000040.403.2.1
전날 입찰 가격이 총사업비를 초과했다는 이유로 차기 전투기 사업 경쟁에서 사실상 탈락한 유로파이터 쪽이 “최종 입찰에서 계약을 위반한 사항이 없다”며 이의를 제기하고 나섰다.

전날	전날/NNG
입찰	입찰/NNG
가격이	가격/NNG+이/JKS
총사업비를	총/MMA+사업비/NNG+를/JKO
초과했다는	초과/NNG+하/XSV+았/EP+다는/ETM
이유로	이유/NNG+로/JKB
차기	차기/NNG
전투기	전투기/NNG
사업	사업/NNG
경쟁에서	경쟁/NNG+에서/JKB
사실상	사실/NNG+상/XSN
탈락한	탈락/NNG+하/XSV+ㄴ/ETM
유로파이터	유로파이터/NNP
쪽이	쪽/NNB+이/JKS
“최종	“/SS+최종/NNG
입찰에서	입찰/NNG+에서/JKB
계약을	계약/NNG+을/JKO
위반한	위반/NNG+하/XSV+ㄴ/ETM
사항이	사항/NNG+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
이의를	이의/NNG+를/JKO
제기하고	제기/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.403.3.1
유럽항공방위우주산업(유럽항산)의 유로파이터 제작사인 카시디안의 크리스티앙 셰러 해외사업본부장은 19일 보도자료를 내어 “유로파이터가 최종 입찰에서 제출한 서류나 제안은 한국의 제안요청서 범위 내에서 계약을 위반한 사항이 없다”고 주장했다.

유럽항공방위우주산업(유럽항산)의	유럽항공방위우주산업/NNP+(/SS+유럽항산/NNP+)/SS+의/JKG
유로파이터	유로파이터/NNP
제작사인	제작사/NNG+이/VCP+ㄴ/ETM
카시디안의	카시디안/NNP+의/JKG
크리스티앙	크리스티앙/NNP
셰러	셰러/NNP
해외사업본부장은	해외/NNG+사업/NNG+본부장/NNG+은/JX
19일	19/SN+일/NNB
보도자료를	보도/NNG+자료/NNG+를/JKO
내어	내/VV+어/EC
“유로파이터가	“/SS+유로파이터/NNP+가/JKS
최종	최종/NNG
입찰에서	입찰/NNG+에서/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
서류나	서류/NNG+나/JC
제안은	제안/NNG+은/JX
한국의	한국/NNP+의/JKG
제안요청서	제안/NNG+요청서/NNG
범위	범위/NNG
내에서	내/NNB+에서/JKB
계약을	계약/NNG+을/JKO
위반한	위반/NNG+하/XSV+ㄴ/ETM
사항이	사항/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.403.4.1
이는 전날 방위사업청이 “(유로파이터 쪽이) 협상 과정에서 합의한 조건을 변경해 최종 입찰 가격을 제시했고, 이 기종은 총사업비를 초과했다”고 한 것을 인정할 수 없다는 의사표시로 보인다.

이는	이/NP+는/JX
전날	전날/NNG
방위사업청이	방위/NNG+사업청/NNG+이/JKS
“(유로파이터	“/SS+(/SS+유로파이터/NNP
쪽이)	쪽/NNB+이/JKS+)/SS
협상	협상/NNG
과정에서	과정/NNG+에서/JKB
합의한	합의/NNG+하/XSV+ㄴ/ETM
조건을	조건/NNG+을/JKO
변경해	변경/NNG+하/XSV+아/EC
최종	최종/NNG
입찰	입찰/NNG
가격을	가격/NNG+을/JKO
제시했고,	제시/NNG+하/XSV+았/EP+고/EC+,/SP
이	이/MMD
기종은	기종/NNG+은/JX
총사업비를	총/MMA+사업비/NNG+를/JKO
초과했다”고	초과/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
한	하/VV+ㄴ/ETM
것을	것/NNB+을/JKO
인정할	인정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
의사표시로	의사/NNG+표시/NNG+로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.403.4.2
또 이날 방사청은 “(유럽항산이) 최종 가격 입찰에서 이미 합의한 복좌기 15대를 6대로 축소했고, 무장 체계 통합을 위한 연구개발비도 제외했다”며 협상에서 합의한 조건을 위반했다고 밝힌 바 있다.

또	또/MAG
이날	이날/NNG
방사청은	방사청/NNG+은/JX
“(유럽항산이)	“/SS+(/SS+유럽항산/NNP+이/JKS+)/SS
최종	최종/NNG
가격	가격/NNG
입찰에서	입찰/NNG+에서/JKB
이미	이미/MAG
합의한	합의/NNG+하/XSV+ㄴ/ETM
복좌기	복좌기/NNG
15대를	15/SN+대/NNB+를/JKO
6대로	6/SN+대/NNB+로/JKB
축소했고,	축소/NNG+하/XSV+았/EP+고/EC+,/SP
무장	무장/NNG
체계	체계/NNG
통합을	통합/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
연구개발비도	연구/NNG+개발비/NNG+도/JX
제외했다”며	제외/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
협상에서	협상/NNG+에서/JKB
조건을	조건/NNG+을/JKO
위반했다고	위반/NNG+하/XSV+았/EP+다고/EC
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.403.5.1
이에 대해 셰러 본부장은 쟁점이 된 복좌기(2명이 타는 전투기)와 관련해 “협상 과정에서 한국 당국이 요구한 복좌기 대수가 과도하다는 입장을 밝혀왔고, 15대 복좌기를 약속한 적도 없다”고 했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
셰러	셰러/NNP
본부장은	본부장/NNG+은/JX
