# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.68
metadata : {}


# id : NWRW1800000030.68.1.1
"난 바둑 배우러 템플스테이 간다"

"난	"/SS+나/NP+ㄴ/JX
바둑	바둑/NNG
배우러	배우/VV+러/EC
템플스테이	템플스테이/NNG
간다"	가/VV+ㄴ다/EF+"/SS


# id : NWRW1800000030.68.2.1
?영어캠프·클래식 음악감상 등 체험행사 다양해져

?영어캠프·클래식	?/SF+영어/NNP+캠프/NNG+·/SP+클래식/NNG
음악감상	음악/NNG+감상/NNG
등	등/NNB
체험행사	체험/NNG+행사/NNG
다양해져	다양/NNG+하/XSA+아/EC+지/VX+어/EF


# id : NWRW1800000030.68.3.1
'클래식 음악 감상, 블루베리 체험, 어린이 바둑, 한문학교, 영어캠프….'

'클래식	'/SS+클래식/NNG
음악	음악/NNG
감상,	감상/NNG+,/SP
블루베리	블루베리/NNG
체험,	체험/NNG+,/SP
어린이	어린이/NNG
바둑,	바둑/NNG+,/SP
한문학교,	한문/NNG+학교/NNG+,/SP
영어캠프….'	영어/NNP+캠프/NNG+…/SE+./SF+'/SS


# id : NWRW1800000030.68.4.1
템플스테이도 진화한다.

템플스테이도	템플스테이/NNG+도/JX
진화한다.	진화/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.68.4.2
지난 2002년 한일 월드컵 때 한국 전통문화를 외국에 알리기 위해 시작된 템플스테이는 첫 해 2558명이던 참가자 수가 작년엔 17만2954명으로 약 70배 늘었다.

지난	지나/VV+ㄴ/ETM
2002년	2002/SN+년/NNB
한일	한일/NNP
월드컵	월드컵/NNG
때	때/NNG
한국	한국/NNP
전통문화를	전통문화/NNG+를/JKO
외국에	외국/NNG+에/JKB
알리기	알리/VV+기/ETN
위해	위하/VV+아/EC
시작된	시작/NNG+되/XSV+ㄴ/ETM
템플스테이는	템플스테이/NNG+는/JX
첫	첫/MMN
해	해/NNG
2558명이던	2558/SN+명/NNB+이/VCP+던/ETM
참가자	참가자/NNG
수가	수/NNG+가/JKS
작년엔	작년/NNG+에/JKB+ㄴ/JX
17만2954명으로	17/SN+만/NR+2954/SN+명/NNB+으로/JKB
약	약/MMA
70배	70/SN+배/NNG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.68.4.3
이제 양적인 성장을 넘어 자칫 단조로워질 수 있는 사찰 체험을 다양한 테마로 보완하며 질적인 도약까지 진행 중인 셈이다.

이제	이제/MAG
양적인	양/NNG+적/XSN+이/VCP+ㄴ/ETM
성장을	성장/NNG+을/JKO
넘어	넘/VV+어/EC
자칫	자칫/MAG
단조로워질	단조/NNG+롭/XSA+어/EC+지/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사찰	사찰/NNG
체험을	체험/NNG+을/JKO
다양한	다양/NNG+하/XSA+ㄴ/ETM
테마로	테마/NNG+로/JKB
보완하며	보완/NNG+하/XSV+며/EC
질적인	질/NNG+적/XSN+이/VCP+ㄴ/ETM
도약까지	도약/NNG+까지/JX
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.68.4.4
〈표)

〈표)	〈/SS+표/NNG+)/SS


# id : NWRW1800000030.68.5.1
충남 공주 조계종 전통불교문화원은 7월 말 음악 템플스테이 '뮤직샤워'를 2박3일간 진행한다.

충남	충남/NNP
공주	공주/NNP
조계종	조계종/NNP
전통불교문화원은	전통불교문화원/NNP+은/JX
7월	7/SN+월/NNB
말	말/NNB
음악	음악/NNG
템플스테이	템플스테이/NNG
'뮤직샤워'를	'/SS+뮤직/NNG+샤워/NNG+'/SS+를/JKO
2박3일간	2/SN+박/NNB+3/SN+일/NNB+간/XSN
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.68.5.2
유명 작곡가와 음악에 담긴 재미있는 이야기들뿐 아니라, 생태체험·명상·차(茶)문화 등과 연관 지어 다채로운 체험형 템플스테이로 준비했다.

유명	유명/NNG
작곡가와	작곡가/NNG+와/JC
음악에	음악/NNG+에/JKB
담긴	담기/VV+ㄴ/ETM
재미있는	재미있/VA+는/ETM
이야기들뿐	이야기/NNG+들/XSN+뿐/JX
아니라,	아니/VCN+라/EC+,/SP
생태체험·명상·차(茶)문화	생태/NNG+체험/NNG+·/SP+명상/NNG+·/SP+차/NNG+(/SS+茶/SH+)/SS+문화/NNG
등과	등/NNB+과/JKB
연관	연관/NNG
지어	짓/VV+어/EC
다채로운	다채롭/VA+ㄴ/ETM
체험형	체험/NNG+형/XSN
템플스테이로	템플스테이/NNG+로/JKB
준비했다.	준비/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.68.6.1
주지 도신 스님이 아마바둑 5단인 충남 서산 서광사는 올 여름 '어린이 바둑 템플스테이'를 준비했다.

주지	주지/NNG
도신	도신/NNP
스님이	스님/NNG+이/JKS
아마바둑	아마/NNG+바둑/NNG
5단인	5/SN+단/NNG+이/VCP+ㄴ/ETM
충남	충남/NNP
서산	서산/NNP
서광사는	서광사/NNP+는/JX
올	올/NNG
여름	여름/NNG
'어린이	'/SS+어린이/NNG
바둑	바둑/NNG
템플스테이'를	템플스테이/NNG+'/SS+를/JKO
준비했다.	준비/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.68.6.2
이번에는 특히 중국 어린이가 대거 참여해 국내의 어린이 기사(棋士)들과 교류전도 벌인다.

이번에는	이번/NNG+에/JKB+는/JX
특히	특히/MAG
중국	중국/NNP
어린이가	어린이/NNG+가/JKS
대거	대거/MAG
참여해	참여/NNG+하/XSV+아/EC
국내의	국내/NNG+의/JKG
어린이	어린이/NNG
기사(棋士)들과	기사/NNG+(/SS+棋士/SH+)/SS+들/XSN+과/JKB
교류전도	교류전/NNG+도/JX
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.68.6.3
예불과 참선 등 전통적 순서는 사찰측이, 바둑 관련 순서는 대한바둑협회가 주관한다.

예불과	예불/NNG+과/JC
참선	참선/NNG
등	등/NNB
전통적	전통/NNG+적/XSN
순서는	순서/NNG+는/JX
사찰측이,	사찰/NNG+측/NNB+이/JKS+,/SP
바둑	바둑/NNG
관련	관련/NNG
대한바둑협회가	대한바둑협회/NNP+가/JKS
주관한다.	주관/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.68.6.4
한국 어린이들의 참여도 환영.

한국	한국/NNP
어린이들의	어린이/NNG+들/XSN+의/JKG
참여도	참여/NNG+도/JX
환영.	환영/NNG+./SF


# id : NWRW1800000030.68.7.1
12년째 운영 중인 전남 해남 미황사 한문학당 7박8일 과정도 올해 수강생을 모집 중이다.

12년째	12/SN+년/NNB+째/XSN
운영	운영/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
전남	전남/NNP
해남	해남/NNP
미황사	미황사/NNP
한문학당	한문/NNG+학당/NNG
7박8일	7/SN+박/NNB+8/SN+일/NNB
과정도	과정/NNG+도/JX
올해	올해/NNG
수강생을	수강/NNG+생/XSN+을/JKO
모집	모집/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.68.7.2
