# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.349
metadata : {}


# id : NWRW1800000053.349.1.1
“여름휴가 농어촌으로” 문재인 대통령, 캠페인 제안

“여름휴가	“/SS+여름휴가/NNG
농어촌으로”	농어촌/NNG+으로/JKB+”/SS
문재인	문재인/NNP
대통령,	대통령/NNG+,/SP
캠페인	캠페인/NNG
제안	제안/NNG


# id : NWRW1800000053.349.2.1
국무회의서 국내 관광 활성화 논의 “공무원 연차휴가 소진 독려하라” 5월 외국인 관광객 97만명 그쳐… 메르스 사태후 첫 100만명 아래로

국무회의서	국무/NNG+회의/NNG+서/JKB
국내	국내/NNG
관광	관광/NNG
활성화	활성/NNG+화/XSN
논의	논의/NNG
“공무원	“/SS+공무원/NNG
연차휴가	연차/NNG+휴가/NNG
소진	소진/NNG
독려하라”	독려/NNG+하/XSV+라/EF+”/SS
5월	5/SN+월/NNB
외국인	외국인/NNG
관광객	관광객/NNG
97만명	97/SN+만/NR+명/NNB
그쳐…	그치/VV+어/EC+…/SE
메르스	메르스/NNG
사태후	사태/NNG+후/NNG
첫	첫/MMN
100만명	100/SN+만/NR+명/NNB
아래로	아래/NNG+로/JKB


# id : NWRW1800000053.349.3.1
중국의 한국 여행 금지령, 북핵 위협 등으로 한국 관광이 최대 위기를 맞고 있다.

중국의	중국/NNP+의/JKG
한국	한국/NNP
여행	여행/NNG
금지령,	금지령/NNG+,/SP
북핵	북핵/NNG
위협	위협/NNG
등으로	등/NNB+으로/JKB
관광이	관광/NNG+이/JKS
최대	최대/NNG
위기를	위기/NNG+를/JKO
맞고	맞/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.349.3.2
이에 문재인 대통령은 “국내에서, 우리 농어촌에서 여름휴가를 보내자는 대국민 캠페인을 벌여 보자”고 제안했다.

이에	이/NP+에/JKB
문재인	문재인/NNP
대통령은	대통령/NNG+은/JX
“국내에서,	“/SS+국내/NNG+에서/JKB+,/SP
우리	우리/NP
농어촌에서	농어촌/NNG+에서/JKB
여름휴가를	여름휴가/NNG+를/JKO
보내자는	보내/VV+자는/ETM
대국민	대국민/NNG
캠페인을	캠페인/NNG+을/JKO
벌여	벌이/VV+어/EC
보자”고	보/VX+자/EF+”/SS+고/JKQ
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.349.4.1
11일 청와대에서 열린 국무회의에서는 국내 관광 활성화 방안이 논의됐다.

11일	11/SN+일/NNB
청와대에서	청와대/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
국무회의에서는	국무/NNG+회의/NNG+에서/JKB+는/JX
국내	국내/NNG
관광	관광/NNG
활성화	활성/NNG+화/XSN
방안이	방안/NNG+이/JKS
논의됐다.	논의/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.349.4.2
김영록 농림축산식품부 장관은 “대통령께서 연차 휴가를 다 사용할 계획이라고 말씀하셨고, 7월 휴가철을 맞이해 국내 관광을 활성화한다면 내수를 살릴 수 있는 좋은 기회가 될 것”이라며 “농촌에서 여름휴가를 보내는 분위기를 조성하는 데 적극적인 협조를 부탁드린다”고 말했다.

김영록	김영록/NNP
농림축산식품부	농림/NNG+축산/NNG+식품부/NNG
장관은	장관/NNG+은/JX
“대통령께서	“/SS+대통령/NNG+께서/JKS
연차	연차/NNG
휴가를	휴가/NNG+를/JKO
다	다/MAG
사용할	사용/NNG+하/XSV+ㄹ/ETM
