# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.204
metadata : {}


# id : NWRW1800000021.204.1.1
부시와 찍은 사진으로 인맥 과시… 日 기업인 6억 엔대 사기행각

부시와	부시/NNP+와/JKB
찍은	찍/VV+은/ETM
사진으로	사진/NNG+으로/JKB
인맥	인맥/NNG
과시…	과시/NNG+…/SE
日	日/SH
기업인	기업인/NNG
6억	6/SN+억/NR
엔대	엔/NNB+대/XSN
사기행각	사기/NNG+행각/NNG


# id : NWRW1800000021.204.2.1
조지 W 부시 전 대통령 부부와 찍은 사진으로 ‘백악관 인맥’을 과시하던 일본의 기업인이 사기 혐의 등으로 체포됐다고 요미우리신문이 26일 보도했다.

조지	조지/NNP
W	W/SL
부시	부시/NNP
전	전/MMD
대통령	대통령/NNG
부부와	부부/NNG+와/JKB
찍은	찍/VV+은/ETM
사진으로	사진/NNG+으로/JKB
‘백악관	‘/SS+백악관/NNP
인맥’을	인맥/NNG+’/SS+을/JKO
과시하던	과시/NNG+하/XSV+던/ETM
일본의	일본/NNP+의/JKG
기업인이	기업인/NNG+이/JKS
사기	사기/NNG
혐의	혐의/NNG
등으로	등/NNB+으로/JKB
체포됐다고	체포/NNG+되/XSV+었/EP+다고/EC
요미우리신문이	요미우리신문/NNP+이/JKS
26일	26/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.204.3.1
이 신문에 따르면 투자회사 ‘소브린 에셋 매니지먼트’의 한나카 아키오(阪中彰夫)사장(58)은 2005년 증시에 상장한 한 주택업체(페인트 하우스)에 자본을 허위로 증자하는 것처럼 속여서 주가를 띄워 약 4억 엔의 이익을 챙겼다는 것.

이	이/MMD
신문에	신문/NNG+에/JKB
따르면	따르/VV+면/EC
투자회사	투자/NNG+회사/NNG
‘소브린	‘/SS+소브린/NNP
에셋	에셋/NNG
매니지먼트’의	매니지먼트/NNG+’/SS+의/JKG
한나카	한나카/NNP
아키오(阪中彰夫)사장(58)은	아키오/NNP+(/SS+阪中彰夫/SH+)/SS+사장/NNG+(/SS+58/SN+)/SS+은/JX
2005년	2005/SN+년/NNB
증시에	증시/NNG+에/JKB
상장한	상장/NNG+하/XSV+ㄴ/ETM
한	한/MMN
주택업체(페인트	주택업체/NNG+(/SS+페인트/NNG
하우스)에	하우스/NNP+)/SS+에/JKB
자본을	자본/NNG+을/JKO
허위로	허위/NNG+로/JKB
증자하는	증자/NNG+하/XSV+는/ETM
것처럼	것/NNB+처럼/JKB
속여서	속이/VV+어서/EC
주가를	주가/NNG+를/JKO
띄워	띄우/VV+어/EC
약	약/MMA
4억	4/SN+억/NR
엔의	엔/NNB+의/JKG
이익을	이익/NNG+을/JKO
챙겼다는	챙기/VV+었/EP+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000021.204.3.2
지난해 봄에는 보석가공회사 사장에게 “러시아 광산에 투자하면 매월 순수익이 900만 엔(약 1억2000만 원)은 거뜬하게 넘긴다”며 투자를 권유해 2억7500만 엔을 받아 챙긴 혐의다.

지난해	지난해/NNG
봄에는	봄/NNG+에/JKB+는/JX
보석가공회사	보석/NNG+가공/NNG+회사/NNG
사장에게	사장/NNG+에게/JKB
“러시아	“/SS+러시아/NNP
광산에	광산/NNG+에/JKB
투자하면	투자/NNG+하/XSV+면/EC
매월	매월/MAG
순수익이	순수익/NNG+이/JKS
900만	900/SN+만/NR
엔(약	엔/NNB+(/SS+약/MMA
1억2000만	1/SN+억/NR+2000/SN+만/NR
원)은	원/NNB+)/SS+은/JX
거뜬하게	거뜬하/VA+게/EC
넘긴다”며	넘기/VV+ㄴ다/EF+”/SS+며/EC
투자를	투자/NNG+를/JKO
권유해	권유/NNG+하/XSV+아/EC
2억7500만	2/SN+억/NR+7500/SN+만/NR
엔을	엔/NNB+을/JKO
받아	받/VV+아/EC
챙긴	챙기/VV+ㄴ/ETM
혐의다.	혐의/NNG+이/VCP+다/EF+./SF


