# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.287
metadata : {}


# id : NWRW1800000054.287.1.1
[기자의 視角] 필리핀의 황당한 살인면허

[기자의	[/SS+기자/NNG+의/JKG
視角]	視角/SH+]/SS
필리핀의	필리핀/NNP+의/JKG
황당한	황당하/VA+ㄴ/ETM
살인면허	살인/NNG+면허/NNG


# id : NWRW1800000054.287.2.1
지난 17일 외교부에 비보(悲報)가 날아들었다.

지난	지나/VV+ㄴ/ETM
17일	17/SN+일/NNB
외교부에	외교부/NNG+에/JKB
비보(悲報)가	비보/NNG+(/SS+悲報/SH+)/SS+가/JKS
날아들었다.	날아들/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.287.2.2
작년 10월 중순 필리핀 중부 앙헬레스의 자택에서 납치된 한국인 사업가 지모(53)씨가 숨졌다는 소식이었다.

작년	작년/NNG
10월	10/SN+월/NNB
중순	중순/NNG
필리핀	필리핀/NNP
중부	중부/NNG
앙헬레스의	앙헬레스/NNP+의/JKG
자택에서	자택/NNG+에서/JKB
납치된	납치/NNG+되/XSV+ㄴ/ETM
한국인	한국인/NNG
사업가	사업가/NNG
지모(53)씨가	지/NNP+모/NP+(/SS+53/SN+)/SS+씨/NNB+가/JKS
숨졌다는	숨지/VV+었/EP+다는/ETM
소식이었다.	소식/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.287.2.3
지씨를 납치 당일 살해했다고 털어놓은 공모자도, 지씨 살해의 주범으로 지목된 리키 이사벨 경사도 모두 현직 경찰이었다.

지씨를	지/NNP+씨/NNB+를/JKO
납치	납치/NNG
당일	당일/NNG
살해했다고	살해/NNG+하/XSV+았/EP+다고/EC
털어놓은	털어놓/VV+은/ETM
공모자도,	공모자/NNG+도/JX+,/SP
지씨	지/NNP+씨/NNB
살해의	살해/NNG+의/JKG
주범으로	주범/NNG+으로/JKB
지목된	지목/NNG+되/XSV+ㄴ/ETM
리키	리키/NNP
이사벨	이사벨/NNP
경사도	경사/NNG+도/JX
모두	모두/MAG
현직	현직/NNG
경찰이었다.	경찰/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.287.2.4
필리핀 당국이 용의자로 지목한 8명 중 3명이 경찰이었다.

필리핀	필리핀/NNP
당국이	당국/NNG+이/JKS
용의자로	용의자/NNG+로/JKB
지목한	지목/NNG+하/XSV+ㄴ/ETM
8명	8/SN+명/NNB
중	중/NNB
3명이	3/SN+명/NNB+이/JKS
경찰이었다.	경찰/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.287.2.5
사건 당일 지씨의 집에 들이닥친 이들은 "마약 관련 혐의가 있다"며 그를 차로 납치해 살해하고 시신을 전직 경찰 동료가 운영하는 화장장에서 소각했다.

사건	사건/NNG
당일	당일/NNG
지씨의	지/NNP+씨/NNB+의/JKG
집에	집/NNG+에/JKB
들이닥친	들이닥치/VV+ㄴ/ETM
이들은	이/NNB+들/XSN+은/JX
"마약	"/SS+마약/NNG
관련	관련/NNG
혐의가	혐의/NNG+가/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
그를	그/NP+를/JKO
차로	차/NNG+로/JKB
납치해	납치/NNG+하/XSV+아/EC
살해하고	살해/NNG+하/XSV+고/EC
시신을	시신/NNG+을/JKO
전직	전직/NNG
경찰	경찰/NNG
동료가	동료/NNG+가/JKS
운영하는	운영/NNG+하/XSV+는/ETM
화장장에서	화장장/NNG+에서/JKB
소각했다.	소각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.287.2.6
작년 10월 말 지씨의 아내가 발신자 불명의 협박 문자메시지를 받고 몸값 500만페소(약 1억2000만원)를 보낼 때 지씨는 이미 세상에 없었다.

작년	작년/NNG
10월	10/SN+월/NNB
말	말/NNB
지씨의	지/NNP+씨/NNB+의/JKG
아내가	아내/NNG+가/JKS
발신자	발신자/NNG
불명의	불명/NNG+의/JKG
협박	협박/NNG
문자메시지를	문자/NNG+메시지/NNG+를/JKO
받고	받/VV+고/EC
몸값	몸값/NNG
500만페소(약	500/SN+만/NR+페소/NNB+(/SS+약/MMA
1억2000만원)를	1/SN+억/NR+2000/SN+만/NR+원/NNB+)/SS+를/JKO
보낼	보내/VV+ㄹ/ETM
때	때/NNG
지씨는	지/NNP+씨/NNB+는/JX
이미	이미/MAG
세상에	세상/NNG+에/JKB
