# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.31
metadata : {}


# id : NWRW1800000021.31.1.1
WEST… WASTE?

WEST…	WEST/SL+…/SE
WASTE?	WASTE/SL+?/SF


# id : NWRW1800000021.31.1.2
325명 뽑았지만 인턴취업 불투명

325명	325/SN+명/NNB
뽑았지만	뽑/VV+았/EP+지만/EC
인턴취업	인턴/NNG+취업/NNG
불투명	불/XPN+투명/NNG


# id : NWRW1800000021.31.2.1
대학에서 디자인을 전공한 김모(23·여) 씨는 미국대학생연수취업(WEST) 프로그램에 합격해 3월 미국으로 떠나게 된다.

대학에서	대학/NNG+에서/JKB
디자인을	디자인/NNG+을/JKO
전공한	전공/NNG+하/XSV+ㄴ/ETM
김모(23·여)	김/NNP+모/NP+(/SS+23/SN+·/SP+여/NNG+)/SS
씨는	씨/NNB+는/JX
미국대학생연수취업(WEST)	미국/NNP+대학/NNG+생/XSN+연수/NNG+취업/NNG+(/SS+WEST/SL+)/SS
프로그램에	프로그램/NNG+에/JKB
합격해	합격/NNG+하/XSV+아/EC
3월	3/SN+월/NNB
미국으로	미국/NNP+으로/JKB
떠나게	떠나/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.31.3.1
29일까지 ICD, CIEE, AIPT 등 미국 측 스폰서 업체 세 곳 중 어디를 택할지 희망순위를 제출해야 했지만 김 씨는 어느 기관에 지원해야 전공을 살려 인턴 자리를 구할 수 있을지 알 수 없었다.

29일까지	29/SN+일/NNB+까지/JX
ICD,	ICD/SL+,/SP
CIEE,	CIEE/SL+,/SP
AIPT	AIPT/SL
등	등/NNB
미국	미국/NNP
측	측/NNB
스폰서	스폰서/NNG
업체	업체/NNG
세	세/MMN
곳	곳/NNG
중	중/NNB
어디를	어디/NP+를/JKO
택할지	택하/VV+ㄹ지/EF
희망순위를	희망/NNG+순위/NNG+를/JKO
제출해야	제출/NNG+하/XSV+아야/EC
했지만	하/VX+았/EP+지만/EC
김	김/NNP
씨는	씨/NNB+는/JX
어느	어느/MMD
기관에	기관/NNG+에/JKB
지원해야	지원/NNG+하/XSV+아야/EC
전공을	전공/NNG+을/JKO
살려	살리/VV+어/EC
인턴	인턴/NNG
자리를	자리/NNG+를/JKO
구할	구하/VV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EF
알	알/VV+ㄹ/ETM
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.31.3.2
이날 오전까지도 업체에 대한 상세 정보가 계속 바뀌었기 때문이다.

이날	이날/NNG
오전까지도	오전/NNG+까지/JX+도/JX
업체에	업체/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
상세	상세/XR
정보가	정보/NNG+가/JKS
계속	계속/MAG
바뀌었기	바뀌/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.31.4.1
김 씨는 “국내 유학원에서도 300명을 미국에 보내려면 상담직원 20∼30명이 붙는 것은 기본”이라며 “정보 공개 속도가 너무 느려 학생들이 계속 혼란을 겪었다”고 불평했다.

김	김/NNP
씨는	씨/NNB+는/JX
“국내	“/SS+국내/NNG
유학원에서도	유학원/NNG+에서/JKB+도/JX
300명을	300/SN+명/NNB+을/JKO
미국에	미국/NNP+에/JKB
보내려면	보내/VV+려면/EC
상담직원	상담/NNG+직원/NNG
20∼30명이	20/SN+∼/SO+30/SN+명/NNB+이/JKS
붙는	붙/VV+는/ETM
것은	것/NNB+은/JX
기본”이라며	기본/NNG+”/SS+이/VCP+라며/EC
“정보	“/SS+정보/NNG
공개	공개/NNG
속도가	속도/NNG+가/JKS
너무	너무/MAG
느려	느리/VA+어/EC
학생들이	학생/NNG+들/XSN+이/JKS
계속	계속/MAG
혼란을	혼란/NNG+을/JKO
겪었다”고	겪/VV+었/EP+다/EF+”/SS+고/JKQ
불평했다.	불평/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.31.5.1
WEST 프로그램은 지난해 8월 한미 정상회담에서 합의된 것으로 대학생 및 최근 졸업생들이 미국에서 최장 18개월 동안 체류하며 어학연수(5개월), 인턴취업(12개월), 관광(1개월)을 할 수 있도록 한 제도.

WEST	WEST/SL
프로그램은	프로그램/NNG+은/JX
지난해	지난해/NNG
8월	8/SN+월/NNB
한미	한미/NNP
정상회담에서	정상/NNG+회담/NNG+에서/JKB
합의된	합의/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
대학생	대학/NNG+생/XSN
및	및/MAG
최근	최근/MAG
졸업생들이	졸업/NNG+생/XSN+들/XSN+이/JKS
미국에서	미국/NNP+에서/JKB
최장	최장/NNG
18개월	18/SN+개월/NNB
동안	동안/NNG
체류하며	체류/NNG+하/XSV+며/EC
어학연수(5개월),	어학연수/NNG+(/SS+5/SN+개월/NNB+)/SS+,/SP
인턴취업(12개월),	인턴/NNG+취업/NNG+(/SS+12/SN+개월/NNB+)/SS+,/SP
관광(1개월)을	관광/NNG+(/SS+1/SN+개월/NNB+)/SS+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
한	하/VX+ㄴ/ETM
제도.	제도/NNG+./SF


# id : NWRW1800000021.31.5.2
미국 국무부가 관리하는 스폰서 업체가 연수기관과 일자리를 알선해 준다.

미국	미국/NNP
국무부가	국무부/NNG+가/JKS
관리하는	관리/NNG+하/XSV+는/ETM
스폰서	스폰서/NNG
업체가	업체/NNG+가/JKS
연수기관과	연수/NNG+기관/NNG+과/JC
일자리를	일자리/NNG+를/JKO
알선해	알선/NNG+하/XSV+아/EC
준다.	주/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.31.6.1
정부는 WEST 프로그램이 적은 비용으로도 어학연수를 대체할 것으로 예상했지만 참여자들의 반응은 회의적이다.

정부는	정부/NNG+는/JX
WEST	WEST/SL
프로그램이	프로그램/NNG+이/JKS
적은	적/VA+은/ETM
비용으로도	비용/NNG+으로/JKB+도/JX
어학연수를	어학연수/NNG+를/JKO
대체할	대체/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상했지만	예상/NNG+하/XSV+았/EP+지만/EC
참여자들의	참여자/NNG+들/XSN+의/JKG
반응은	반응/NNG+은/JX
회의적이다.	회의/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000021.31.7.1
이 프로그램에 참여한 장모(23·중앙대 4년) 씨는 “신청할 때는 대한민국을 대표해 나간다는 자부심이 있었는데 진행 상황을 보니 실망이 크다”면서 “외교통상부에 문의해도 처음이라 시행착오가 많다는 말뿐이고 아직 오리엔테이션 한 번 열지 않았다”고 불만을 드러냈다.

이	이/MMD
