# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.190
metadata : {}


# id : NWRW1800000025.190.1.1
미래에셋, DLS-ELS 6종 판매

미래에셋,	미래에셋/NNP+,/SP
DLS-ELS	DLS/SL+-/SO+ELS/SL
6종	6/SN+종/NNG
판매	판매/NNG


# id : NWRW1800000025.190.2.1
미래에셋증권은 7월 2일까지 파생결합증권(DLS) 1종과 주가연계증권(ELS) 6종을 판매한다고 29일 밝혔다.

미래에셋증권은	미래에셋증권/NNP+은/JX
7월	7/SN+월/NNB
2일까지	2/SN+일/NNB+까지/JX
파생결합증권(DLS)	파생/NNG+결합/NNG+증권/NNG+(/SS+DLS/SL+)/SS
1종과	1/SN+종/NNG+과/JC
주가연계증권(ELS)	주가/NNG+연계/NNG+증권/NNG+(/SS+ELS/SL+)/SS
6종을	6/SN+종/NNG+을/JKO
판매한다고	판매/NNG+하/XSV+ㄴ다고/EC
29일	29/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.190.3.1
‘DLS 제155회’는 미국 서부 텍사스산 원유(WTI)의 최근 월 선물을 기초자산으로 한 1년 6개월 만기 상품으로 기초자산의 가격 변동에 따라 최대 21.5%의 수익을 지급한다.

‘DLS	‘/SS+DLS/SL
제155회’는	제/XPN+155/SN+회/NNB+’/SS+는/JX
미국	미국/NNP
서부	서부/NNG
텍사스산	텍사스/NNP+산/XSN
원유(WTI)의	원유/NNG+(/SS+WTI/SL+)/SS+의/JKG
최근	최근/MAG
월	월/NNG
선물을	선물/NNG+을/JKO
기초자산으로	기초/NNG+자산/NNG+으로/JKB
한	하/VV+ㄴ/ETM
1년	1/SN+년/NNB
6개월	6/SN+개월/NNB
만기	만기/NNG
상품으로	상품/NNG+으로/JKB
기초자산의	기초/NNG+자산/NNG+의/JKG
가격	가격/NNG
변동에	변동/NNG+에/JKB
따라	따르/VV+아/EC
최대	최대/NNG
21.5%의	21/SN+./SP+5/SN+%/SW+의/JKG
수익을	수익/NNG+을/JKO
지급한다.	지급/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.190.3.2
이 상품은 기초자산이 만기 평가일까지 한 번이라도 최초 기준가격의 130%를 초과 상승한 적이 없으면 만기 가격상승률의 65%에 2%를 더한 수익(최대 21.5%)을 지급한다.

이	이/MMD
상품은	상품/NNG+은/JX
기초자산이	기초/NNG+자산/NNG+이/JKS
만기	만기/NNG
평가일까지	평가일/NNG+까지/JX
한	한/MMN
번이라도	번/NNB+이/VCP+라도/EC
최초	최초/NNG
기준가격의	기준/NNG+가격/NNG+의/JKG
130%를	130/SN+%/SW+를/JKO
초과	초과/NNG
상승한	상승/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없으면	없/VA+으면/EC
가격상승률의	가격/NNG+상승/NNG+률/XSN+의/JKG
65%에	65/SN+%/SW+에/JKB
2%를	2/SN+%/SW+를/JKO
더한	더/MAG+하/XSV+ㄴ/ETM
수익(최대	수익/NNG+(/SS+최대/NNG
21.5%)을	21/SN+./SP+5/SN+%/SW+)/SS+을/JKO
지급한다.	지급/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.190.3.3
최초 기준가격의 130%를 넘더라도 150%를 초과한 적이 없으면 만기 가격상승률의 20%에 2%를 더한 수익을 지급한다.

최초	최초/NNG
기준가격의	기준/NNG+가격/NNG+의/JKG
130%를	130/SN+%/SW+를/JKO
넘더라도	넘/VV+더라도/EC
150%를	150/SN+%/SW+를/JKO
초과한	초과/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없으면	없/VA+으면/EC
만기	만기/NNG
가격상승률의	가격/NNG+상승/NNG+률/XSN+의/JKG
20%에	20/SN+%/SW+에/JKB
2%를	2/SN+%/SW+를/JKO
더한	더/MAG+하/XSV+ㄴ/ETM
수익을	수익/NNG+을/JKO
지급한다.	지급/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.190.3.4
이 외의 가격 변동에는 만기에 원금의 102%를 지급한다.

이	이/NP
외의	외/NNB+의/JKG
가격	가격/NNG
변동에는	변동/NNG+에/JKB+는/JX
만기에	만기/NNG+에/JKB
원금의	원금/NNG+의/JKG
102%를	102/SN+%/SW+를/JKO
지급한다.	지급/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.190.4.1
같은 기간 코스피200지수, 홍콩항셍중국기업지수(HSCEI), LG전자, 현대중공업, KT, LG, 두산인프라코어, 기아차 등의 종목과 연계한 ELS 상품 6종도 판매한다.

같은	같/VA+은/ETM
기간	기간/NNG
코스피200지수,	코스피/NNP+200/SN+지수/NNG+,/SP
홍콩항셍중국기업지수(HSCEI),	홍콩/NNP+항셍/NNP+중국/NNP+기업/NNG+지수/NNG+(/SS+HSCEI/SL+)/SS+,/SP
LG전자,	LG전자/NNP+,/SP
현대중공업,	현대중공업/NNP+,/SP
KT,	KT/SL+,/SP
LG,	LG/SL+,/SP
두산인프라코어,	두산인프라코어/NNP+,/SP
기아차	기아차/NNP
등의	등/NNB+의/JKG
종목과	종목/NNG+과/JKB
연계한	연계/NNG+하/XSV+ㄴ/ETM
ELS	ELS/SL
상품	상품/NNG
6종도	6/SN+종/NNG+도/JX
판매한다.	판매/NNG+하/XSV+ㄴ다/EF+./SF


