# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.354
metadata : {}


# id : NWRW1800000044.354.1.1
정몽준, 막내아들 이어 부인까지 구설수

정몽준,	정몽준/NNP+,/SP
막내아들	막내아들/NNG
이어	잇/VV+어/EC
부인까지	부인/NNG+까지/JX
구설수	구설수/NNG


# id : NWRW1800000044.354.2.1
[한겨레] “바른 소리라 격려…시기 안 좋았다” 발언 동영상 공개

[한겨레]	[/SS+한겨레/NNP+]/SS
“바른	“/SS+바르/VA+ㄴ/ETM
소리라	소리/NNG+이/VCP+라/EC
격려…시기	격려/NNG+…/SE+시기/NNG
안	안/MAG
좋았다”	좋/VA+았/EP+다/EF+”/SS
발언	발언/NNG
동영상	동영상/NNG
공개	공개/NNG


# id : NWRW1800000044.354.3.1
정 의원 “아내 발언 오해” 해명…아들 발언엔 다시 사과

정	정/NNP
의원	의원/NNG
“아내	“/SS+아내/NNG
발언	발언/NNG
오해”	오해/NNG+”/SS
해명…아들	해명/NNG+…/SE+아들/NNG
발언엔	발언/NNG+에/JKB+ㄴ/JX
다시	다시/MAG
사과	사과/NNG


# id : NWRW1800000044.354.4.1
6·4 지방선거 새누리당 서울시장 후보 경선을 하루 앞둔 11일, 정몽준 의원의 부인 김영명(58)씨가 아들의 ‘국민정서 미개’ 발언에 대해 “시기가 안 좋았다”고 말해 논란이 일고 있다.

6·4	6/SN+·/SP+4/SN
지방선거	지방/NNG+선거/NNG
새누리당	새누리당/NNP
서울시장	서울시장/NNG
후보	후보/NNG
경선을	경선/NNG+을/JKO
하루	하루/NNG
앞둔	앞두/VV+ㄴ/ETM
11일,	11/SN+일/NNB+,/SP
정몽준	정몽준/NNP
의원의	의원/NNG+의/JKG
부인	부인/NNG
김영명(58)씨가	김영명/NNP+(/SS+58/SN+)/SS+씨/NNB+가/JKS
아들의	아들/NNG+의/JKG
‘국민정서	‘/SS+국민/NNG+정서/NNG
미개’	미개/NNG+’/SS
발언에	발언/NNG+에/JKB
대해	대하/VV+아/EC
“시기가	“/SS+시기/NNG+가/JKS
안	안/MAG
좋았다”고	좋/VA+았/EP+다/EF+”/SS+고/JKQ
말해	말/NNG+하/XSV+아/EC
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.354.5.1
11일 인터넷언론인 <민중의 소리>가 공개한 동영상을 보면, 김씨는 최근 새누리당 서울 중랑구 당협 사무실을 방문한 자리에서 세월호와 관련한 막내아들의 발언에 대해 “‘바른 소리 했다’고 격려해 주시고 위로해 주시긴 하는데, 시기가 안 좋았다”고 아들의 발언을 옹호하는 듯한 말을 했다.

11일	11/SN+일/NNB
인터넷언론인	인터넷/NNG+언론/NNG+이/VCP+ㄴ/ETM
<민중의	</SS+민중/NNG+의/JKG
소리>가	소리/NNG+>/SS+가/JKS
공개한	공개/NNG+하/XSV+ㄴ/ETM
동영상을	동영상/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
김씨는	김/NNP+씨/NNB+는/JX
최근	최근/MAG
새누리당	새누리당/NNP
서울	서울/NNP
중랑구	중랑구/NNP
당협	당협/NNG
사무실을	사무실/NNG+을/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
세월호와	세월호/NNP+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
막내아들의	막내아들/NNG+의/JKG
발언에	발언/NNG+에/JKB
대해	대하/VV+아/EC
“‘바른	“/SS+‘/SS+바르/VA+ㄴ/ETM
소리	소리/NNG
했다’고	하/VV+았/EP+다/EF+’/SS+고/JKQ
격려해	격려/NNG+하/XSV+아/EC
주시고	주/VX+시/EP+고/EC
위로해	위로/NNG+하/XSV+아/EC
주시긴	주/VX+시/EP+기/ETN+ㄴ/JX
하는데,	하/VX+는데/EC+,/SP
시기가	시기/NNG+가/JKS
안	안/MAG
좋았다”고	좋/VA+았/EP+다/EF+”/SS+고/JKQ
아들의	아들/NNG+의/JKG
발언을	발언/NNG+을/JKO
옹호하는	옹호/NNG+하/XSV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
말을	말/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.354.5.2
그는 이어 “어린아이다 보니 말 선택이 안 좋았던 것 같다”고 덧붙였다.

그는	그/NP+는/JX
이어	이어/MAG
“어린아이다	“/SS+어린아이/NNG+이/VCP+다/EC
보니	보/VV+니/EC
말	말/NNG
선택이	선택/NNG+이/JKS
안	안/MAG
좋았던	좋/VA+았/EP+던/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.354.6.1
이에 정몽준 의원 쪽 이수희 대변인은 “김씨가 막내아들 발언을 사과하는데, 한 참석자가 위로 차원에서 김씨에게 ‘옳은 말 썼더라’는 내용의 말을 했다”며 “그 말에 대해 김씨가 막내아들 잘못을 강조한 것이지, 아들 발언을 옹호한 말이 아니었다”고 설명했다.

이에	이/NP+에/JKB
정몽준	정몽준/NNP
의원	의원/NNG
쪽	쪽/NNB
이수희	이수희/NNP
대변인은	대변인/NNG+은/JX
“김씨가	“/SS+김/NNP+씨/NNB+가/JKS
막내아들	막내아들/NNG
발언을	발언/NNG+을/JKO
사과하는데,	사과/NNG+하/XSV+는데/EC+,/SP
한	한/MMN
참석자가	참석자/NNG+가/JKS
위로	위로/NNG
차원에서	차원/NNG+에서/JKB
김씨에게	김/NNP+씨/NNB+에게/JKB
‘옳은	‘/SS+옳/VA+은/ETM
말	말/NNG
썼더라’는	쓰/VV+었/EP+더라/EF+’/SS+는/ETM
내용의	내용/NNG+의/JKG
말을	말/NNG+을/JKO
했다”며	하/VV+았/EP+다/EF+”/SS+며/EC
“그	“/SS+그/MMD
말에	말/NNG+에/JKB
대해	대하/VV+아/EC
김씨가	김/NNP+씨/NNB+가/JKS
잘못을	잘못/NNG+을/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
것이지,	것/NNB+이/VCP+지/EC+,/SP
아들	아들/NNG
옹호한	옹호/NNG+하/XSV+ㄴ/ETM
말이	말/NNG+이/JKC
아니었다”고	아니/VCN+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.354.7.1
정 의원은 이날 기자들에게 보낸 문자메시지에서 “아내와 저는 아들의 글이 변명의 여지가 없는 잘못이라고 생각한다”며 “아내와 저, 아들 모두 세월호 희생자와 유가족분 모두에게 상처를 주고 국민들께 실망을 드린 점 다시 한번 사죄드린다”고 밝혔다.

정	정/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
기자들에게	기자/NNG+들/XSN+에게/JKB
보낸	보내/VV+ㄴ/ETM
문자메시지에서	문자/NNG+메시지/NNG+에서/JKB
“아내와	“/SS+아내/NNG+와/JC
저는	저/NP+는/JX
아들의	아들/NNG+의/JKG
글이	글/NNG+이/JKS
변명의	변명/NNG+의/JKG
여지가	여지/NNB+가/JKS
없는	없/VA+는/ETM
잘못이라고	잘못/NNG+이/VCP+라고/EC
생각한다”며	생각/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
저,	저/NP+,/SP
아들	아들/NNG
모두	모두/MAG
세월호	세월호/NNP
희생자와	희생자/NNG+와/JC
유가족분	유가족/NNG+분/NNB
모두에게	모두/NNG+에게/JKB
상처를	상처/NNG+를/JKO
주고	주/VV+고/EC
국민들께	국민/NNG+들/XSN+께/JKB
실망을	실망/NNG+을/JKO
드린	드리/VV+ㄴ/ETM
점	점/NNG
다시	다시/MAG
한번	한/MMN+번/NNB
사죄드린다”고	사죄/NNG+드리/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.354.7.2
