# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.177
metadata : {}


# id : NWRW1800000038.177.1.1
'性접대' 윤중천씨에 로비 받은 혐의… 대우건설 압수수색

'性접대'	'/SS+性/SH+접대/NNG+'/SS
윤중천씨에	윤중천/NNP+씨/NNB+에/JKB
로비	로비/NNG
받은	받/VV+은/ETM
혐의…	혐의/NNG+…/SE
대우건설	대우건설/NNP
압수수색	압수/NNG+수색/NNG


# id : NWRW1800000038.177.2.1
춘천 골프장 공사 하도급 때 브로커 통해 로비 정황 포착… 대우건설 측선 "청탁 없었다"

춘천	춘천/NNP
골프장	골프장/NNG
공사	공사/NNG
하도급	하도급/NNG
때	때/NNG
브로커	브로커/NNG
통해	통하/VV+아/EC
로비	로비/NNG
정황	정황/NNG
포착…	포착/NNG+…/SE
대우건설	대우건설/NNP
측선	측/NNB+서/JKB+ㄴ/JX
"청탁	"/SS+청탁/NNG
없었다"	없/VA+었/EP+다/EF+"/SS


# id : NWRW1800000038.177.3.1
건설업자 윤중천(52)씨의 별장 성 접대 사건을 수사 중인 경찰청 특수수사과는 24일 서울 종로구 신문로 대우건설 본사를 압수수색했다.

건설업자	건설업자/NNG
윤중천(52)씨의	윤중천/NNP+(/SS+52/SN+)/SS+씨/NNB+의/JKG
별장	별장/NNG
성	성/NNG
접대	접대/NNG
사건을	사건/NNG+을/JKO
수사	수사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
경찰청	경찰청/NNG
특수수사과는	특수/NNG+수사과/NNG+는/JX
24일	24/SN+일/NNB
서울	서울/NNP
종로구	종로구/NNP
신문로	신문로/NNP
대우건설	대우건설/NNP
본사를	본사/NNG+를/JKO
압수수색했다.	압수/NNG+수색/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.177.3.2
경찰은 윤씨가 지난 2010년 강원도 춘천 P골프장 공사 하도급을 따내는 과정에서 브로커를 통해 시공사인 대우건설에 로비한 정황을 확보한 것으로 알려졌다.

경찰은	경찰/NNG+은/JX
윤씨가	윤/NNP+씨/NNB+가/JKS
지난	지나/VV+ㄴ/ETM
2010년	2010/SN+년/NNB
강원도	강원도/NNP
춘천	춘천/NNP
P골프장	P/SL+골프장/NNG
공사	공사/NNG
하도급을	하도급/NNG+을/JKO
따내는	따내/VV+는/ETM
과정에서	과정/NNG+에서/JKB
브로커를	브로커/NNG+를/JKO
통해	통하/VV+아/EC
시공사인	시공사/NNG+이/VCP+ㄴ/ETM
대우건설에	대우건설/NNP+에/JKB
로비한	로비/NNG+하/XSV+ㄴ/ETM
정황을	정황/NNG+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.177.3.3
경찰은 지난 14일 대우건설 관계자를 소환해 조사했고, 이날 관련 장부를 압수했다.

경찰은	경찰/NNG+은/JX
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
대우건설	대우건설/NNP
관계자를	관계자/NNG+를/JKO
소환해	소환/NNG+하/XSV+아/EC
조사했고,	조사/NNG+하/XSV+았/EP+고/EC+,/SP
이날	이날/NNG
관련	관련/NNG
장부를	장부/NNG+를/JKO
압수했다.	압수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.177.4.1
당시 윤씨가 운영하던 동인건설은 170억원짜리 클럽하우스와 토목공사 일부 등 260억원 규모의 공사를 따냈다.

당시	당시/NNG
윤씨가	윤/NNP+씨/NNB+가/JKS
운영하던	운영/NNG+하/XSV+던/ETM
동인건설은	동인건설/NNP+은/JX
170억원짜리	170/SN+억/NR+원/NNB+짜리/XSN
클럽하우스와	클럽하우스/NNG+와/JC
토목공사	토목/NNG+공사/NNG
일부	일부/NNG
등	등/NNB
260억원	260/SN+억/NR+원/NNB
규모의	규모/NNG+의/JKG
공사를	공사/NNG+를/JKO
따냈다.	따내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.177.4.2
이는 동인건설이 당시 수년 동안 따낸 공사 중 가장 큰 규모였다.

이는	이/NP+는/JX
동인건설이	동인건설/NNP+이/JKS
당시	당시/NNG
수년	수년/NNG
동안	동안/NNG
따낸	따내/VV+ㄴ/ETM
