# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.35
metadata : {}


# id : NWRW1800000024.35.1.1
벼랑끝 C&그룹

벼랑끝	벼랑/NNG+끝/NNG
C&그룹	C&그룹/NNP


# id : NWRW1800000024.35.2.1
금융권이 지난 20일 조선사인 시앤(C&)중공업의 퇴출 결정을 내리면서, 시앤그룹도 생사의 갈림길에 서게 됐다.

금융권이	금융/NNG+권/XSN+이/JKS
지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
조선사인	조선사/NNG+이/VCP+ㄴ/ETM
시앤(C&)중공업의	시앤/NNP+(/SS+C/SL+&/SW+)/SS+중공업/NNG+의/JKG
퇴출	퇴출/NNG
결정을	결정/NNG+을/JKO
내리면서,	내리/VV+면서/EC+,/SP
시앤그룹도	시앤그룹/NNP+도/JX
생사의	생사/NNG+의/JKG
갈림길에	갈림길/NNG+에/JKB
서게	서/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.35.2.2
1990년 임병석 회장이 설립한 칠산해운을 모태로 2002년부터 세양선박(현 시앤상선)과 우방건설(시앤우방), 아남건설(시앤우방이엔시) 등 굵직한 기업들을 인수하며 고속 성장해온 그룹의 운명이 최대 위기에 직면한 것이다.

1990년	1990/SN+년/NNB
임병석	임병석/NNP
회장이	회장/NNG+이/JKS
설립한	설립/NNG+하/XSV+ㄴ/ETM
칠산해운을	칠산해운/NNP+을/JKO
모태로	모태/NNG+로/JKB
2002년부터	2002/SN+년/NNB+부터/JX
세양선박(현	세양선박/NNP+(/SS+현/MMD
시앤상선)과	시앤상선/NNP+)/SS+과/JC
우방건설(시앤우방),	우방건설/NNP+(/SS+시앤우방/NNP+)/SS+,/SP
아남건설(시앤우방이엔시)	아남건설/NNP+(/SS+시앤우방이엔시/NNP+)/SS
등	등/NNB
굵직한	굵직하/VA+ㄴ/ETM
기업들을	기업/NNG+들/XSN+을/JKO
인수하며	인수/NNG+하/XSV+며/EC
고속	고속/NNG
성장해온	성장/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
그룹의	그룹/NNG+의/JKG
운명이	운명/NNG+이/JKS
최대	최대/NNG
위기에	위기/NNG+에/JKB
직면한	직면/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.35.3.1
21일 시앤그룹 등의 말을 종합해보면, 시앤그룹의 지배구조는 시앤해운을 중심으로 시앤우방-시앤상선-시앤중공업 등 27개 계열사의 지분이 얽혀 있다.

21일	21/SN+일/NNB
시앤그룹	시앤그룹/NNP
등의	등/NNB+의/JKG
말을	말/NNG+을/JKO
종합해보면,	종합/NNG+하/XSV+아/EC+보/VX+면/EC+,/SP
시앤그룹의	시앤그룹/NNP+의/JKG
지배구조는	지배/NNG+구조/NNG+는/JX
시앤해운을	시앤해운/NNP+을/JKO
중심으로	중심/NNG+으로/JKB
시앤우방-시앤상선-시앤중공업	시앤우방/NNP+-/SO+시앤상선/NNP+-/SO+시앤중공업/NNP
등	등/NNB
27개	27/SN+개/NNB
계열사의	계열사/NNG+의/JKG
지분이	지분/NNG+이/JKS
얽혀	얽히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.35.3.2
겉으로 보면 시앤중공업이 주요 계열사 간 지배구조의 아랫단에 위치해 있지만, 실제로는 순환출자 형식으로 묶여 있어 구조가 훨씬 더 복잡하다.

겉으로	겉/NNG+으로/JKB
보면	보/VV+면/EC
시앤중공업이	시앤중공업/NNP+이/JKS
주요	주요/NNG
계열사	계열사/NNG
간	간/NNB
지배구조의	지배/NNG+구조/NNG+의/JKG
아랫단에	아랫단/NNG+에/JKB
위치해	위치/NNG+하/XSV+아/EC
있지만,	있/VX+지만/EC+,/SP
실제로는	실제로/MAG+는/JX
순환출자	순환/NNG+출자/NNG
형식으로	형식/NNG+으로/JKB
묶여	묶이/VV+어/EC
있어	있/VX+어/EC
구조가	구조/NNG+가/JKS
훨씬	훨씬/MAG
더	더/MAG
복잡하다.	복잡하/VA+다/EF+./SF


# id : NWRW1800000024.35.3.3
예를 들어 시앤중공업은 시앤우방 지분 4.8%, 시앤해운 9.9%, 시앤라인 75.5% 등을 보유한 시앤그룹 내 주요 출자사다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
시앤중공업은	시앤중공업/NNP+은/JX
시앤우방	시앤우방/NNP
지분	지분/NNG
4.8%,	4/SN+./SP+8/SN+%/SW+,/SP
시앤해운	시앤해운/NNP
9.9%,	9/SN+./SP+9/SN+%/SW+,/SP
시앤라인	시앤라인/NNP
75.5%	75/SN+./SP+5/SN+%/SW
등을	등/NNB+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
시앤그룹	시앤그룹/NNP
내	내/NNB
주요	주요/NNG
출자사다.	출자사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.35.3.4
시앤중공업이 퇴출되면 그룹 전체에 미치는 파장이 클 수밖에 없다.

시앤중공업이	시앤중공업/NNP+이/JKS
퇴출되면	퇴출/NNG+되/XSV+면/EC
그룹	그룹/NNG
전체에	전체/NNG+에/JKB
미치는	미치/VV+는/ETM
파장이	파장/NNG+이/JKS
클	크/VA+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.35.4.1
그룹 전체적으로도 자금 압박에 시달리고 있다.

그룹	그룹/NNG
전체적으로도	전체/NNG+적/XSN+으로/JKB+도/JX
자금	자금/NNG
압박에	압박/NNG+에/JKB
시달리고	시달리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.35.4.2
그룹 쪽은 경영 정상화에 필요한 돈이 1600억원가량이라고 밝히고 있다.

그룹	그룹/NNG
쪽은	쪽/NNB+은/JX
경영	경영/NNG
정상화에	정상/NNG+화/XSN+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
돈이	돈/NNG+이/JKS
1600억원가량이라고	1600/SN+억/NR+원/NNB+가량/XSN+이/VCP+라고/EC
밝히고	밝히/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.35.4.3
시앤중공업과 시앤우방은 몇 달째 직원들 월급조차 지급하지 못하고 있다.

시앤중공업과	시앤중공업/NNP+과/JC
시앤우방은	시앤우방/NNP+은/JX
몇	몇/NR
달째	달/NNB+째/XSN
직원들	직원/NNG+들/XSN
월급조차	월급/NNG+조차/JX
지급하지	지급/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.35.4.4
하지만 시앤중공업의 긴급 운영자금 150억원 지원을 놓고도 채권단 간에 분담 비율 합의가 이뤄지지 않은 점을 고려하면 그룹 차원에서도 금융권 자금 조달은 쉽지 않은 상황이다.

하지만	하지만/MAJ
시앤중공업의	시앤중공업/NNP+의/JKG
긴급	긴급/NNG
운영자금	운영/NNG+자금/NNG
150억원	150/SN+억/NR+원/NNB
지원을	지원/NNG+을/JKO
놓고도	놓/VV+고/EC+도/JX
채권단	채권단/NNG
간에	간/NNB+에/JKB
분담	분담/NNG
비율	비율/NNG
합의가	합의/NNG+가/JKS
이뤄지지	이뤄지/VV+지/EC
않은	않/VX+은/ETM
