# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.241
metadata : {}


# id : NWRW1800000044.241.1.1
“의료민영화로 해석하는건 괴담” 복지장관, 부대사업 확대 옹호

“의료민영화로	“/SS+의료/NNG+민영/NNG+화/XSN+로/JKB
해석하는건	해석/NNG+하/XSV+는/ETM+거/NNB+ㄴ/JX
괴담”	괴담/NNG+”/SS
복지장관,	복지/NNG+장관/NNG+,/SP
부대사업	부대사업/NNG
확대	확대/NNG
옹호	옹호/NNG


# id : NWRW1800000044.241.2.1
[한겨레] 문형표 보건복지부 장관은 19일 “의료산업 육성은 선택의 문제가 아니라 능동적으로 대처해야 하는 시대적 요구로, 정부가 추진하는 의료법인 부대사업 범위 확대를 ‘의료민영화’로 해석하고 주장하는 건 괴담”이라고 말했다.

[한겨레]	[/SS+한겨레/NNP+]/SS
문형표	문형표/NNP
보건복지부	보건/NNG+복지부/NNG
장관은	장관/NNG+은/JX
19일	19/SN+일/NNB
“의료산업	“/SS+의료/NNG+산업/NNG
육성은	육성/NNG+은/JX
선택의	선택/NNG+의/JKG
문제가	문제/NNG+가/JKC
아니라	아니/VCN+라/EC
능동적으로	능동/NNG+적/XSN+으로/JKB
대처해야	대처/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
시대적	시대/NNG+적/XSN
요구로,	요구/NNG+로/JKB+,/SP
정부가	정부/NNG+가/JKS
추진하는	추진/NNG+하/XSV+는/ETM
의료법인	의료/NNG+법인/NNG
부대사업	부대사업/NNG
범위	범위/NNG
확대를	확대/NNG+를/JKO
‘의료민영화’로	‘/SS+의료/NNG+민영/NNG+화/XSN+’/SS+로/JKB
해석하고	해석/NNG+하/XSV+고/EC
주장하는	주장/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
괴담”이라고	괴담/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.241.3.1
문 장관은 이날 세종시 정부세종청사에서 기자간담회를 열어 “의료법인이 할 수 있는 부대사업의 범위를 넓혀 의료산업을 키우는 건 의료민영화가 아니라 세계화”라며 이렇게 말했다.

문	문/NNP
장관은	장관/NNG+은/JX
이날	이날/NNG
세종시	세종시/NNP
정부세종청사에서	정부세종청사/NNP+에서/JKB
기자간담회를	기자/NNG+간담회/NNG+를/JKO
열어	열/VV+어/EC
“의료법인이	“/SS+의료/NNG+법인/NNG+이/JKS
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
부대사업의	부대사업/NNG+의/JKG
범위를	범위/NNG+를/JKO
넓혀	넓히/VV+어/EC
의료산업을	의료/NNG+산업/NNG+을/JKO
키우는	키우/VV+는/ETM
건	거/NNB+ㄴ/JX
의료민영화가	의료/NNG+민영/NNG+화/XSN+가/JKC
아니라	아니/VCN+라/EC
세계화”라며	세계/NNG+화/XSN+”/SS+이/VCP+라며/EC
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.241.3.2
문 장관은 최근 의료공공성 확대보다는 의료산업 육성을 지나치게 강조하는 복지부를 빗대 ‘보건의료산업부’라는 비판이 나온다는 지적에 대해 “의료법인 부대사업 규제를 풀게 되면 (의료서비스) 공급자 입장을 상당히 대변하는 측면이 있다는 걸 부정하지는 않겠다.

문	문/NNP
장관은	장관/NNG+은/JX
최근	최근/MAG
의료공공성	의료/NNG+공공/NNG+성/XSN
