# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.246
metadata : {}


# id : NWRW1800000022.246.1.1
[수도권] '도시형 생활주택 1호' 짓는다;신림동에 원룸형, 돈암동에 기숙사형

[수도권]	[/SS+수도/NNG+권/XSN+]/SS
'도시형	'/SS+도시/NNG+형/XSN
생활주택	생활/NNG+주택/NNG
1호'	1/SN+호/NNB+'/SS
짓는다;신림동에	짓/VV+는다/EF+;/SW+신림동/NNP+에/JKB
원룸형,	원룸/NNG+형/XSN+,/SP
돈암동에	돈암동/NNP+에/JKB
기숙사형	기숙사/NNG+형/XSN


# id : NWRW1800000022.246.2.1
신대방역 인근에 원룸형 주택, 길음역 인근에 기숙사형 주택이 선다.

신대방역	신대방역/NNP
인근에	인근/NNG+에/JKB
원룸형	원룸/NNG+형/XSN
주택,	주택/NNG+,/SP
길음역	길음역/NNP
기숙사형	기숙사/NNG+형/XSN
주택이	주택/NNG+이/JKS
선다.	서/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.246.2.2
서울시는 관악구 신림동 534-1 일대 1875㎡ 터에 지하1~지상9층, 전용면적 18.29㎡ 규모 원룸형 주택 149가구와, 성북구 돈암동 2-43 317㎡ 땅에 지하1~지상6층, 전용면적 17㎡ 규모 기숙사형 주택 21가구를 짓겠다는 민간의 사업승인 신청이 들어와 해당 자치구에서 심의 중이며, 다음 달 '도시형 생활주택 1호'로 인·허가가 날 전망이라고 9일 밝혔다.

서울시는	서울시/NNP+는/JX
관악구	관악구/NNP
신림동	신림동/NNP
534-1	534/SN+-/SO+1/SN
일대	일대/NNG
1875㎡	1875/SN+㎡/SW
터에	터/NNG+에/JKB
지하1~지상9층,	지하/NNG+1/SN+~/SO+지상/NNG+9/SN+층/NNG+,/SP
전용면적	전용/NNG+면적/NNG
18.29㎡	18/SN+./SP+29/SN+㎡/SW
규모	규모/NNG
원룸형	원룸/NNG+형/XSN
주택	주택/NNG
149가구와,	149/SN+가구/NNG+와/JC+,/SP
성북구	성북구/NNP
돈암동	돈암동/NNP
2-43	2/SN+-/SO+43/SN
317㎡	317/SN+㎡/SW
땅에	땅/NNG+에/JKB
지하1~지상6층,	지하/NNG+1/SN+~/SO+지상/NNG+6/SN+층/NNG+,/SP
17㎡	17/SN+㎡/SW
기숙사형	기숙사/NNG+형/XSN
21가구를	21/SN+가구/NNG+를/JKO
짓겠다는	짓/VV+겠/EP+다는/ETM
민간의	민간/NNG+의/JKG
사업승인	사업/NNG+승인/NNG
신청이	신청/NNG+이/JKS
들어와	들어오/VV+아/EC
해당	해당/NNG
자치구에서	자치구/NNG+에서/JKB
심의	심의/NNG
중이며,	중/NNB+이/VCP+며/EC+,/SP
다음	다음/NNG
달	달/NNG
'도시형	'/SS+도시/NNG+형/XSN
생활주택	생활/NNG+주택/NNG
1호'로	1/SN+호/NNB+'/SS+로/JKB
인·허가가	인·허가/NNG+가/JKS
날	나/VV+ㄹ/ETM
전망이라고	전망/NNG+이/VCP+라고/EC
9일	9/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.246.3.1
도시형 생활주택이란 뉴타운·재개발 등 정비사업에 따른 서민 이주 수요와 최근 급증한 1~2인 가구를 고려해, 주차장 설치기준 등을 완화해 역세권·대학가를 중심으로 공급하는 소형 주택이다.

도시형	도시/NNG+형/XSN
생활주택이란	생활/NNG+주택/NNG+이란/JX
뉴타운·재개발	뉴타운/NNG+·/SP+재/XPN+개발/NNG
등	등/NNB
정비사업에	정비/NNG+사업/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
서민	서민/NNG
이주	이주/NNG
수요와	수요/NNG+와/JC
최근	최근/MAG
급증한	급증/NNG+하/XSV+ㄴ/ETM
1~2인	1/SN+~/SO+2/SN+인/NNG
가구를	가구/NNG+를/JKO
고려해,	고려/NNG+하/XSV+아/EC+,/SP
주차장	주차장/NNG
설치기준	설치/NNG+기준/NNG
등을	등/NNB+을/JKO
완화해	완화/NNG+하/XSV+아/EC
역세권·대학가를	역세권/NNG+·/SP+대학가/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
공급하는	공급/NNG+하/XSV+는/ETM
소형	소형/NNG
주택이다.	주택/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.246.3.2
시 주택국은 오는 11월까지 주차장 설치 완화구역 25곳을 지정해 민간의 도시형 생활주택 건설을 활성화하겠다고 밝혔다.

시	시/NNG
주택국은	주택국/NNG+은/JX
오는	오/VV+는/ETM
11월까지	11/SN+월/NNB+까지/JX
주차장	주차장/NNG
설치	설치/NNG
완화구역	완화/NNG+구역/NNG
25곳을	25/SN+곳/NNG+을/JKO
지정해	지정/NNG+하/XSV+아/EC
민간의	민간/NNG+의/JKG
도시형	도시/NNG+형/XSN
생활주택	생활/NNG+주택/NNG
건설을	건설/NNG+을/JKO
활성화하겠다고	활성/NNG+화/XSN+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.246.3.3
또 SH공사가 공공부문 도시형 생활주택의 본보기로서 방화동 원룸형 주택과 서초구 우면2택지개발지구 단지형 다세대 주택을 연말 착공, 내년 말 완공해 시범 공급할 예정이라고 덧붙였다.

또	또/MAG
SH공사가	SH공사/NNP+가/JKS
공공부문	공공/NNG+부문/NNG
도시형	도시/NNG+형/XSN
생활주택의	생활/NNG+주택/NNG+의/JKG
본보기로서	본보기/NNG+로서/JKB
방화동	방화동/NNP
원룸형	원룸/NNG+형/XSN
주택과	주택/NNG+과/JC
서초구	서초구/NNP
우면2택지개발지구	우면/NNP+2/SN+택지/NNG+개발/NNG+지구/NNG
단지형	단지/NNG+형/XSN
다세대	다세대/NNG
주택을	주택/NNG+을/JKO
연말	연말/NNG
착공,	착공/NNG+,/SP
내년	내년/NNG
말	말/NNB
완공해	완공/NNG+하/XSV+아/EC
시범	시범/NNG
공급할	공급/NNG+하/XSV+ㄹ/ETM
예정이라고	예정/NNG+이/VCP+라고/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.246.3.4
(02)3707-9775

(02)3707-9775	(/SS+02/SN+)/SS+3707/SN+-/SO+9775/SN


