# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.229
metadata : {}


# id : NWRW1800000032.229.1.1
대법 “전교조 교사 명단 공개는 위법”

대법	대법/NNG
“전교조	“/SS+전교조/NNP
교사	교사/NNG
명단	명단/NNG
공개는	공개/NNG+는/JX
위법”	위법/NNG+”/SS


# id : NWRW1800000032.229.2.1
조전혁 의원 재항고 기각…“기본권 침해” 원심 확정

조전혁	조전혁/NNP
의원	의원/NNG
재항고	재/XPN+항고/NNG
기각…“기본권	기각/NNG+…/SE+“/SS+기본/NNG+권/XSN
침해”	침해/NNG+”/SS
원심	원심/NNG
확정	확정/NNG


# id : NWRW1800000032.229.3.1
전교조, 조 의원·동아일보 상대 손배소 탄력 받을듯

전교조,	전교조/NNP+,/SP
조	조/NNP
의원·동아일보	의원/NNG+·/SP+동아일보/NNP
상대	상대/NNG
손배소	손배소/NNG
탄력	탄력/NNG
받을듯	받/VV+을/ETM+듯/NNB


# id : NWRW1800000032.229.4.1
조전혁(52·사진) 한나라당 의원이 전국교직원노동조합(전교조)에 가입한 교사들의 명단을 공개한 것은 교사들의 기본권을 침해한 위법 행위라는 법원의 최종 판단이 나왔다.

조전혁(52·사진)	조전혁/NNP+(/SS+52/SN+·/SP+사진/NNG+)/SS
한나라당	한나라당/NNP
의원이	의원/NNG+이/JKS
전국교직원노동조합(전교조)에	전국교직원노동조합/NNP+(/SS+전교조/NNP+)/SS+에/JKB
가입한	가입/NNG+하/XSV+ㄴ/ETM
교사들의	교사/NNG+들/XSN+의/JKG
명단을	명단/NNG+을/JKO
공개한	공개/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
기본권을	기본/NNG+권/XSN+을/JKO
침해한	침해/NNG+하/XSV+ㄴ/ETM
위법	위법/NNG
행위라는	행위/NNG+이/VCP+라는/ETM
법원의	법원/NNG+의/JKG
최종	최종/NNG
판단이	판단/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.229.5.1
대법원 1부는 ‘전교조 가입 교사 명단의 공개를 금지하는 것은 부당하다’며 조 의원이 낸 재항고를 기각했다고 12일 밝혔다.

대법원	대/XPN+법원/NNG
1부는	1/SN+부/NNG+는/JX
‘전교조	‘/SS+전교조/NNP
가입	가입/NNG
교사	교사/NNG
명단의	명단/NNG+의/JKG
공개를	공개/NNG+를/JKO
금지하는	금지/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
부당하다’며	부당/NNG+하/XSA+다/EF+’/SS+며/EC
조	조/NNP
의원이	의원/NNG+이/JKS
낸	내/VV+ㄴ/ETM
재항고를	재/XPN+항고/NNG+를/JKO
기각했다고	기각/NNG+하/XSV+았/EP+다고/EC
12일	12/SN+일/NNB
