# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.213
metadata : {}


# id : NWRW1800000052.213.1.1
EU 18개국은 이미 도입…주주·노동이사 반반 독일 대표적

EU	EU/SL
18개국은	18/SN+개국/NNB+은/JX
이미	이미/MAG
도입…주주·노동이사	도입/NNG+…/SE+주주/NNG+·/SP+노동/NNG+이사/NNG
반반	반반/NNG
독일	독일/NNP
대표적	대표/NNG+적/XSN


# id : NWRW1800000052.213.2.1
서울시 “사회갈등 해소에 도움”

서울시	서울시/NNP
“사회갈등	“/SS+사회/NNG+갈등/NNG
해소에	해소/NNG+에/JKB
도움”	도움/NNG+”/SS


# id : NWRW1800000052.213.3.1
노동계 “노동자 대표 과반돼야”

노동계	노동/NNG+계/XSN
“노동자	“/SS+노동자/NNG
대표	대표/NNG
과반돼야”	과반/NNG+되/XSV+어야/EC+”/SS


# id : NWRW1800000052.213.4.1
경총 “위험하고 무모한 실험”

경총	경총/NNP
“위험하고	“/SS+위험/NNG+하/XSA+고/EC
무모한	무모/NNG+하/XSA+ㄴ/ETM
실험”	실험/NNG+”/SS


# id : NWRW1800000052.213.5.1
서울시가 10일 구체적 도입방안을 발표한 ‘노동이사제(근로자이사제)’는 우리나라에서는 낯설지만 유럽에서는 많은 나라에서 도입하고 있는 제도다.

서울시가	서울시/NNP+가/JKS
10일	10/SN+일/NNB
구체적	구체/NNG+적/XSN
도입방안을	도입/NNG+방안/NNG+을/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘노동이사제(근로자이사제)’는	‘/SS+노동/NNG+이사/NNG+제/XSN+(/SS+근로자/NNG+이사/NNG+제/XSN+)/SS+’/SS+는/JX
우리나라에서는	우리나라/NNG+에서/JKB+는/JX
낯설지만	낯설/VA+지만/EC
유럽에서는	유럽/NNP+에서/JKB+는/JX
많은	많/VA+은/ETM
나라에서	나라/NNG+에서/JKB
도입하고	도입/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
제도다.	제도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.213.6.1
유럽연합(EU)은 기본권 헌장에 “기업의 사회적ㆍ경제적 결정에 대해 정보를 제공받고 협의할 수 있는 노동자의 권리”를 인정하고 있다.

유럽연합(EU)은	유럽연합/NNP+(/SS+EU/SL+)/SS+은/JX
기본권	기본/NNG+권/XSN
헌장에	헌장/NNG+에/JKB
“기업의	“/SS+기업/NNG+의/JKG
사회적ㆍ경제적	사회/NNG+적/XSN+ㆍ/SP+경제/NNG+적/XSN
결정에	결정/NNG+에/JKB
대해	대하/VV+아/EC
정보를	정보/NNG+를/JKO
제공받고	제공/NNG+받/XSV+고/EC
협의할	협의/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
노동자의	노동자/NNG+의/JKG
권리”를	권리/NNG+”/SS+를/JKO
인정하고	인정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.213.6.2
