# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.103
metadata : {}


# id : NWRW1800000022.103.1.1
道정치인 잇단 스캔들 "최욱철, 이광재, 이광준…";사법처리에 도내 정가 촉각 "강원도 정치력 약화 우려"

道정치인	道/SH+정치인/NNG
잇단	잇달/VV+ㄴ/ETM
스캔들	스캔들/NNG
"최욱철,	"/SS+최욱철/NNP+,/SP
이광재,	이광재/NNP+,/SP
이광준…";사법처리에	이광준/NNP+…/SE+"/SS+;/SP+사법/NNG+처리/NNG+에/JKB
도내	도내/NNG
정가	정가/NNG
촉각	촉각/NNG
"강원도	"/SS+강원도/NNP
정치력	정치력/NNG
약화	약화/NNG
우려"	우려/NNG+"/SS


# id : NWRW1800000022.103.2.1
강원도 정가가 술렁이고 있다.

강원도	강원도/NNP
정가가	정가/NNG+가/JKS
술렁이고	술렁이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.103.2.2
공직선거법 위반 혐의로 최욱철 의원이 대법원의 최종 판단을 남겨 놓고 있는 가운데 이광재 의원은 불법 정치자금 파문에 휩싸였다.

공직선거법	공직/NNG+선거법/NNG
위반	위반/NNG
혐의로	혐의/NNG+로/JKB
최욱철	최욱철/NNP
의원이	의원/NNG+이/JKS
대법원의	대/XPN+법원/NNG+의/JKG
최종	최종/NNG
판단을	판단/NNG+을/JKO
남겨	남기/VV+어/EC
놓고	놓/VX+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
이광재	이광재/NNP
의원은	의원/NNG+은/JX
불법	불법/NNG
정치자금	정치/NNG+자금/NNG
파문에	파문/NNG+에/JKB
휩싸였다.	휩싸이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.103.2.3
여기에 건설업자에게 받은 돈을 복지단체 등에 전달한 이광준 춘천시장도 검찰 조사를 받았다.

여기에	여기/NP+에/JKB
건설업자에게	건설업자/NNG+에게/JKB
받은	받/VV+은/ETM
돈을	돈/NNG+을/JKO
복지단체	복지/NNG+단체/NNG
등에	등/NNB+에/JKB
전달한	전달/NNG+하/XSV+ㄴ/ETM
이광준	이광준/NNP
춘천시장도	춘천시장/NNG+도/JX
검찰	검찰/NNG
조사를	조사/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.103.2.4
도민들은 정치인들의 잇따른 파문에 중앙에서 강원도의 정치력이 약화되지 않을까 우려하고 있다.

도민들은	도민/NNG+들/XSN+은/JX
정치인들의	정치인/NNG+들/XSN+의/JKG
