# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.13
metadata : {}


# id : NWRW1800000030.13.1.1
[이집트 민주화 시위 8일째… 화들짝 놀란 지구촌] 中國… 이집트 관련 인터넷 검색 차단

[이집트	[/SS+이집트/NNP
민주화	민주/NNG+화/XSN
시위	시위/NNG
8일째…	8/SN+일/NNB+째/XSN+…/SE
화들짝	화들짝/MAG
놀란	놀라/VV+ㄴ/ETM
지구촌]	지구촌/NNG+]/SS
中國…	中國/SH+…/SE
이집트	이집트/NNP
관련	관련/NNG
인터넷	인터넷/NNG
검색	검색/NNG
차단	차단/NNG


# id : NWRW1800000030.13.2.1
?실업·빈부격차 닮은 꼴… 톈안먼사태 악몽 떠올려

?실업·빈부격차	?/SF+실업/NNG+·/SP+빈부/NNG+격차/NNG
닮은	닮/VV+은/ETM
꼴…	꼴/NNG+…/SE
톈안먼사태	톈안먼/NNP+사태/NNG
악몽	악몽/NNG
떠올려	떠올리/VV+어/EC


# id : NWRW1800000030.13.3.1
중국이 이집트에서 벌어지고 있는 대규모 시위사태의 불똥이 중국으로 튀지 않을까 바짝 긴장하고 있다.

중국이	중국/NNP+이/JKS
이집트에서	이집트/NNP+에서/JKB
벌어지고	벌어지/VV+고/EC
있는	있/VX+는/ETM
대규모	대/XPN+규모/NNG
시위사태의	시위/NNG+사태/NNG+의/JKG
불똥이	불똥/NNG+이/JKS
중국으로	중국/NNP+으로/JKB
튀지	튀/VV+지/EC
않을까	않/VX+을까/EF
바짝	바짝/MAG
긴장하고	긴장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.13.3.2
청년실업, 물가폭등, 빈부격차 등 대형 시위를 촉발하는 사회불안 요소에서 중국·이집트가 너무 닮았기 때문이라고 CNN 등 외신은 보도했다.

청년실업,	청년/NNG+실업/NNG+,/SP
물가폭등,	물가/NNG+폭등/NNG+,/SP
빈부격차	빈부/NNG+격차/NNG
등	등/NNB
대형	대형/NNG
시위를	시위/NNG+를/JKO
촉발하는	촉발/NNG+하/XSV+는/ETM
사회불안	사회/NNG+불안/NNG
요소에서	요소/NNG+에서/JKB
중국·이집트가	중국/NNP+·/SP+이집트/NNP+가/JKS
너무	너무/MAG
닮았기	닮/VV+았/EP+기/ETN
때문이라고	때문/NNB+이/VCP+라고/EC
CNN	CNN/SL
외신은	외신/NNG+은/JX
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.13.4.1
주요 관영 매체들의 이집트 사태 보도는 사태의 원인이나 진전 상황보다는 자국민 철수 문제에 집중되고 있고 인터넷에 대해서도 강한 통제가 이뤄지고 있다.

주요	주요/NNG
관영	관영/NNG
매체들의	매체/NNG+들/XSN+의/JKG
이집트	이집트/NNP
사태	사태/NNG
보도는	보도/NNG+는/JX
사태의	사태/NNG+의/JKG
원인이나	원인/NNG+이나/JC
진전	진전/NNG
상황보다는	상황/NNG+보다/JKB+는/JX
자국민	자국민/NNG
철수	철수/NNG
문제에	문제/NNG+에/JKB
집중되고	집중/NNG+되/XSV+고/EC
있고	있/VX+고/EC
인터넷에	인터넷/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
강한	강하/VA+ㄴ/ETM
통제가	통제/NNG+가/JKS
이뤄지고	이뤄지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.13.4.2
외신에서는 수만명의 시민이 거리로 쏟아져 나오고 군 탱크가 시내에 진주하는 모습이 지난 1989년 톈안먼(天安門) 사태의 악몽을 떠올리기 때문 아니냐는 분석이 나온다.

외신에서는	외신/NNG+에서/JKB+는/JX
수만명의	수만/NR+명/NNB+의/JKG
시민이	시민/NNG+이/JKS
거리로	거리/NNG+로/JKB
쏟아져	쏟아지/VV+어/EC
나오고	나오/VV+고/EC
군	군/NNG
탱크가	탱크/NNG+가/JKS
시내에	시내/NNG+에/JKB
진주하는	진주/NNG+하/XSV+는/ETM
모습이	모습/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
1989년	1989/SN+년/NNB
톈안먼(天安門)	톈안먼/NNP+(/SS+天安門/SH+)/SS
사태의	사태/NNG+의/JKG
악몽을	악몽/NNG+을/JKO
떠올리기	떠올리/VV+기/ETN
때문	때문/NNB
아니냐는	아니/VCN+냐는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.13.4.3
당시 중국은 군을 동원한 유혈 진압에 나서 대학생 수백명이 사망했다.

당시	당시/NNG
중국은	중국/NNP+은/JX
군을	군/NNG+을/JKO
동원한	동원/NNG+하/XSV+ㄴ/ETM
유혈	유혈/NNG
진압에	진압/NNG+에/JKB
나서	나서/VV+어/EC
대학생	대학/NNG+생/XSN
수백명이	수백/NR+명/NNB+이/JKS
사망했다.	사망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.13.5.1
중국의 대표적인 미니 블로그로 사용자가 5000만명에 이르는 시나닷컴(新浪網)의 미니 블로그는 지난달 30일부터 이집트 관련 검색이 막혀 있다.

중국의	중국/NNP+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
미니	미니/NNG
블로그로	블로그/NNG+로/JKB
사용자가	사용자/NNG+가/JKS
5000만명에	5000/SN+만/NR+명/NNB+에/JKB
이르는	이르/VV+는/ETM
시나닷컴(新浪網)의	시나닷컴/NNP+(/SS+新浪網/SH+)/SS+의/JKG
블로그는	블로그/NNG+는/JX
지난달	지난달/NNG
30일부터	30/SN+일/NNB+부터/JX
이집트	이집트/NNP
관련	관련/NNG
검색이	검색/NNG+이/JKS
막혀	막히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.13.5.2
이 미니블로그에는 중국 내 비판적인 지식인이 대거 가입해 있다.

이	이/MMD
미니블로그에는	미니/NNG+블로그/NNG+에/JKB+는/JX
중국	중국/NNP
내	내/NNB
비판적인	비판/NNG+적/XSN+이/VCP+ㄴ/ETM
지식인이	지식인/NNG+이/JKS
대거	대거/MAG
가입해	가입/NNG+하/XSV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.13.5.3
또 주요 포털사이트에서 이집트 사태 보도에 대한 댓글 달기도 차단돼 있다고 로이터 통신은 보도했다.

또	또/MAG
주요	주요/NNG
포털사이트에서	포털/NNG+사이트/NNG+에서/JKB
이집트	이집트/NNP
사태	사태/NNG
보도에	보도/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
댓글	댓글/NNG
달기도	달/VV+기/ETN+도/JX
차단돼	차단/NNG+되/XSV+어/EC
있다고	있/VX+다고/EC
로이터	로이터/NNP
통신은	통신/NNG+은/JX
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.13.6.1
중국이 이집트 사태 자체에 대한 보도는 허용하면서 미니 블로그 등은 차단하고 있는 데 대해 베이징 외교가에서는 이집트 사태의 여파가 중국으로 확산되는 것을 막기 위한 예방 조치로 분석했다.

중국이	중국/NNP+이/JKS
이집트	이집트/NNP
사태	사태/NNG
자체에	자체/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보도는	보도/NNG+는/JX
허용하면서	허용/NNG+하/XSV+면서/EC
미니	미니/NNG
블로그	블로그/NNG
등은	등/NNB+은/JX
차단하고	차단/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
데	데/NNB
대해	대하/VV+아/EC
베이징	베이징/NNP
외교가에서는	외교가/NNG+에서/JKB+는/JX
사태의	사태/NNG+의/JKG
여파가	여파/NNG+가/JKS
중국으로	중국/NNP+으로/JKB
확산되는	확산/NNG+되/XSV+는/ETM
것을	것/NNB+을/JKO
막기	막/VV+기/ETN
위한	위하/VV+ㄴ/ETM
예방	예방/NNG
조치로	조치/NNG+로/JKB
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.13.6.2
한 소식통은 "중국도 지난 수년간 도시 농민공(農民工·시골에서 돈을 벌기 위해 상경한 농민)의 시위와 노사 분규가 빈발하는 등 내부 불만의 목소리가 터져 나오고 있다"면서 "통제가 어려운 미니 블로그를 통해 다양한 의견이 분출되는 것을 막기 위한 것으로 보인다"고 말했다.

한	한/MMN
소식통은	소식통/NNG+은/JX
"중국도	"/SS+중국/NNP+도/JX
지난	지나/VV+ㄴ/ETM
수년간	수년/NNG+간/XSN
도시	도시/NNG
농민공(農民工·시골에서	농민공/NNG+(/SS+農民工/SH+·/SP+시골/NNG+에서/JKB
돈을	돈/NNG+을/JKO
벌기	벌/VV+기/ETN
위해	위하/VV+아/EC
상경한	상경/NNG+하/XSV+ㄴ/ETM
농민)의	농민/NNG+)/SS+의/JKG
시위와	시위/NNG+와/JC
노사	노사/NNG
분규가	분규/NNG+가/JKS
빈발하는	빈발/NNG+하/XSV+는/ETM
등	등/NNB
내부	내부/NNG
불만의	불만/NNG+의/JKG
목소리가	목소리/NNG+가/JKS
터져	터지/VV+어/EC
나오고	나오/VV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"통제가	"/SS+통제/NNG+가/JKS
어려운	어렵/VA+ㄴ/ETM
미니	미니/NNG
블로그를	블로그/NNG+를/JKO
통해	통하/VV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
의견이	의견/NNG+이/JKS
분출되는	분출/NNG+되/XSV+는/ETM
것을	것/NNB+을/JKO
막기	막/VV+기/ETN
위한	위하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다"고	보이/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.13.7.1
홍콩의 사우스차이나모닝포스트(SCMP)도 1일 "이집트 사태의 모습은 유혈 진압으로 끝난 톈안먼 사태와 놀라울 정도로 유사하다"면서 "베이징이 바짝 긴장하면서 보도와 인터넷 통제에 나서고 있다"고 보도했다.

홍콩의	홍콩/NNP+의/JKG
사우스차이나모닝포스트(SCMP)도	사우스차이나모닝포스트/NNP+(/SS+SCMP/SL+)/SS+도/JX
1일	1/SN+일/NNB
"이집트	"/SS+이집트/NNP
사태의	사태/NNG+의/JKG
모습은	모습/NNG+은/JX
유혈	유혈/NNG
진압으로	진압/NNG+으로/JKB
끝난	끝나/VV+ㄴ/ETM
톈안먼	톈안먼/NNP
사태와	사태/NNG+와/JKB
놀라울	놀랍/VA+ㄹ/ETM
정도로	정도/NNG+로/JKB
유사하다"면서	유사/NNG+하/XSA+다/EF+"/SS+면서/EC
"베이징이	"/SS+베이징/NNP+이/JKS
바짝	바짝/MAG
긴장하면서	긴장/NNG+하/XSV+면서/EC
보도와	보도/NNG+와/JC
인터넷	인터넷/NNG
통제에	통제/NNG+에/JKB
나서고	나서/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.13.8.1
중국 외교부 훙레이(洪磊) 대변인도 1일 이집트 사태 자체에 대한 평가는 유보한 채 "조속한 시일 내에 사회적 안정과 정상 질서를 회복하기를 바란다"고만 짤막하게 밝혔다.

중국	중국/NNP
외교부	외교부/NNG
훙레이(洪磊)	훙레이/NNP+(/SS+洪磊/SH+)/SS
대변인도	대변인/NNG+도/JX
1일	1/SN+일/NNB
이집트	이집트/NNP
사태	사태/NNG
자체에	자체/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
평가는	평가/NNG+는/JX
유보한	유보/NNG+하/XSV+ㄴ/ETM
채	채/NNB
"조속한	"/SS+조속하/VA+ㄴ/ETM
시일	시일/NNG
내에	내/NNB+에/JKB
사회적	사회/NNG+적/XSN
안정과	안정/NNG+과/JC
정상	정상/NNG
질서를	질서/NNG+를/JKO
회복하기를	회복/NNG+하/XSV+기/ETN+를/JKO
바란다"고만	바라/VV+ㄴ다/EF+"/SS+고/JKQ+만/JX
짤막하게	짤막하/VA+게/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


