# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.292
metadata : {}


# id : NWRW1800000032.292.1.1
‘성추행 당한 여학생 인격장애’ 2차피해 사실로 고대 의대생, 명예훼손 추가기소

‘성추행	‘/SS+성추행/NNG
당한	당하/VV+ㄴ/ETM
여학생	여학생/NNG
인격장애’	인격/NNG+장애/NNG+’/SS
2차피해	2/SN+차/NNB+피해/NNG
사실로	사실/NNG+로/JKB
고대	고대/NNP
의대생,	의대/NNG+생/XSN+,/SP
명예훼손	명예/NNG+훼손/NNG
추가기소	추가/NNG+기소/NNG


# id : NWRW1800000032.292.2.1
처벌 피하려 허위문서 작성

처벌	처벌/NNG
피하려	피하/VV+려/EC
허위문서	허위/NNG+문서/NNG
작성	작성/NNG


# id : NWRW1800000032.292.3.1
동료 의대생들에게 배포

동료	동료/NNG
의대생들에게	의대/NNG+생/XSN+들/XSN+에게/JKB
배포	배포/NNG


# id : NWRW1800000032.292.4.1
같은 혐의 어머니도 기소

같은	같/VA+은/ETM
혐의	혐의/NNG
어머니도	어머니/NNG+도/JX
기소	기소/NNG


# id : NWRW1800000032.292.5.1
동기 여학생을 성추행한 혐의로 구속된 전 고려대 의대생과 어머니가 처벌을 면하려고 “피해자에게 인격장애가 있다”며 ‘2차 피해’를 가한 사실이 드러났다.

동기	동기/NNG
여학생을	여학생/NNG+을/JKO
성추행한	성추행/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
구속된	구속/NNG+되/XSV+ㄴ/ETM
전	전/MMD
고려대	고려대/NNP
의대생과	의대/NNG+생/XSN+과/JC
어머니가	어머니/NNG+가/JKS
처벌을	처벌/NNG+을/JKO
면하려고	면하/VV+려고/EC
“피해자에게	“/SS+피해자/NNG+에게/JKB
인격장애가	인격/NNG+장애/NNG+가/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
‘2차	‘/SS+2/SN+차/NNB
피해’를	피해/NNG+’/SS+를/JKO
가한	가하/VV+ㄴ/ETM
사실이	사실/NNG+이/JKS
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.292.6.1
서울중앙지검 형사5부(부장 고기영)는 28일, 전 고려대 의대생 배아무개(25·수감중)씨를 명예훼손 혐의로 추가 기소하고, 그의 어머니 서아무개(51)씨도 같은 혐의로 불구속 기소했다고 밝혔다.

서울중앙지검	서울중앙지검/NNP
형사5부(부장	형사/NNG+5/SN+부/NNG+(/SS+부장/NNG
고기영)는	고기영/NNP+)/SS+는/JX
28일,	28/SN+일/NNB+,/SP
전	전/MMD
고려대	고려대/NNP
의대생	의대/NNG+생/XSN
배아무개(25·수감중)씨를	배/NNP+아무개/NP+(/SS+25/SN+·/SP+수감/NNG+중/NNB+)/SS+씨/NNB+를/JKO
명예훼손	명예/NNG+훼손/NNG
혐의로	혐의/NNG+로/JKB
추가	추가/NNG
기소하고,	기소/NNG+하/XSV+고/EC+,/SP
그의	그/NP+의/JKG
어머니	어머니/NNG
서아무개(51)씨도	서/NNP+아무개/NP+(/SS+51/SN+)/SS+씨/NNB+도/JX
같은	같/VA+은/ETM
불구속	불/XPN+구속/NNG
기소했다고	기소/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.292.7.1
검찰 수사 결과를 보면, 배씨와 서씨는 지난 6월14일 특수강제추행 혐의로 배씨의 구속영장이 청구되자 다음날 영장실질심사를 맡은 재판부에 낼 ‘사실확인서’를 작성했다.

검찰	검찰/NNG
수사	수사/NNG
결과를	결과/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
배씨와	배/NNP+씨/NNB+와/JC
서씨는	서/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
6월14일	6/SN+월/NNB+14/SN+일/NNB
특수강제추행	특수/NNG+강제/NNG+추행/NNG
혐의로	혐의/NNG+로/JKB
배씨의	배/NNP+씨/NNB+의/JKG
구속영장이	구속/NNG+영장/NNG+이/JKS
청구되자	청구/NNG+되/XSV+자/EC
다음날	다음날/NNG
영장실질심사를	영장/NNG+실질/NNG+심사/NNG+를/JKO
맡은	맡/VV+은/ETM
재판부에	재판부/NNG+에/JKB
낼	내/VV+ㄹ/ETM
‘사실확인서’를	‘/SS+사실/NNG+확인서/NNG+’/SS+를/JKO
작성했다.	작성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.292.7.2
“피해자가 다른 학생들과 잘 어울리지 못했다, 그나마 (성추행 사건 당사자인) 박○○, 한○○, 배○○가 피해자가 학교생활을 유지할 수 있도록 도와줬다, 학우들 사이에서는 피해자가 인격장애가 있는 것 아니냐는 얘기가 돌았다, 이번에 불거진 강제추행 사건 역시 피해자의 인격장애적 성향 때문에 크게 부풀려진 것이 아니냐는 견해가 매우 우세하다, 이 내용은 모두 사실이며 법정에 증인으로 출석하여 증언할 용의도 있다”는 내용이었다.

“피해자가	“/SS+피해자/NNG+가/JKS
다른	다른/MMD
학생들과	학생/NNG+들/XSN+과/JKB
잘	잘/MAG
어울리지	어울리/VV+지/EC
