# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.63
metadata : {}


# id : NWRW1800000036.63.1.1
3개부문 쪼개진 삼성전자 이재용 부회장 ‘원톱 체제’

3개부문	3/SN+개/NNB+부문/NNG
쪼개진	쪼개지/VV+ㄴ/ETM
삼성전자	삼성전자/NNP
이재용	이재용/NNP
부회장	부회장/NNG
‘원톱	‘/SS+원톱/NNG
체제’	체제/NNG+’/SS


# id : NWRW1800000036.63.2.1
[한겨레] 완제품 부문 ‘가전-IT·모바일’ 분리

[한겨레]	[/SS+한겨레/NNP+]/SS
완제품	완제품/NNG
부문	부문/NNG
‘가전-IT·모바일’	‘/SS+가전/NNG+-/SO+IT/SL+·/SP+모바일/NNG+’/SS
분리	분리/NNG


# id : NWRW1800000036.63.3.1
부품 부문은 유지 ‘3개축 조직개편’

부품	부품/NNG
부문은	부문/NNG+은/JX
유지	유지/NNG
‘3개축	‘/SS+3/SN+개/NNB+축/NNG
조직개편’	조직/NNG+개편/NNG+’/SS


# id : NWRW1800000036.63.4.1
권오현·윤부근·신종균 부문장에

권오현·윤부근·신종균	권오현/NNP+·/SP+윤부근/NNP+·/SP+신종균/NNP
부문장에	부문장/NNG+에/JKB


# id : NWRW1800000036.63.5.1
이 부회장은 ‘총지휘’ 경영 전면 나서

이	이/NNP
부회장은	부회장/NNG+은/JX
‘총지휘’	‘/SS+총지휘/NNG+’/SS
경영	경영/NNG
전면	전면/NNG
나서	나서/VV+어/EF


# id : NWRW1800000036.63.6.1
삼성전자가 스마트폰·텔레비전 등 완제품 사업을 담당하는 디엠시(DMC·디지털미디어&커뮤니케이션) 부문을 없애고, 디엠시 산하에 있던 소비자가전(CE)과 정보기술·모바일(IM) 담당을 부문으로 격상시키기로 했다.

삼성전자가	삼성전자/NNP+가/JKS
스마트폰·텔레비전	스마트폰/NNG+·/SP+텔레비전/NNG
등	등/NNB
완제품	완제품/NNG
사업을	사업/NNG+을/JKO
담당하는	담당/NNG+하/XSV+는/ETM
디엠시(DMC·디지털미디어&커뮤니케이션)	디엠시/NNG+(/SS+DMC/SL+·/SP+디지털/NNG+미디어/NNG+&/SW+커뮤니케이션/NNG+)/SS
부문을	부문/NNG+을/JKO
없애고,	없애/VV+고/EC+,/SP
디엠시	디엠시/NNG
산하에	산하/NNG+에/JKB
있던	있/VA+던/ETM
소비자가전(CE)과	소비자/NNG+가전/NNG+(/SS+CE/SL+)/SS+과/JC
정보기술·모바일(IM)	정보/NNG+기술/NNG+·/SP+모바일/NNG+(/SS+IM/SL+)/SS
담당을	담당/NNG+을/JKO
부문으로	부문/NNG+으로/JKB
격상시키기로	격상/NNG+시키/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.63.6.2
지난해 사업을 완제품과 부품(DS·디바이스솔루션) 부문으로 구분한 데 이어 올해 완제품을 다시 둘로 나눠 3부문으로 개편한 것이다.

지난해	지난해/NNG
사업을	사업/NNG+을/JKO
완제품과	완제품/NNG+과/JC
부품(DS·디바이스솔루션)	부품/NNG+(/SS+DS/SL+·/SP+디바이스/NNG+솔루션/NNG+)/SS
부문으로	부문/NNG+으로/JKB
구분한	구분/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
올해	올해/NNG
완제품을	완제품/NNG+을/JKO
다시	다시/MAG
둘로	둘/NR+로/JKB
나눠	나누/VV+어/EC
3부문으로	3/SN+부문/NNG+으로/JKB
개편한	개편/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.63.6.3
이로써 이재용 부회장의 승진과 함께 ‘이재용-권오현 부회장 체제’의 삼성전자가 만들어지게 됐다.

이로써	이/NP+로써/JKB
이재용	이재용/NNP
부회장의	부회장/NNG+의/JKG
승진과	승진/NNG+과/JKB
함께	함께/MAG
‘이재용-권오현	‘/SS+이재용/NNP+-/SO+권오현/NNP
부회장	부회장/NNG
체제’의	체제/NNG+’/SS+의/JKG
삼성전자가	삼성전자/NNP+가/JKS
만들어지게	만들/VV+어/EC+지/VX+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.63.7.1
삼성전자는 12일 이같은 내용의 조직개편을 발표했다.

삼성전자는	삼성전자/NNP+는/JX
12일	12/SN+일/NNB
이같은	이/NP+같/VA+은/ETM
내용의	내용/NNG+의/JKG
조직개편을	조직/NNG+개편/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.63.7.2
삼성전자는 지난해 조직개편에서 완제품과 부품을 구분해 ‘최지성-권오현 부회장 체제’로 운영해오다, 지난 6월 최 부회장이 그룹 미래전략실장으로 올라가면서 완제품 부문의 수장이 공석으로 남아 있었다.

삼성전자는	삼성전자/NNP+는/JX
지난해	지난해/NNG
조직개편에서	조직/NNG+개편/NNG+에서/JKB
완제품과	완제품/NNG+과/JC
부품을	부품/NNG+을/JKO
구분해	구분/NNG+하/XSV+아/EC
‘최지성-권오현	‘/SS+최지성/NNP+-/SO+권오현/NNP
부회장	부회장/NNG
체제’로	체제/NNG+’/SS+로/JKB
운영해오다,	운영/NNG+하/XSV+아/EC+오/VX+다/EC+,/SP
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
최	최/NNP
부회장이	부회장/NNG+이/JKS
그룹	그룹/NNG
미래전략실장으로	미래/NNG+전략실장/NNG+으로/JKB
올라가면서	올라가/VV+면서/EC
완제품	완제품/NNG
부문의	부문/NNG+의/JKG
수장이	수장/NNG+이/JKS
공석으로	공석/NNG+으로/JKB
남아	남/VV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000036.63.7.3
최근 이재용 부회장의 승진으로 아예 완제품 부문장을 없애고 완제품의 두 담당을 각각 부문으로 격상시킨 것이다.

최근	최근/NNG
이재용	이재용/NNP
부회장의	부회장/NNG+의/JKG
승진으로	승진/NNG+으로/JKB
아예	아예/MAG
완제품	완제품/NNG
부문장을	부문장/NNG+을/JKO
없애고	없애/VV+고/EC
완제품의	완제품/NNG+의/JKG
두	두/MMN
담당을	담당/NNG+을/JKO
각각	각각/MAG
부문으로	부문/NNG+으로/JKB
격상시킨	격상/NNG+시키/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.63.7.4
각 부문의 장은 기존처럼 소비자가전은 윤부근, 정보기술·모바일은 신종균 사장이 맡는다.

각	각/MMD
부문의	부문/NNG+의/JKG
장은	장/NNG+은/JX
기존처럼	기존/NNG+처럼/JKB
소비자가전은	소비자/NNG+가전/NNG+은/JX
윤부근,	윤부근/NNP+,/SP
정보기술·모바일은	정보/NNG+기술/NNG+·/SP+모바일/NNG+은/JX
신종균	신종균/NNP
사장이	사장/NNG+이/JKS
맡는다.	맡/VV+는다/EF+./SF


# id : NWRW1800000036.63.7.5
삼성전자는 “소비자가전과 정보기술·모바일 각각의 사업에서 100조원 이상의 매출이 발생하고 있어, 조직의 위상 및 사업규모에 상응하는 조직체제를 구성한 것”이라고 설명했다.

삼성전자는	삼성전자/NNP+는/JX
“소비자가전과	“/SS+소비자/NNG+가전/NNG+과/JC
정보기술·모바일	정보/NNG+기술/NNG+·/SP+모바일/NNG
각각의	각각/NNG+의/JKG
사업에서	사업/NNG+에서/JKB
100조원	100/SN+조/NR+원/NNB
이상의	이상/NNG+의/JKG
매출이	매출/NNG+이/JKS
발생하고	발생/NNG+하/XSV+고/EC
있어,	있/VX+어/EC+,/SP
조직의	조직/NNG+의/JKG
위상	위상/NNG
및	및/MAG
사업규모에	사업/NNG+규모/NNG+에/JKB
상응하는	상응/NNG+하/XSV+는/ETM
조직체제를	조직/NNG+체제/NNG+를/JKO
구성한	구성/NNG+하/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.63.8.1
이번 조직개편에 따라 대표이사는 권오현 부회장이지만, 이재용 부회장이 삼성전자의 전 부문을 장악하면서 경영 전면에 등장하게 됐다.

이번	이번/NNG
조직개편에	조직/NNG+개편/NNG+에/JKB
따라	따르/VV+아/EC
대표이사는	대표/NNG+이사/NNG+는/JX
권오현	권오현/NNP
부회장이지만,	부회장/NNG+이/VCP+지만/EC+,/SP
이재용	이재용/NNP
부회장이	부회장/NNG+이/JKS
삼성전자의	삼성전자/NNP+의/JKG
전	전/MMN
부문을	부문/NNG+을/JKO
장악하면서	장악/NNG+하/XSV+면서/EC
경영	경영/NNG
전면에	전면/NNG+에/JKB
등장하게	등장/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.63.8.2
삼성그룹의 한 고위 임원은 “이재용 부회장은 앞으로 삼성전자의 사업 전반을 현장에서 더욱 강하게 지원할 것”이라고 말했다.

삼성그룹의	삼성그룹/NNP+의/JKG
한	한/MMN
고위	고위/NNG
임원은	임원/NNG+은/JX
“이재용	“/SS+이재용/NNP
부회장은	부회장/NNG+은/JX
앞으로	앞/NNG+으로/JKB
삼성전자의	삼성전자/NNP+의/JKG
사업	사업/NNG
전반을	전반/NNG+을/JKO
현장에서	현장/NNG+에서/JKB
더욱	더욱/MAG
강하게	강하/VA+게/EC
지원할	지원/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.63.8.3
소비자가전과 정보기술·모바일 부문간 중재는 최근 인사 때 미래전략실 전략1팀장에서 삼성전자로 옮겨온 이상훈 경영지원실장(사장)이 맡을 것으로 보인다.

소비자가전과	소비자/NNG+가전/NNG+과/JC
정보기술·모바일	정보/NNG+기술/NNG+·/SP+모바일/NNG
부문간	부문/NNG+간/NNB
중재는	중재/NNG+는/JX
최근	최근/NNG
인사	인사/NNG
때	때/NNG
미래전략실	미래/NNG+전략실/NNG
전략1팀장에서	전략/NNG+1/SN+팀장/NNG+에서/JKB
삼성전자로	삼성전자/NNP+로/JKB
옮겨온	옮기/VV+어/EC+오/VX+ㄴ/ETM
이상훈	이상훈/NNP
경영지원실장(사장)이	경영/NNG+지원실장/NNG+(/SS+사장/NNG+)/SS+이/JKS
맡을	맡/VV+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.63.8.4
이상훈 사장은 이재용 부회장의 최측근으로 꼽힌다.

이상훈	이상훈/NNP
사장은	사장/NNG+은/JX
이재용	이재용/NNP
부회장의	부회장/NNG+의/JKG
최측근으로	최/XPN+측근/NNG+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.63.9.1
한편, 피시(PC)와 스마트폰의 경계가 사라지는 추세에 맞춰 기존 아이티(IT)솔루션사업부를 폐지하고, 피시사업을 무선사업부 산하로 통합했다.

한편,	한편/MAG+,/SP
피시(PC)와	피시/NNG+(/SS+PC/SL+)/SS+와/JC
스마트폰의	스마트폰/NNG+의/JKG
경계가	경계/NNG+가/JKS
사라지는	사라지/VV+는/ETM
추세에	추세/NNG+에/JKB
맞춰	맞추/VV+어/EC
기존	기존/NNG
아이티(IT)솔루션사업부를	아이티/NNP+(/SS+IT/SL+)/SS+솔루션/NNG+사업부/NNG+를/JKO
폐지하고,	폐지/NNG+하/XSV+고/EC+,/SP
피시사업을	피시/NNG+사업/NNG+을/JKO
무선사업부	무선/NNG+사업부/NNG
산하로	산하/NNG+로/JKB
통합했다.	통합/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.63.9.2
프린터사업은 ‘프린팅솔루션사업부’로 분리해 강화했다.

프린터사업은	프린터/NNG+사업/NNG+은/JX
‘프린팅솔루션사업부’로	‘/SS+프린팅/NNG+솔루션/NNG+사업부/NNG+’/SS+로/JKB
분리해	분리/NNG+하/XSV+아/EC
강화했다.	강화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.63.9.3
신수종 사업인 의료기기사업은 팀에서 부로 격상시켰다.

신수종	신/XPN+수종/NNG
사업인	사업/NNG+이/VCP+ㄴ/ETM
의료기기사업은	의료/NNG+기기/NNG+사업/NNG+은/JX
팀에서	팀/NNG+에서/JKB
부로	부/NNG+로/JKB
격상시켰다.	격상/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.63.9.4
무선사업부는 정보기술·모바일 부문 산하, 프린팅솔루션사업부·의료기기사업부는 소비자가전 부문 산하에 있다.

무선사업부는	무선/NNG+사업부/NNG+는/JX
정보기술·모바일	정보/NNG+기술/NNG+·/SP+모바일/NNG
부문	부문/NNG
산하,	산하/NNG+,/SP
프린팅솔루션사업부·의료기기사업부는	프린팅/NNG+솔루션/NNG+사업부/NNG+·/SP+의료/NNG+기기/NNG+사업부/NNG+는/JX
소비자가전	소비자/NNG+가전/NNG
산하에	산하/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.63.9.5
