# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.206
metadata : {}


# id : NWRW1800000030.206.1.1
[제16회 LG배 세계기왕전] 아마의 壁

[제16회	[/SS+제/XPN+16/SN+회/NNB
LG배	LG/SL+배/NNB
세계기왕전]	세계/NNG+기왕전/NNG+]/SS
아마의	아마/NNG+의/JKG
壁	壁/SH


# id : NWRW1800000030.206.2.1
아마예선 결승2국

아마예선	아마/NNG+예선/NNG
결승2국	결승/NNG+2/SN+국/NNB


# id : NWRW1800000030.206.3.1
白 위태웅 7단 黑 최광호 7단

白	白/SH
위태웅	위태웅/NNP
7단	7/SN+단/NNG
黑	黑/SH
최광호	최광호/NNP


# id : NWRW1800000030.206.4.1
〈제8보〉(124~143)=아마추어 강자들에게 LG배 본선무대는 올해도 열리지 않았다.

〈제8보〉(124~143)=아마추어	〈/SS+제/XPN+8/SN+보/NNG+〉/SS+(/SS+124/SN+~/SO+143/SN+)/SS+=/SW+아마추어/NNG
강자들에게	강자/NNG+들/XSN+에게/JKB
LG배	LG/SL+배/NNB
본선무대는	본선/NNG+무대/NNG+는/JX
올해도	올해/NNG+도/JX
열리지	열리/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.206.4.2
16기 LG배 통합예선 통과자 8명 중 조인선·강지훈 2명이 최종 결승까지 진격, 기대를 모았지만 3일 벌어진 결승서 목진석과 이원영 프로에게 각각 막혔다.

16기	16/SN+기/NNG
LG배	LG/SL+배/NNB
통합예선	통합/NNG+예선/NNG
통과자	통과자/NNG
8명	8/SN+명/NNB
중	중/NNB
조인선·강지훈	조인선/NNP+·/SP+강지훈/NNP
2명이	2/SN+명/NNB+이/JKS
최종	최종/NNG
결승까지	결승/NNG+까지/JX
진격,	진격/NNG+,/SP
기대를	기대/NNG+를/JKO
모았지만	모으/VV+았/EP+지만/EC
3일	3/SN+일/NNB
벌어진	벌어지/VV+ㄴ/ETM
결승서	결승/NNG+서/JKB
목진석과	목진석/NNP+과/JC
이원영	이원영/NNP
프로에게	프로/NNG+에게/JKB
각각	각각/MAG
막혔다.	막히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.206.4.3
삼성화재배서 2명, 비씨카드배에선 무려 14명의 아마가 프로의 벽을 뚫은 데 비해 LG배에선 아직 1명도 없다.

삼성화재배서	삼성화재/NNP+배/NNB+서/JKB
2명,	2/SN+명/NNB+,/SP
비씨카드배에선	비씨카드/NNP+배/NNB+에서/JKB+ㄴ/JX
무려	무려/MAG
14명의	14/SN+명/NNB+의/JKG
아마가	아마/NNG+가/JKS
프로의	프로/NNG+의/JKG
벽을	벽/NNG+을/JKO
뚫은	뚫/VV+은/ETM
데	데/NNB
비해	비/NNG+하/XSV+아/EC
LG배에선	LG/SL+배/NNB+에서/JKB+ㄴ/JX
아직	아직/MAG
1명도	1/SN+명/NNB+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.206.5.1
흑이 우세하다지만 덤을 제하면 고작 3집 안팎 정도의 차이.

흑이	흑/NNG+이/JKS
우세하다지만	우세/NNG+하/XSA+다지만/EC
덤을	덤/NNG+을/JKO
제하면	제하/VV+면/EC
고작	고작/MAG
3집	3/SN+집/NNG
안팎	안팎/NNG
정도의	정도/NNG+의/JKG
차이.	차이/NNG+./SF


# id : NWRW1800000030.206.5.2
한 번만 삐끗하면 즉시 승패를 알 수 없는 바둑이 된다.

한	한/MMN
번만	번/NNB+만/JX
삐끗하면	삐끗/MAG+하/XSV+면/EC
즉시	즉시/MAG
승패를	승패/NNG+를/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
바둑이	바둑/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.206.5.3
게다가 이 바둑은 고작 30분만 주어져 오래 생각할 틈이 없는 아마추어들 간의 대결이다.

게다가	게다가/MAG
이	이/MMD
바둑은	바둑/NNG+은/JX
고작	고작/MAG
30분만	30/SN+분/NNB+만/JX
주어져	주어지/VV+어/EC
오래	오래/MAG
생각할	생각/NNG+하/XSV+ㄹ/ETM
틈이	틈/NNB+이/JKS
없는	없/VA+는/ETM
아마추어들	아마추어/NNG+들/XSN
간의	간/NNB+의/JKG
대결이다.	대결/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.206.5.4
126, 128은 좌하 일대를 최대한 크게 백의 진지로 편입시키겠다는 선언.

126,	126/SN+,/SP
128은	128/SN+은/JX
좌하	좌하/NNG
일대를	일대/NNG+를/JKO
최대한	최대한/MAG
크게	크/VA+게/EC
백의	백/NNG+의/JKG
진지로	진지/NNG+로/JKB
편입시키겠다는	편입/NNG+시키/XSV+겠/EP+다는/ETM
선언.	선언/NNG+./SF


# id : NWRW1800000030.206.5.5
