# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.121
metadata : {}


# id : NWRW1800000025.121.1.1
당진군수 고속도 추격전 끝 서울서 검거

당진군수	당진군수/NNG
고속도	고속도/NNG
추격전	추격전/NNG
끝	끝/NNG
서울서	서울/NNP+서/JKB
검거	검거/NNG


# id : NWRW1800000025.121.2.1
28일 오후 경기 시흥시 정왕동 영동고속도로 정왕 나들목.

28일	28/SN+일/NNB
오후	오후/NNG
경기	경기/NNP
시흥시	시흥시/NNP
정왕동	정왕동/NNP
영동고속도로	영동고속도로/NNP
정왕	정왕/NNP
나들목.	나들목/NNG+./SF


# id : NWRW1800000025.121.2.2
잠복하고 있던 검찰 수사관 6명은 민종기 충남 당진군수(59)가 탄 차량이 나타나자 몸을 낮추고 차량에 접근하며 검거를 시도했다.

잠복하고	잠복/NNG+하/XSV+고/EC
있던	있/VX+던/ETM
검찰	검찰/NNG
수사관	수사관/NNG
6명은	6/SN+명/NNB+은/JX
민종기	민종기/NNP
충남	충남/NNP
당진군수(59)가	당진군수/NNG+(/SS+59/SN+)/SS+가/JKS
탄	타/VV+ㄴ/ETM
차량이	차량/NNG+이/JKS
나타나자	나타나/VV+자/EC
몸을	몸/NNG+을/JKO
낮추고	낮추/VV+고/EC
차량에	차량/NNG+에/JKB
접근하며	접근/NNG+하/XSV+며/EC
검거를	검거/NNG+를/JKO
시도했다.	시도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.121.2.3
도피 닷새째인 민 군수는 첩보영화처럼 고속도로 나들목에서 지인을 만날 계획이었던 것으로 알려졌다.

도피	도피/NNG
닷새째인	닷새/NNG+째/XSN+이/VCP+ㄴ/ETM
민	민/NNP
군수는	군수/NNG+는/JX
첩보영화처럼	첩보/NNG+영화/NNG+처럼/JKB
고속도로	고속/NNG+도로/NNG
나들목에서	나들목/NNG+에서/JKB
지인을	지인/NNG+을/JKO
만날	만나/VV+ㄹ/ETM
계획이었던	계획/NNG+이/VCP+었/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.121.2.4
검찰 수사관이라는 것을 눈치 채고 민 군수가 탄 차량은 도주하기 시작했다.

검찰	검찰/NNG
수사관이라는	수사관/NNG+이/VCP+라는/ETM
것을	것/NNB+을/JKO
눈치	눈치/NNG
채고	채/VV+고/EC
민	민/NNP
군수가	군수/NNG+가/JKS
탄	타/VV+ㄴ/ETM
차량은	차량/NNG+은/JX
도주하기	도주/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.121.2.5
민 군수의 승용차는 경인고속도로로 접어들었고 검찰 수사관 차량을 요리조리 따돌리고 40km가량 곡예운전을 계속했다.

민	민/NNP
군수의	군수/NNG+의/JKG
승용차는	승용차/NNG+는/JX
경인고속도로로	경인고속도로/NNP+로/JKB
접어들었고	접어들/VV+었/EP+고/EC
검찰	검찰/NNG
수사관	수사관/NNG
차량을	차량/NNG+을/JKO
요리조리	요리조리/MAG
따돌리고	따돌리/VV+고/EC
40km가량	40/SN+km/SW+가량/XSN
곡예운전을	곡예/NNG+운전/NNG+을/JKO
계속했다.	계속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.121.2.6
결국 30여 분간 달아나던 차량은 오후 8시 50분경 서울 양천구 신월동 국립과학수사연구소 앞에서 검찰 수사관들이 탄 승합차에 가로막혀 도주를 끝냈다.

결국	결국/MAG
30여	30/SN+여/XSN
분간	분/NNB+간/XSN
달아나던	달아나/VV+던/ETM
차량은	차량/NNG+은/JX
오후	오후/NNG
8시	8/SN+시/NNB
50분경	50/SN+분/NNB+경/XSN
서울	서울/NNP
양천구	양천구/NNP
신월동	신월동/NNP
국립과학수사연구소	국립과학수사연구소/NNP
앞에서	앞/NNG+에서/JKB
검찰	검찰/NNG
수사관들이	수사관/NNG+들/XSN+이/JKS
탄	타/VV+ㄴ/ETM
승합차에	승합차/NNG+에/JKB
가로막혀	가로막히/VV+어/EC
도주를	도주/NNG+를/JKO
끝냈다.	끝내/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.121.3.1
뇌물수수 혐의 수사 도중 위조여권으로 출국을 시도하다가 적발돼 체포영장이 발부된 민 군수가 붙잡히는 순간이었다.

뇌물수수	뇌물/NNG+수수/NNG
혐의	혐의/NNG
수사	수사/NNG
도중	도중/NNG
위조여권으로	위조/NNG+여권/NNG+으로/JKB
출국을	출국/NNG+을/JKO
시도하다가	시도/NNG+하/XSV+다가/EC
적발돼	적발/NNG+되/XSV+어/EC
체포영장이	체포/NNG+영장/NNG+이/JKS
발부된	발부/NNG+되/XSV+ㄴ/ETM
민	민/NNP
군수가	군수/NNG+가/JKS
붙잡히는	붙잡히/VV+는/ETM
순간이었다.	순간/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.121.3.2
민 군수는 24일 오전 인천국제공항에서 당진 관내 한 건설업자 명의로 만든 위조여권으로 무인등록을 시도하다 실패했다.

민	민/NNP
군수는	군수/NNG+는/JX
24일	24/SN+일/NNB
오전	오전/NNG
인천국제공항에서	인천국제공항/NNP+에서/JKB
당진	당진/NNP
관내	관내/NNG
한	한/MMN
건설업자	건설업자/NNG
명의로	명의/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
위조여권으로	위조/NNG+여권/NNG+으로/JKB
무인등록을	무인/NNG+등록/NNG+을/JKO
시도하다	시도/NNG+하/XSV+다/EC
실패했다.	실패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.121.3.3
그는 다시 출국을 시도하다 출국금지 사실을 통보받자 곧바로 잠적했다.

그는	그/NP+는/JX
다시	다시/MAG
출국을	출국/NNG+을/JKO
시도하다	시도/NNG+하/XSV+다/EC
출국금지	출국/NNG+금지/NNG
사실을	사실/NNG+을/JKO
통보받자	통보/NNG+받/XSV+자/EC
