# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.342
metadata : {}


# id : NWRW1800000054.342.1.1
문재인은 경선후보 등록 늦추고 촛불 참석 '탄핵 집중'

문재인은	문재인/NNP+은/JX
경선후보	경선/NNG+후보/NNG
등록	등록/NNG
늦추고	늦추/VV+고/EC
촛불	촛불/NNG
참석	참석/NNG
'탄핵	'/SS+탄핵/NNG
집중'	집중/NNG+'/SS


# id : NWRW1800000054.342.2.1
연일 촛불 집회 참석 독려… 내주 예정 출마 선언도 미룰듯

연일	연일/MAG
촛불	촛불/NNG
집회	집회/NNG
참석	참석/NNG
독려…	독려/NNG+…/SE
내주	내주/NNG
예정	예정/NNG
출마	출마/NNG
선언도	선언/NNG+도/JX
미룰듯	미루/VV+ㄹ/ETM+듯/NNB


# id : NWRW1800000054.342.3.1
문재인 전 더불어민주당 대표는 10일로 예정했던 당 경선 예비후보 등록 일정을 연기하는 등 대선 관련 일정을 대폭 취소하고 탄핵 관철에 집중하기로 했다.

문재인	문재인/NNP
전	전/MMD
더불어민주당	더불어민주당/NNP
대표는	대표/NNG+는/JX
10일로	10/SN+일/NNB+로/JKB
예정했던	예정/NNG+하/XSV+았/EP+던/ETM
당	당/NNG
경선	경선/NNG
예비후보	예비/NNG+후보/NNG
등록	등록/NNG
일정을	일정/NNG+을/JKO
연기하는	연기/NNG+하/XSV+는/ETM
등	등/NNB
대선	대선/NNG
관련	관련/NNG
대폭	대폭/MAG
취소하고	취소/NNG+하/XSV+고/EC
탄핵	탄핵/NNG
관철에	관철/NNG+에/JKB
집중하기로	집중/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.342.3.2
그는 연일 촛불 집회 참여를 독려하고 있다.

그는	그/NP+는/JX
연일	연일/MAG
촛불	촛불/NNG
집회	집회/NNG
참여를	참여/NNG+를/JKO
독려하고	독려/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.342.4.1
문 전 대표는 9일 서울 광진구 시민안전체험관에서 기자들과 만나 "2월 탄핵 결정이 무산됐고, 3월 초 탄핵 결정도 불투명하다"며 "이정미 헌법재판관 퇴임(3월 13일) 이전에 탄핵 결정이 안 내려지면 그 뒤는 (정국이) 아주 혼미해질 것"이라고 했다.

문	문/NNP
전	전/MMD
대표는	대표/NNG+는/JX
9일	9/SN+일/NNB
서울	서울/NNP
광진구	광진구/NNP
시민안전체험관에서	시민안전체험관/NNP+에서/JKB
