# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.123
metadata : {}


# id : NWRW1800000033.123.1.1
[공연계 숨은 꽃]조명디자이너 김창기 씨

[공연계	[/SS+공연/NNG+계/XSN
숨은	숨/VV+은/ETM
꽃]조명디자이너	꽃/NNG+]/SS+조명/NNG+디자이너/NNG
김창기	김창기/NNP
씨	씨/NNB


# id : NWRW1800000033.123.2.1
빛의 편집자, 빛으로 스토리텔링 가장 먼저 대본 분석… 날 선 조명보다 은은한 채광 선호

빛의	빛/NNG+의/JKG
편집자,	편집자/NNG+,/SP
빛으로	빛/NNG+으로/JKB
스토리텔링	스토리텔링/NNG
가장	가장/MAG
먼저	먼저/MAG
대본	대본/NNG
분석…	분석/NNG+…/SE
날	날/NNG
선	서/VV+ㄴ/ETM
조명보다	조명/NNG+보다/JKB
은은한	은은하/VA+ㄴ/ETM
채광	채광/NNG
선호	선호/NNG


# id : NWRW1800000033.123.3.1
1994년 여름, 조명디자이너 김창기 씨(52)는 미국 뉴욕 브로드웨이에서 뮤지컬 ‘레미제라블’을 관람하다 코제트의 생모 팡틴이 침대 위에서 숨을 거두는 장면에서 무릎을 쳤다.

1994년	1994/SN+년/NNB
여름,	여름/NNG+,/SP
조명디자이너	조명/NNG+디자이너/NNG
김창기	김창기/NNP
씨(52)는	씨/NNB+(/SS+52/SN+)/SS+는/JX
미국	미국/NNP
뉴욕	뉴욕/NNP
브로드웨이에서	브로드웨이/NNP+에서/JKB
뮤지컬	뮤지컬/NNG
‘레미제라블’을	‘/SS+레미제라블/NNP+’/SS+을/JKO
관람하다	관람/NNG+하/XSV+다/EC
코제트의	코제트/NNP+의/JKG
생모	생모/NNG
팡틴이	팡틴/NNP+이/JKS
침대	침대/NNG
위에서	위/NNG+에서/JKB
숨을	숨/NNG+을/JKO
거두는	거두/VV+는/ETM
장면에서	장면/NNG+에서/JKB
무릎을	무릎/NNG+을/JKO
쳤다.	치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.123.3.2
상식적으론 숨지는 순간 조명이 꺼져야 하는데 서서히 밝아졌다가 다시 서서히 어두워졌던 것.

상식적으론	상식/NNG+적/XSN+으로/JKB+ㄴ/JX
숨지는	숨지/VV+는/ETM
순간	순간/NNG
조명이	조명/NNG+이/JKS
꺼져야	꺼지/VV+어야/EC
하는데	하/VX+는데/EC
서서히	서서히/MAG
밝아졌다가	밝아지/VV+었/EP+다가/EC
다시	다시/MAG
어두워졌던	어둡/VA+어/EC+지/VX+었/EP+던/ETM
것.	것/NNB+./SF


# id : NWRW1800000033.123.4.1
“마치 영혼이 몸을 떠나는 듯한 느낌을 받았어요.

“마치	“/SS+마치/MAG
영혼이	영혼/NNG+이/JKS
몸을	몸/NNG+을/JKO
떠나는	떠나/VV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
느낌을	느낌/NNG+을/JKO
받았어요.	받/VV+았/EP+어요/EF+./SF


# id : NWRW1800000033.123.4.2
아, 이게 빛이 가진 힘이구나.”

아,	아/IC+,/SP
이게	이거/NP+이/JKS
빛이	빛/NNG+이/JKS
가진	가지/VV+ㄴ/ETM
힘이구나.”	힘/NNG+이/VCP+구나/EF+./SF+”/SS


# id : NWRW1800000033.123.5.1
연출을 공부하러 미국에 갔던 김 씨가 조명디자인으로 전공을 바꾼 데는 이 장면이 결정적이었다.

연출을	연출/NNG+을/JKO
공부하러	공부/NNG+하/XSV+러/EC
미국에	미국/NNP+에/JKB
갔던	가/VV+았/EP+던/ETM
김	김/NNP
씨가	씨/NNB+가/JKS
조명디자인으로	조명/NNG+디자인/NNG+으로/JKB
전공을	전공/NNG+을/JKO
바꾼	바꾸/VV+ㄴ/ETM
데는	데/NNB+는/JX
이	이/MMD
장면이	장면/NNG+이/JKS
결정적이었다.	결정/NNG+적/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.123.5.2
석사학위까지 받고 1996년 귀국한 김 씨는 무작정 연출가들에게 전화를 돌렸다.

석사학위까지	석사/NNG+학위/NNG+까지/JX
받고	받/VV+고/EC
1996년	1996/SN+년/NNB
귀국한	귀국/NNG+하/XSV+ㄴ/ETM
김	김/NNP
씨는	씨/NNB+는/JX
무작정	무/XPN+작정/NNG
연출가들에게	연출가/NNG+들/XSN+에게/JKB
전화를	전화/NNG+를/JKO
돌렸다.	돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.123.5.3
그해 11월 그는 서울 예술의전당에서 열린 ‘최인훈 연극제’에서 독일 연출가 마누엘 루트겐홀스트가 연출한 ‘옛날 옛적에 훠어이 훠이’의 조명을 맡아 데뷔했다.

그해	그해/NNG
11월	11/SN+월/NNB
그는	그/NP+는/JX
서울	서울/NNP
예술의전당에서	예술의전당/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘최인훈	‘/SS+최인훈/NNP
연극제’에서	연극제/NNG+’/SS+에서/JKB
독일	독일/NNP
연출가	연출가/NNG
마누엘	마누엘/NNP
루트겐홀스트가	루트겐홀스트/NNP+가/JKS
연출한	연출/NNG+하/XSV+ㄴ/ETM
‘옛날	‘/SS+옛날/NNG
옛적에	옛적/NNG+에/JKB
훠어이	훠어이/IC
훠이’의	훠이/IC+’/SS+의/JKG
조명을	조명/NNG+을/JKO
맡아	맡/VV+아/EC
데뷔했다.	데뷔/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.123.6.1
“당시엔 조명디자이너라는 역할에 대해 인식 자체가 없을 때였죠.

“당시엔	“/SS+당시/NNG+에/JKB+ㄴ/JX
조명디자이너라는	조명/NNG+디자이너/NNG+이/VCP+라는/ETM
역할에	역할/NNG+에/JKB
대해	대하/VV+아/EC
인식	인식/NNG
자체가	자체/NNG+가/JKS
없을	없/VA+을/ETM
때였죠.	때/NNG+이/VCP+었/EP+죠/EF+./SF


# id : NWRW1800000033.123.6.2
