# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.379
metadata : {}


# id : NWRW1800000052.379.1.1
북, 고강도 국제제재 맞서 ‘핵폭주’

북,	북/NNP+,/SP
고강도	고/XPN+강도/NNG
국제제재	국제/NNG+제재/NNG
맞서	맞서/VV+어/EC
‘핵폭주’	‘/SS+핵/NNG+폭주/NNG+’/SS


# id : NWRW1800000052.379.2.1
8개월만에 기습 핵실험 강행…폭발력 ‘역대 최대급’

8개월만에	8/SN+개월/NNB+만/NNB+에/JKB
기습	기습/NNG
핵실험	핵/NNG+실험/NNG
강행…폭발력	강행/NNG+…/SE+폭발력/NNG
‘역대	‘/SS+역대/NNG
최대급’	최대급/NNG+’/SS


# id : NWRW1800000052.379.3.1
박 대통령 “광적인 김정은에 모든 수단 동원해 압박”

박	박/NNP
대통령	대통령/NNG
“광적인	“/SS+광/NNG+적/XSN+이/VCP+ㄴ/ETM
김정은에	김정은/NNP+에/JKB
모든	모든/MMN
수단	수단/NNG
동원해	동원/NNG+하/XSV+아/EC
압박”	압박/NNG+”/SS


# id : NWRW1800000052.379.4.1
오바마 “핵 보유국 절대 인정 못해” 사드배치 등 강조

오바마	오바마/NNP
“핵	“/SS+핵/NNG
보유국	보유국/NNG
절대	절대/NNG
인정	인정/NNG
못해”	못/MAG+하/VV+아/EF+”/SS
사드배치	사드/NNG+배치/NNG
등	등/NNB
강조	강조/NNG


# id : NWRW1800000052.379.5.1
북한이 9일 오전 제5차 핵실험을 단행했다.

북한이	북한/NNP+이/JKS
9일	9/SN+일/NNB
오전	오전/NNG
제5차	제/XPN+5/SN+차/NNB
핵실험을	핵/NNG+실험/NNG+을/JKO
단행했다.	단행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.379.5.2
1월6일 4차 핵실험을 한 지 8개월 만이다.

1월6일	1/SN+월/NNB+6/SN+일/NNB
4차	4/SN+차/NNB
핵실험을	핵/NNG+실험/NNG+을/JKO
한	하/VV+ㄴ/ETM
지	지/NNB
8개월	8/SN+개월/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.379.5.3
한국·미국·일본을 중심으로 ‘유엔 역사상 가장 강력한 제재’라 불러온 유엔 안전보장이사회 결의 2270호 채택(3월2일) 및 이행 6개월여 만에 ‘끝장 제재’를 비웃기라도 하듯, 핵실험을 강행한 것이다.

한국·미국·일본을	한국/NNP+·/SP+미국/NNP+·/SP+일본/NNP+을/JKO
중심으로	중심/NNG+으로/JKB
‘유엔	‘/SS+유엔/NNP
역사상	역사/NNG+상/XSN
가장	가장/MAG
강력한	강력/NNG+하/XSA+ㄴ/ETM
제재’라	제재/NNG+’/SS+이/VCP+라/EC
불러온	부르/VV+어/EC+오/VX+ㄴ/ETM
유엔	유엔/NNP
안전보장이사회	안전/NNG+보장/NNG+이사회/NNG
결의	결의/NNG
2270호	2270/SN+호/NNB
채택(3월2일)	채택/NNG+(/SS+3/SN+월/NNB+2/SN+일/NNB+)/SS
및	및/MAG
이행	이행/NNG
6개월여	6/SN+개월/NNB+여/XSN
만에	만/NNB+에/JKB
‘끝장	‘/SS+끝장/NNG
제재’를	제재/NNG+’/SS+를/JKO
비웃기라도	비웃/VV+기/ETN+라도/JX
하듯,	하/VV+듯/EC+,/SP
핵실험을	핵/NNG+실험/NNG+을/JKO
강행한	강행/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.379.5.4
이날은 한국·미국·중국·일본·러시아 정상이 라오스에서 열린 동아시아정상회의(EAS)에서 북핵을 염두에 둔 ‘비확산 성명’을 채택한 다음날이다.

이날은	이날/NNG+은/JX
한국·미국·중국·일본·러시아	한국/NNP+·/SP+미국/NNP+·/SP+중국/NNP+·/SP+일본/NNP+·/SP+러시아/NNP
정상이	정상/NNG+이/JKS
라오스에서	라오스/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
동아시아정상회의(EAS)에서	동아시아/NNP+정상/NNG+회의/NNG+(/SS+EAS/SL+)/SS+에서/JKB
북핵을	북핵/NNG+을/JKO
염두에	염두/NNG+에/JKB
둔	두/VV+ㄴ/ETM
‘비확산	‘/SS+비/XPN+확산/NNG
성명’을	성명/NNG+’/SS+을/JKO
채택한	채택/NNG+하/XSV+ㄴ/ETM
다음날이다.	다음날/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.379.5.5
2006년 10월 1차 핵실험 이후 유지해오던 핵실험 주기(3~4년)가 대폭 단축됐고, 폭발력은 4차 때보다 2배가량 커져 ‘역대 최대급’인 것으로 추정됐다.

2006년	2006/SN+년/NNB
10월	10/SN+월/NNB
1차	1/SN+차/NNB
핵실험	핵/NNG+실험/NNG
이후	이후/NNG
유지해오던	유지/NNG+하/XSV+아/EC+오/VX+던/ETM
주기(3~4년)가	주기/NNG+(/SS+3/SN+~/SO+4/SN+년/NNB+)/SS+가/JKS
대폭	대폭/MAG
단축됐고,	단축/NNG+되/XSV+었/EP+고/EC+,/SP
폭발력은	폭발력/NNG+은/JX
4차	4/SN+차/NNB
때보다	때/NNG+보다/JKB
2배가량	2/SN+배/NNG+가량/XSN
커져	커지/VV+어/EC
‘역대	‘/SS+역대/NNG
최대급’인	최대급/NNG+’/SS+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정됐다.	추정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.379.5.6
북한은 ‘핵탄두 폭발시험’이라고 밝히며 “미국 등의 위협과 제재에 대한 대응 조치”라고 주장했다.

북한은	북한/NNP+은/JX
‘핵탄두	‘/SS+핵탄두/NNG
폭발시험’이라고	폭발/NNG+시험/NNG+’/SS+이/VCP+라고/EC
밝히며	밝히/VV+며/EC
“미국	“/SS+미국/NNP
등의	등/NNB+의/JKG
위협과	위협/NNG+과/JC
제재에	제재/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대응	대응/NNG
조치”라고	조치/NNG+”/SS+라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.379.5.7
한국 정부는 강력히 규탄했고 유엔 안보리는 한·미·일 정부의 공동 요청에 따라 긴급회의를 열어 대응책을 논의했다.

한국	한국/NNP
정부는	정부/NNG+는/JX
강력히	강력히/MAG
규탄했고	규탄/NNG+하/XSV+았/EP+고/EC
유엔	유엔/NNP
안보리는	안보리/NNG+는/JX
한·미·일	한·미·일/NNP
정부의	정부/NNG+의/JKG
공동	공동/NNG
요청에	요청/NNG+에/JKB
따라	따르/VV+아/EC
긴급회의를	긴급회의/NNG+를/JKO
열어	열/VV+어/EC
대응책을	대응책/NNG+을/JKO
논의했다.	논의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.379.6.1
북한은 이날 오후 ‘핵무기연구소’ 명의로 성명을 내어 “핵탄두의 위력 판정을 위한 핵폭발 시험을 단행했다”고 밝혔다고 <조선중앙텔레비전> 등이 일제히 보도했다.

북한은	북한/NNP+은/JX
이날	이날/NNG
오후	오후/NNG
‘핵무기연구소’	‘/SS+핵무기/NNG+연구소/NNG+’/SS
