# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.396
metadata : {}


# id : NWRW1800000049.396.1.1
대형마트 허가前 골목상권 상생案 먼저 본다

대형마트	대형/NNG+마트/NNG
허가前	허가/NNG+前/SH
골목상권	골목/NNG+상권/NNG
상생案	상생/NNG+案/SH
먼저	먼저/MAG
본다	보/VV+ㄴ다/EF


# id : NWRW1800000049.396.2.1
서울시 ‘경제민주화 특별시’ 선언

서울시	서울시/NNP
‘경제민주화	‘/SS+경제/NNG+민주/NNG+화/XSN
특별시’	특별시/NNG+’/SS
선언	선언/NNG


# id : NWRW1800000049.396.3.1
앞으로 유통기업이 서울에 대형마트나 복합쇼핑몰을 지을 경우 건축허가 전부터 지역 상권과의 상생 방안을 마련해야 한다.

앞으로	앞/NNG+으로/JKB
유통기업이	유통/NNG+기업/NNG+이/JKS
서울에	서울/NNP+에/JKB
대형마트나	대형/NNG+마트/NNG+나/JC
복합쇼핑몰을	복합/NNG+쇼핑몰/NNG+을/JKO
지을	짓/VV+을/ETM
경우	경우/NNG
건축허가	건축/NNG+허가/NNG
전부터	전/NNG+부터/JX
지역	지역/NNG
상권과의	상권/NNG+과/JKB+의/JKG
상생	상생/NNG
방안을	방안/NNG+을/JKO
마련해야	마련/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.396.4.1
11일 서울시에 따르면 현행 유통산업발전법은 기업이 자체적으로 주변 상권에 미칠 영향을 평가하고, 점포 개설 등록 한 달 전까지 협력 계획을 관할 구청장에게 제출토록 하고 있다.

11일	11/SN+일/NNB
서울시에	서울시/NNP+에/JKB
따르면	따르/VV+면/EC
현행	현행/NNG
유통산업발전법은	유통/NNG+산업/NNG+발전법/NNG+은/JX
기업이	기업/NNG+이/JKS
자체적으로	자체/NNG+적/XSN+으로/JKB
주변	주변/NNG
상권에	상권/NNG+에/JKB
미칠	미치/VV+ㄹ/ETM
영향을	영향/NNG+을/JKO
평가하고,	평가/NNG+하/XSV+고/EC+,/SP
점포	점포/NNG
개설	개설/NNG
등록	등록/NNG
한	한/MMN
달	달/NNB
전까지	전/NNG+까지/JX
협력	협력/NNG
계획을	계획/NNG+을/JKO
관할	관할/NNG
구청장에게	구청장/NNG+에게/JKB
제출토록	제출/NNG+하/XSV+도록/EC
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.396.4.2
하지만 서울시는 이때가 입점 업체를 구성하고 건물을 완공한 단계이므로 실효성이 낮다고 보고 있다.

하지만	하지만/MAJ
서울시는	서울시/NNP+는/JX
이때가	이때/NNG+가/JKS
입점	입점/NNG
업체를	업체/NNG+를/JKO
구성하고	구성/NNG+하/XSV+고/EC
건물을	건물/NNG+을/JKO
완공한	완공/NNG+하/XSV+ㄴ/ETM
단계이므로	단계/NNG+이/VCP+므로/EC
실효성이	실효/NNG+성/XSN+이/JKS
낮다고	낮/VA+다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.396.4.3
이에 따라 건축허가 단계 혹은 그 이전에 서울시가 객관적으로 상권 영향을 조사하고, 이를 기반으로 상생 특별전담기구(TF)에서 조정안을 마련해 실제 건축에 반영하기로 했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
건축허가	건축/NNG+허가/NNG
단계	단계/NNG
혹은	혹은/MAG
그	그/MMD
이전에	이전/NNG+에/JKB
서울시가	서울시/NNP+가/JKS
객관적으로	객관/NNG+적/XSN+으로/JKB
상권	상권/NNG
영향을	영향/NNG+을/JKO
