# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.26
metadata : {}


# id : NWRW1800000033.26.1.1
현대·기아차 “수출-내수용 강판 차이 없다”

현대·기아차	현대/NNP+·/SP+기아차/NNP
“수출-내수용	“/SS+수출/NNG+-/SO+내수/NNG+용/XSN
강판	강판/NNG
차이	차이/NNG
없다”	없/VA+다/EF+”/SS


# id : NWRW1800000033.26.2.1
“부식방지 아연도금 강판 2006년말 이후 동일 적용 혼류생산 2종류 사용 불가”

“부식방지	“/SS+부식/NNG+방지/NNG
아연도금	아연/NNG+도금/NNG
강판	강판/NNG
2006년말	2006/SN+년/NNB+말/NNB
이후	이후/NNG
동일	동일/NNG
적용	적용/NNG
혼류생산	혼류/NNG+생산/NNG
2종류	2/SN+종류/NNG
사용	사용/NNG
불가”	불가/NNG+”/SS


# id : NWRW1800000033.26.3.1
일부 문제제기에 적극 해명

일부	일부/NNG
문제제기에	문제/NNG+제기/NNG+에/JKB
적극	적극/NNG
해명	해명/NNG


# id : NWRW1800000033.26.4.1
현대자동차와 기아자동차가 생산하는 수출용 차량과 내수용 차량의 부식 방지용 아연도금 강판 비중이 다르다는 일각의 문제 제기에 현대자동차그룹이 “사실과 다르다”며 적극적인 해명에 나섰다.

현대자동차와	현대자동차/NNP+와/JC
기아자동차가	기아자동차/NNP+가/JKS
생산하는	생산/NNG+하/XSV+는/ETM
수출용	수출/NNG+용/XSN
차량과	차량/NNG+과/JC
내수용	내수/NNG+용/XSN
차량의	차량/NNG+의/JKG
부식	부식/NNG
방지용	방지/NNG+용/XSN
아연도금	아연/NNG+도금/NNG
강판	강판/NNG
비중이	비중/NNG+이/JKS
다르다는	다르/VA+다는/ETM
일각의	일각/NNG+의/JKG
문제	문제/NNG
제기에	제기/NNG+에/JKB
현대자동차그룹이	현대자동차그룹/NNP+이/JKS
“사실과	“/SS+사실/NNG+과/JKB
다르다”며	다르/VA+다/EF+”/SS+며/EC
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
해명에	해명/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


