# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.111
metadata : {}


# id : NWRW1800000054.111.1.1
"동양화로 겉과 속 다른 사회 풍자했죠"

"동양화로	"/SS+동양화/NNG+로/JKB
겉과	겉/NNG+과/JC
속	속/NNG
다른	다르/VA+ㄴ/ETM
사회	사회/NNG
풍자했죠"	풍자/NNG+하/XSV+았/EP+죠/EF+"/SS


# id : NWRW1800000054.111.2.1
'내숭' 시리즈로 인기 김현정 화가, 포브스 '아시아 영향력 30인' 뽑혀

'내숭'	'/SS+내숭/NNP+'/SS
시리즈로	시리즈/NNG+로/JKB
인기	인기/NNG
김현정	김현정/NNP
화가,	화가/NNG+,/SP
포브스	포브스/NNP
'아시아	'/SS+아시아/NNP
영향력	영향력/NNG
30인'	30/SN+인/NNG+'/SS
뽑혀	뽑히/VV+어/EF


# id : NWRW1800000054.111.3.1
'동양화가 김현정은 전통 한복을 입은 여성이 당구를 치거나 윗몸일으키기를 하는 모습을 묘사하면서 관습에 반항한다.

'동양화가	'/SS+동양화가/NNG
김현정은	김현정/NNP+은/JX
전통	전통/NNG
한복을	한복/NNG+을/JKO
입은	입/VV+은/ETM
여성이	여성/NNG+이/JKS
당구를	당구/NNG+를/JKO
치거나	치/VV+거나/EC
윗몸일으키기를	윗몸/NNG+일으키기/NNG+를/JKO
하는	하/VV+는/ETM
모습을	모습/NNG+을/JKO
묘사하면서	묘사/NNG+하/XSV+면서/EC
관습에	관습/NNG+에/JKB
반항한다.	반항/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.111.3.2
한복 치마 속 여성의 다리 윤곽을 그대로 드러내며 보수성에 도전한다.

한복	한복/NNG
치마	치마/NNG
속	속/NNG
여성의	여성/NNG+의/JKG
다리	다리/NNG
윤곽을	윤곽/NNG+을/JKO
그대로	그대로/MAG
드러내며	드러내/VV+며/EC
보수성에	보수/NNG+성/XSN+에/JKB
도전한다.	도전/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.111.3.3
한국에서 각종 미술상을 받았고 지난해 뉴욕 메트로폴리탄미술관에서 개인전을 열었다.'

한국에서	한국/NNP+에서/JKB
각종	각종/NNG
미술상을	미술/NNG+상/NNG+을/JKO
받았고	받/VV+았/EP+고/EC
지난해	지난해/NNG
뉴욕	뉴욕/NNP
메트로폴리탄미술관에서	메트로폴리탄미술관/NNP+에서/JKB
개인전을	개인전/NNG+을/JKO
열었다.'	열/VV+었/EP+다/EF+./SF+'/SS


# id : NWRW1800000054.111.4.1
미국 경제 전문지 포브스가 지난달 한국 화가 김현정(29·사진)씨를 '아시아에서 영향력 있는 30세 이하 30인'에 선정한 이유다.

미국	미국/NNP
경제	경제/NNG
전문지	전문지/NNG
포브스가	포브스/NNP+가/JKS
지난달	지난달/NNG
한국	한국/NNP
화가	화가/NNG
김현정(29·사진)씨를	김현정/NNP+(/SS+29/SN+·/SP+사진/NNG+)/SS+씨/NNB+를/JKO
'아시아에서	'/SS+아시아/NNP+에서/JKB
영향력	영향력/NNG
있는	있/VA+는/ETM
30세	30/SN+세/NNB
이하	이하/NNG
30인'에	30/SN+인/NNG+'/SS+에/JKB
선정한	선정/NNG+하/XSV+ㄴ/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.111.4.2
매년 선정되는 리스트에 가수 지드래곤, 피겨 스타 김연아, 배우 김수현이 이름을 올린 적이 있지만 화가로는 김씨가 처음이다.

매년	매년/MAG
선정되는	선정/NNG+되/XSV+는/ETM
리스트에	리스트/NNG+에/JKB
가수	가수/NNG
지드래곤,	지드래곤/NNP+,/SP
피겨	피겨/NNG
스타	스타/NNG
김연아,	김연아/NNP+,/SP
배우	배우/NNG
김수현이	김수현/NNP+이/JKS
이름을	이름/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있지만	있/VA+지만/EC
화가로는	화가/NNG+로/JKB+는/JX
김씨가	김/NNP+씨/NNB+가/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.111.5.1
"미술이 대중과 가까워지는 데 조금이라도 기여해 선정된 것 아닐까요?"

"미술이	"/SS+미술/NNG+이/JKS
대중과	대중/NNG+과/JKB
가까워지는	가깝/VA+어/EC+지/VX+는/ETM
데	데/NNB
조금이라도	조금/NNG+이/VCP+라도/EC
기여해	기여/NNG+하/XSV+아/EC
선정된	선정/NNG+되/XSV+ㄴ/ETM
것	것/NNB
아닐까요?"	아니/VCN+ㄹ까/EF+요/JX+?/SF+"/SS


# id : NWRW1800000054.111.6.1
김씨는 조각보로 만든 붉은 한복을 입고 나왔다.

김씨는	김/NNP+씨/NNB+는/JX
조각보로	조각보/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
붉은	붉/VA+은/ETM
한복을	한복/NNG+을/JKO
입고	입/VV+고/EC
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.111.6.2
작품 따라 입다 보니 어느덧 자신을 드러내는 트레이드 마크가 됐다고 한다.

작품	작품/NNG
따라	따르/VV+아/EC
입다	입/VV+다/EC
