# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.350
metadata : {}


# id : NWRW1800000044.350.1.1
박대통령 지지율 급락해도 40%대

박대통령	박/NNP+대통령/NNG
지지율	지지/NNG+율/XSN
급락해도	급락/NNG+하/XSV+아도/EC
40%대	40/SN+%/SW+대/XSN


# id : NWRW1800000044.350.2.1
[한겨레] 갤럽 4월 5주차 조사 결과

[한겨레]	[/SS+한겨레/NNP+]/SS
갤럽	갤럽/NNP
4월	4/SN+월/NNB
5주차	5/SN+주/NNB+차/NNB
조사	조사/NNG
결과	결과/NNG


# id : NWRW1800000044.350.3.1
‘세월호’ 이후 11%p 빠졌지만 48%

‘세월호’	‘/SS+세월호/NNP+’/SS
이후	이후/NNG
11%p	11/SN+%p/SW
빠졌지만	빠지/VV+었/EP+지만/EC
48%	48/SN+%/SW


# id : NWRW1800000044.350.4.1
50~60대·대구경북 지지대 구실

50~60대·대구경북	50/SN+~/SO+60/SN+대/NNB+·/SP+대구/NNP+경북/NNP
지지대	지지대/NNG
구실	구실/NNG


# id : NWRW1800000044.350.5.1
세월호 참사와 박근혜 대통령의 사과 이후 조사·발표된 각종 여론조사에서 박 대통령의 국정수행 지지율이 급락한 결과가 잇따라 나오고 있다.

세월호	세월호/NNP
참사와	참사/NNG+와/JC
박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
사과	사과/NNG
이후	이후/NNG
조사·발표된	조사/NNG+·/SP+발표/NNG+되/XSV+ㄴ/ETM
각종	각종/NNG
여론조사에서	여론/NNG+조사/NNG+에서/JKB
박	박/NNP
국정수행	국정/NNG+수행/NNG
지지율이	지지/NNG+율/XSN+이/JKS
급락한	급락/NNG+하/XSV+ㄴ/ETM
결과가	결과/NNG+가/JKS
잇따라	잇따르/VV+아/EC
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.350.5.2
하지만 50대 이상과 대구·경북 지역에서의 박 대통령 지지는 여전히 견고해, 40%대의 박 대통령 지지율을 떠받치고 있는 것으로 풀이된다.

하지만	하지만/MAJ
50대	50/SN+대/NNB
