# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.270
metadata : {}


# id : NWRW1800000022.270.1.1
'레스토랑 혹평' 유명한 英 요리사 램지 정작 자신의 레스토랑들은 파산 직전

'레스토랑	'/SS+레스토랑/NNG
혹평'	혹평/NNG+'/SS
유명한	유명/NNG+하/XSA+ㄴ/ETM
英	英/SH
요리사	요리사/NNG
램지	램지/NNP
정작	정작/MAG
자신의	자신/NNG+의/JKG
레스토랑들은	레스토랑/NNG+들/XSN+은/JX
파산	파산/NNG
직전	직전/NNG


# id : NWRW1800000022.270.2.1
욕설과 혹평으로 레스토랑 주인들을 벌벌 떨게 만든 영국 출신의 세계적인 요리사 고든 램지(Ramsay·43)가 앞으로 할 말이 없게 됐다.

욕설과	욕설/NNG+과/JC
혹평으로	혹평/NNG+으로/JKB
레스토랑	레스토랑/NNG
주인들을	주인/NNG+들/XSN+을/JKO
벌벌	벌벌/MAG
떨게	떨/VV+게/EC
만든	만들/VV+ㄴ/ETM
영국	영국/NNP
출신의	출신/NNG+의/JKG
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
요리사	요리사/NNG
고든	고든/NNP
램지(Ramsay·43)가	램지/NNP+(/SS+Ramsay/SL+·/SP+43/SN+)/SS+가/JKS
앞으로	앞/NNG+으로/JKB
할	하/VV+ㄹ/ETM
말이	말/NNG+이/JKS
없게	없/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.270.2.2
램지는 한국에도 방영 중인 미국 TV 프로그램 '미션 최고의 레스토랑(원제: Kitchen Nightmares)'에서 최악의 레스토랑을 되살리는 '해결사'로 활동해왔지만, 정작 자신이 운영하는 레스토랑들은 파산 직전에 놓였다고 월스트리트저널(WSJ)이 8일 보도했다.

램지는	램지/NNP+는/JX
한국에도	한국/NNP+에/JKB+도/JX
방영	방영/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
미국	미국/NNP
TV	TV/SL
프로그램	프로그램/NNG
'미션	'/SS+미션/NNG
최고의	최고/NNG+의/JKG
레스토랑(원제:	레스토랑/NNG+(/SS+원제/NNG+:/SP
Kitchen	Kitchen/SL
Nightmares)'에서	Nightmares/SL+)/SS+'/SS+에서/JKB
최악의	최악/NNG+의/JKG
레스토랑을	레스토랑/NNG+을/JKO
되살리는	되살리/VV+는/ETM
'해결사'로	'/SS+해결사/NNG+'/SS+로/JKB
활동해왔지만,	활동/NNG+하/XSV+아/EC+오/VX+았/EP+지만/EC+,/SP
정작	정작/MAG
자신이	자신/NNG+이/JKS
운영하는	운영/NNG+하/XSV+는/ETM
레스토랑들은	레스토랑/NNG+들/XSN+은/JX
파산	파산/NNG
직전에	직전/NNG+에/JKB
놓였다고	놓이/VV+었/EP+다고/EC
월스트리트저널(WSJ)이	월스트리트저널/NNP+(/SS+WSJ/SL+)/SS+이/JKS
8일	8/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


