# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.389
metadata : {}


# id : NWRW1800000029.389.1.1
“박원순 해외 100여곳 다녀… 여행경비 어디서 조달했나”

“박원순	“/SS+박원순/NNP
해외	해외/NNG
100여곳	100/SN+여/XSN+곳/NNG
다녀…	다니/VV+어/EF+…/SE
여행경비	여행/NNG+경비/NNG
어디서	어디/NP+서/JKB
조달했나”	조달/NNG+하/XSV+았/EP+나/EF+”/SS


# id : NWRW1800000029.389.2.1
■ 한나라 전방위 공세 계속

■	■/SW
한나라	한나라/NNP
전방위	전방위/NNG
공세	공세/NNG
계속	계속/MAG


# id : NWRW1800000029.389.3.1
한나라당 나경원 서울시장 후보 측은 20일 야권 무소속 박원순 서울시장 후보에 대한 추가 의혹을 제기하며 공세를 이어갔다.

한나라당	한나라당/NNP
나경원	나경원/NNP
서울시장	서울시장/NNG
후보	후보/NNG
측은	측/NNB+은/JX
20일	20/SN+일/NNB
야권	야권/NNG
무소속	무/XPN+소속/NNG
박원순	박원순/NNP
후보에	후보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
추가	추가/NNG
의혹을	의혹/NNG+을/JKO
제기하며	제기/NNG+하/XSV+며/EC
공세를	공세/NNG+를/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.389.4.1
우선 박 후보가 아름다운재단, 희망제작소 등 비정부기구(NGO) 활동을 하는 동안 해외여행을 자주 다녔는데 비용을 어떻게 조달했는지 따졌다.

우선	우선/MAG
박	박/NNP
후보가	후보/NNG+가/JKS
아름다운재단,	아름다운재단/NNP+,/SP
희망제작소	희망제작소/NNP
등	등/NNB
비정부기구(NGO)	비/XPN+정부/NNG+기구/NNG+(/SS+NGO/SL+)/SS
활동을	활동/NNG+을/JKO
하는	하/VV+는/ETM
동안	동안/NNG
해외여행을	해외여행/NNG+을/JKO
자주	자주/MAG
다녔는데	다니/VV+었/EP+는데/EC
비용을	비용/NNG+을/JKO
어떻게	어떻/VA+게/EC
조달했는지	조달/NNG+하/XSV+았/EP+는지/EC
