# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.170
metadata : {}


# id : NWRW1800000030.170.1.1
죽어서야 고향에 돌아온 조 하사

죽어서야	죽/VV+어서/EC+야/JX
고향에	고향/NNG+에/JKB
돌아온	돌아오/VV+ㄴ/ETM
조	조/NNP
하사	하사/NNG


# id : NWRW1800000030.170.2.1
•51년 대관령 고지서 전사, 지난 5월 유해 발굴돼 60년 만에 가족 품으로

•51년	•/SW+51/SN+년/NNB
대관령	대관령/NNP
고지서	고지/NNG+서/JKB
전사,	전사/NNG+,/SP
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
유해	유해/NNG
발굴돼	발굴/NNG+되/XSV+어/EC
60년	60/SN+년/NNB
만에	만/NNB+에/JKB
가족	가족/NNG
품으로	품/NNG+으로/JKB


# id : NWRW1800000030.170.3.1
1951년 5월 21일 강원도 대관령 1084고지 일대.

1951년	1951/SN+년/NNB
5월	5/SN+월/NNB
21일	21/SN+일/NNB
강원도	강원도/NNP
대관령	대관령/NNP
1084고지	1084/SN+고지/NNG
일대.	일대/NNG+./SF


# id : NWRW1800000030.170.3.2
닷새 전 시작된 중공군의 공세에 밀려 강원도 인제 현리지역에서 후퇴한 국군 제3군단은 강릉에서 급히 내려온 수도사단과 이곳에서 합류했다.

닷새	닷새/NNG
전	전/NNG
시작된	시작/NNG+되/XSV+ㄴ/ETM
중공군의	중공군/NNG+의/JKG
공세에	공세/NNG+에/JKB
밀려	밀리/VV+어/EC
강원도	강원도/NNP
인제	인제/NNP
현리지역에서	현리/NNP+지역/NNG+에서/JKB
후퇴한	후퇴/NNG+하/XSV+ㄴ/ETM
국군	국군/NNG
제3군단은	제/XPN+3/SN+군단/NNG+은/JX
강릉에서	강릉/NNP+에서/JKB
급히	급히/MAG
내려온	내려오/VV+ㄴ/ETM
수도사단과	수도/NNG+사단/NNG+과/JC
이곳에서	이곳/NP+에서/JKB
합류했다.	합류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.170.3.3
중공군 2개 사단이 서울과 강릉을 연결하는 도로를 따라 동쪽에서, 북한군 12사단이 북쪽에서 진격해오고 있었다.

중공군	중공군/NNG
2개	2/SN+개/NNB
사단이	사단/NNG+이/JKS
서울과	서울/NNP+과/JKB
강릉을	강릉/NNP+을/JKO
연결하는	연결/NNG+하/XSV+는/ETM
도로를	도로/NNG+를/JKO
따라	따르/VV+아/EC
동쪽에서,	동쪽/NNG+에서/JKB+,/SP
북한군	북한군/NNG
12사단이	12/SN+사단/NNG+이/JKS
북쪽에서	북쪽/NNG+에서/JKB
진격해오고	진격/NNG+하/XSV+아/EC+오/VX+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.170.3.4
수도사단 1연대 3대대의 경남 함안 출신 조용수 일병(26)은 경남 양산이 고향인 네 살 아래 정우상 일병과 함께 방어 진지를 쌓았다.

수도사단	수도/NNG+사단/NNG
1연대	1/SN+연대/NNG
3대대의	3/SN+대대/NNG+의/JKG
경남	경남/NNP
함안	함안/NNP
출신	출신/NNG
조용수	조용수/NNP
일병(26)은	일병/NNG+(/SS+26/SN+)/SS+은/JX
양산이	양산/NNP+이/JKS
고향인	고향/NNG+이/VCP+ㄴ/ETM
네	네/MMN
살	살/NNB
아래	아래/NNG
정우상	정우상/NNP
일병과	일병/NNG+과/JKB
함께	함께/MAG
방어	방어/NNG
진지를	진지/NNG+를/JKO
쌓았다.	쌓/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.170.4.1
"따다당…따다당…." 22일 새벽잠을 쫓는 엄청난 총성이 들렸다.

"따다당…따다당…."	"/SS+따다당/MAG+…/SE+따다당/MAG+…/SE+./SF+"/SS
22일	22/SN+일/NNB
새벽잠을	새벽잠/NNG+을/JKO
쫓는	쫓/VV+는/ETM
엄청난	엄청나/VA+ㄴ/ETM
총성이	총성/NNG+이/JKS
들렸다.	들리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.170.4.2
곳곳에 적의 포탄이 쏟아졌다.

곳곳에	곳곳/NNG+에/JKB
적의	적/NNG+의/JKG
포탄이	포탄/NNG+이/JKS
쏟아졌다.	쏟아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.170.4.3
비명과 신음이 쏟아졌다.

비명과	비명/NNG+과/JC
신음이	신음/NNG+이/JKS
쏟아졌다.	쏟아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.170.5.1
날이 밝은 오전 7시쯤 진지 아래에는 중공군이 새까맣게 몰려들었다.

날이	날/NNG+이/JKS
밝은	밝/VA+은/ETM
오전	오전/NNG
7시쯤	7/SN+시/NNB+쯤/XSN
진지	진지/NNG
아래에는	아래/NNG+에/JKB+는/JX
중공군이	중공군/NNG+이/JKS
새까맣게	새까맣/VA+게/EC
몰려들었다.	몰려들/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.170.5.2
아군은 방어 진지로 철수한 뒤 사단 포병과 유엔 공군의 폭격을 요청했다.

아군은	아군/NNG+은/JX
방어	방어/NNG
진지로	진지/NNG+로/JKB
철수한	철수/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
사단	사단/NNG
포병과	포병/NNG+과/JC
유엔	유엔/NNP
공군의	공군/NNG+의/JKG
폭격을	폭격/NNG+을/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.170.5.3
중공군은 진지 멀리 물러났다.

중공군은	중공군/NNG+은/JX
진지	진지/NNG
멀리	멀리/MAG
물러났다.	물러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.170.5.4
그렇게 날이 저물었다.

그렇게	그렇/VA+게/EC
날이	날/NNG+이/JKS
저물었다.	저물/VV+었/EP+다/EF+./SF


