# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.161
metadata : {}


# id : NWRW1800000037.161.1.1
[책의 향기]버려진 산업유산, 다시 인간의 품으로…

[책의	[/SS+책/NNG+의/JKG
향기]버려진	향기/NNG+]/SS+버리/VV+어/EC+지/VX+ㄴ/ETM
산업유산,	산업/NNG+유산/NNG+,/SP
다시	다시/MAG
인간의	인간/NNG+의/JKG
품으로…	품/NNG+으로/JKB+…/SE


# id : NWRW1800000037.161.2.1
◇발전소는 어떻게 미술관이 되었는가/김정후 지음/328쪽·1만6000원/돌베개 제철소 부지에 친환경공원 짓고 가스저장고, 공동주택으로 활용 ‘유럽의 재생 프로젝트’ 소개

◇발전소는	◇/SW+발전소/NNG+는/JX
어떻게	어떻/VA+게/EC
미술관이	미술관/NNG+이/JKC
되었는가/김정후	되/VV+었/EP+는가/EF+//SP+김정후/NNP
지음/328쪽·1만6000원/돌베개	짓/VV+ㅁ/ETN+//SP+328/SN+쪽/NNG+·/SP+1/SN+만/NR+6000/SN+원/NNB+//SP+돌베개/NNP
제철소	제철소/NNG
부지에	부지/NNG+에/JKB
친환경공원	친/XPN+환경/NNG+공원/NNG
짓고	짓/VV+고/EC
가스저장고,	가스/NNG+저장고/NNG+,/SP
공동주택으로	공동/NNG+주택/NNG+으로/JKB
활용	활용/NNG
‘유럽의	‘/SS+유럽/NNP+의/JKG
재생	재생/NNG
프로젝트’	프로젝트/NNG+’/SS
소개	소개/NNG


# id : NWRW1800000037.161.3.1
이 책의 제목만 보고 곧 테이트모던 미술관을 떠올리는 사람이 많을 것이다.

이	이/MMD
책의	책/NNG+의/JKG
제목만	제목/NNG+만/JX
보고	보/VV+고/EC
곧	곧/MAG
테이트모던	테이트모던/NNP
미술관을	미술관/NNG+을/JKO
떠올리는	떠올리/VV+는/ETM
사람이	사람/NNG+이/JKS
많을	많/VA+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.161.3.2
영국 런던 템스 강변에 자리한 이 미술관은 잘 알려진 대로 흉물로 방치되었던 화력발전소를 성공적으로 개조한 대표적 사례다.

영국	영국/NNP
런던	런던/NNP
템스	템스/NNP
강변에	강변/NNG+에/JKB
자리한	자리/NNG+하/XSV+ㄴ/ETM
이	이/MMD
미술관은	미술관/NNG+은/JX
잘	잘/MAG
알려진	알려지/VV+ㄴ/ETM
대로	대로/NNB
흉물로	흉물/NNG+로/JKB
방치되었던	방치/NNG+되/XSV+었/EP+던/ETM
화력발전소를	화력/NNG+발전소/NNG+를/JKO
성공적으로	성공/NNG+적/XSN+으로/JKB
개조한	개조/NNG+하/XSV+ㄴ/ETM
대표적	대표/NNG+적/XSN
사례다.	사례/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.161.3.3
우리나라엔 상대적으로 덜 알려졌지만 2000년 테이트모던 개관 5개월 뒤 런던 동부에는 일명 ‘베이비 테이트’가 문을 열었다.

우리나라엔	우리나라/NNG+에/JKB+ㄴ/JX
상대적으로	상대/NNG+적/XSN+으로/JKB
덜	덜/MAG
알려졌지만	알려지/VV+었/EP+지만/EC
2000년	2000/SN+년/NNB
테이트모던	테이트모던/NNP
개관	개관/NNG
5개월	5/SN+개월/NNB
뒤	뒤/NNG
런던	런던/NNP
동부에는	동부/NNG+에/JKB+는/JX
일명	일명/NNG
‘베이비	‘/SS+베이비/NNG
테이트’가	테이트/NNP+’/SS+가/JKS
문을	문/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.161.3.4
소규모 수력발전소를 갤러리와 레스토랑으로 개조한 ‘와핑 프로젝트’다.

소규모	소/XPN+규모/NNG
수력발전소를	수력/NNG+발전소/NNG+를/JKO
갤러리와	갤러리/NNG+와/JC
레스토랑으로	레스토랑/NNG+으로/JKB
개조한	개조/NNG+하/XSV+ㄴ/ETM
‘와핑	‘/SS+와핑/NNG
프로젝트’다.	프로젝트/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000037.161.4.1
1890년 건립된 와핑 수력발전소는 주변 항만과 런던 전역에 쓰이는 전기를 생산하다 수력발전의 효용성이 떨어지자 1977년 문을 닫았다.

1890년	1890/SN+년/NNB
건립된	건립/NNG+되/XSV+ㄴ/ETM
와핑	와핑/NNG
수력발전소는	수력/NNG+발전소/NNG+는/JX
주변	주변/NNG
항만과	항만/NNG+과/JC
런던	런던/NNP
전역에	전역/NNG+에/JKB
쓰이는	쓰이/VV+는/ETM
전기를	전기/NNG+를/JKO
생산하다	생산/NNG+하/XSV+다/EC
수력발전의	수력/NNG+발전/NNG+의/JKG
효용성이	효용/NNG+성/XSN+이/JKS
떨어지자	떨어지/VV+자/EC
1977년	1977/SN+년/NNB
문을	문/NNG+을/JKO
닫았다.	닫/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.161.4.2
영국 정부는 이를 보존 건물로 지정했고, 이 건물의 가치를 알아본 호주 출신의 예술가 줄스 라이트가 건물 사용 권리를 인수했다.

영국	영국/NNP
정부는	정부/NNG+는/JX
이를	이/NP+를/JKO
보존	보존/NNG
건물로	건물/NNG+로/JKB
지정했고,	지정/NNG+하/XSV+았/EP+고/EC+,/SP
이	이/MMD
건물의	건물/NNG+의/JKG
가치를	가치/NNG+를/JKO
