# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.85
metadata : {}


# id : NWRW1800000037.85.1.1
[대덕연구단지 40년]자갈 던지며 수류탄 연구… ‘TDX개발 못하면 처벌’ 혈서 쓰기도

[대덕연구단지	[/SS+대덕연구단지/NNP
40년]자갈	40/SN+년/NNB+]/SS+자갈/NNG
던지며	던지/VV+며/EC
수류탄	수류탄/NNG
연구…	연구/NNG+…/SE
‘TDX개발	‘/SS+TDX/SL+개발/NNG
못하면	못/MAG+하/VV+면/EC
처벌’	처벌/NNG+’/SS
혈서	혈서/NNG
쓰기도	쓰/VV+기/ETN+도/JX


# id : NWRW1800000037.85.2.1
■ 애국심 하나로 이룬 국산화사업

■	■/SW
애국심	애국심/NNG
하나로	하나/NR+로/JKB
이룬	이루/VV+ㄴ/ETM
국산화사업	국산/NNG+화/XSN+사업/NNG


# id : NWRW1800000037.85.3.1
1971년 7월 중순 서울 광진구 워커힐호텔 인근 한강 백사장.

1971년	1971/SN+년/NNB
7월	7/SN+월/NNB
중순	중순/NNG
서울	서울/NNP
광진구	광진구/NNP
워커힐호텔	워커힐호텔/NNP
인근	인근/NNG
한강	한강/NNP
백사장.	백사장/NNG+./SF


# id : NWRW1800000037.85.4.1
20대 후반에서 30대 후반의 남자들이 모여 며칠째 하루 종일 ‘자갈 던지기’를 하고 있었다.

20대	20/SN+대/NNB
후반에서	후반/NNG+에서/JKB
30대	30/SN+대/NNB
후반의	후반/NNG+의/JKG
남자들이	남자/NNG+들/XSN+이/JKS
모여	모이/VV+어/EC
며칠째	며칠/NNG+째/XSN
하루	하루/NNG
종일	종일/MAG
‘자갈	‘/SS+자갈/NNG
던지기’를	던지기/NNG+’/SS+를/JKO
하고	하/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.85.4.2
당시 한필순 국방과학연구소 병참물자개발실장(현 한국원자력연구원 고문)과 ‘W이론’ 창시자인 이면우 한국과학기술연구원 연구원 겸 서울대 교수(현 울산과기대 석좌교수), 김지학 서울대 사범대 체육과 교수(작고) 등이었다.

당시	당시/NNG
한필순	한필순/NNP
국방과학연구소	국방/NNG+과학/NNG+연구소/NNG
병참물자개발실장(현	병참/NNG+물자/NNG+개발실장/NNG+(/SS+현/MMD
한국원자력연구원	한국원자력연구원/NNP
고문)과	고문/NNG+)/SS+과/JC
‘W이론’	‘/SS+W/SL+이론/NNG+’/SS
창시자인	창시자/NNG+이/VCP+ㄴ/ETM
이면우	이면우/NNP
한국과학기술연구원	한국과학기술연구원/NNP
연구원	연구원/NNG
겸	겸/NNB
서울대	서울대/NNP
교수(현	교수/NNG+(/SS+현/MMD
울산과기대	울산과기대/NNP
석좌교수),	석좌/NNG+교수/NNG+)/SS+,/SP
김지학	김지학/NNP
사범대	사범대/NNG
체육과	체육과/NNG
교수(작고)	교수/NNG+(/SS+작고/NNG+)/SS
등이었다.	등/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.85.5.1
당시 국방과학연구소로부터 ‘한국형 수류탄 개발’ 미션을 받은 한 실장이 여러 가지 방안을 제시하면 아이디어맨인 이 교수가 이에 대해 조언을 했다.

당시	당시/NNG
국방과학연구소로부터	국방/NNG+과학/NNG+연구소/NNG+로부터/JKB
‘한국형	‘/SS+한국/NNP+형/XSN
수류탄	수류탄/NNG
개발’	개발/NNG+’/SS
미션을	미션/NNG+을/JKO
받은	받/VV+은/ETM
한	한/NNP
실장이	실장/NNG+이/JKS
여러	여러/MMN
가지	가지/NNB
방안을	방안/NNG+을/JKO
제시하면	제시/NNG+하/XSV+면/EC
아이디어맨인	아이디어맨/NNG+이/VCP+ㄴ/ETM
이	이/NNP
교수가	교수/NNG+가/JKS
이에	이/NP+에/JKB
대해	대하/VV+아/EC
조언을	조언/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.85.5.2
김 교수는 수류탄 투척 동작에 대해 구체적인 도움을 줬다.

김	김/NNP
교수는	교수/NNG+는/JX
수류탄	수류탄/NNG
투척	투척/NNG
동작에	동작/NNG+에/JKB
대해	대하/VV+아/EC
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
도움을	도움/NNG+을/JKO
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.85.5.3
이들이 자갈 던지기를 한 건 수류탄 형태를 구상하기 위해서였다.

이들이	이/NP+들/XSN+이/JKS
자갈	자갈/NNG
던지기를	던지기/NNG+를/JKO
한	하/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
수류탄	수류탄/NNG
형태를	형태/NNG+를/JKO
구상하기	구상/NNG+하/XSV+기/ETN
위해서였다.	위하/VV+아서/EC+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.85.5.4
그 결론은 ‘사과형, 380g’ 수류탄이 가장 멀리까지 날아간다는 거였다.

그	그/MMD
결론은	결론/NNG+은/JX
‘사과형,	‘/SS+사과/NNG+형/XSN+,/SP
380g’	380/SN+g/SW+’/SS
수류탄이	수류탄/NNG+이/JKS
가장	가장/MAG
멀리까지	멀리/MAG+까지/JX
날아간다는	날아가/VV+ㄴ다는/ETM
거였다.	거/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.85.5.5
이를 놓고 “그럼 왜 미군은 ‘고구마형’이냐”는 의문이 제기됐다.

이를	이/NP+를/JKO
놓고	놓/VV+고/EC
