# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.333
metadata : {}


# id : NWRW1800000026.333.1.1
15개국 참가 PSI 훈련(대량살상무기확산방지구상), 13일 부산 앞바다서 실시;천안함 폭침 관련 對北조치… 우리나라 주관으론 첫 훈련

15개국	15/SN+개국/NNB
참가	참가/NNG
PSI	PSI/SL
훈련(대량살상무기확산방지구상),	훈련/NNG+(/SS+대량/NNG+살상/NNG+무기/NNG+확산/NNG+방지/NNG+구상/NNG+)/SS+,/SP
13일	13/SN+일/NNB
부산	부산/NNP
앞바다서	앞바다/NNG+서/JKB
실시;천안함	실시/NNG+;/SW+천안함/NNP
폭침	폭침/NNG
관련	관련/NNG
對北조치…	對北/SH+조치/NNG+…/SE
우리나라	우리나라/NNG
주관으론	주관/NNG+으로/JKB+ㄴ/JX
첫	첫/MMN
훈련	훈련/NNG


# id : NWRW1800000026.333.2.1
천안함 폭침(爆沈)사건에 대한 대북 군사 조치의 하나로 계획됐던 한국 주관 PSI(대량살상무기확산방지구상) 훈련인 '이스턴 앤데버 10(동방의 노력 10)'이 13일부터 이틀간 부산 앞바다에서 실시된다.

천안함	천안함/NNP
폭침(爆沈)사건에	폭침/NNG+(/SS+爆沈/SH+)/SS+사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대북	대북/NNG
군사	군사/NNG
조치의	조치/NNG+의/JKG
하나로	하나/NR+로/JKB
계획됐던	계획/NNG+되/XSV+었/EP+던/ETM
한국	한국/NNP
주관	주관/NNG
PSI(대량살상무기확산방지구상)	PSI/SL+(/SS+대량/NNG+살상/NNG+무기/NNG+확산/NNG+방지/NNG+구상/NNG+)/SS
훈련인	훈련/NNG+이/VCP+ㄴ/ETM
'이스턴	'/SS+이스턴/NNG
앤데버	앤데버/NNG
10(동방의	10/SN+(/SS+동방/NNG+의/JKG
노력	노력/NNG
10)'이	10/SN+)/SS+'/SS+이/JKS
13일부터	13/SN+일/NNB+부터/JX
이틀간	이틀/NNG+간/XSN
부산	부산/NNP
앞바다에서	앞바다/NNG+에서/JKB
실시된다.	실시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.333.3.1
