# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.261
metadata : {}


# id : NWRW1800000025.261.1.1
李특임장관, 민주 원내대표단과 ‘화기애애 만찬’

李특임장관,	李/SH+특임/NNG+장관/NNG+,/SP
민주	민주/NNP
원내대표단과	원내/NNG+대표단/NNG+과/JKB
‘화기애애	‘/SS+화기애애/XR
만찬’	만찬/NNG+’/SS


# id : NWRW1800000025.261.2.1
이재오 특임장관이 16일 서울 여의도의 한 음식점에서 민주당 박지원 원내대표 등 원내대표단과 저녁식사를 했다.

이재오	이재오/NNP
특임장관이	특임/NNG+장관/NNG+이/JKS
16일	16/SN+일/NNB
서울	서울/NNP
여의도의	여의도/NNP+의/JKG
한	한/MMN
음식점에서	음식점/NNG+에서/JKB
민주당	민주당/NNP
박지원	박지원/NNP
원내대표	원내/NNG+대표/NNG
등	등/NNB
원내대표단과	원내/NNG+대표단/NNG+과/JKB
저녁식사를	저녁/NNG+식사/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.261.2.2
만찬은 시종 화기애애한 분위기였다고 한 참석자가 전했다.

만찬은	만찬/NNG+은/JX
시종	시종/MAG
화기애애한	화기애애하/VA+ㄴ/ETM
분위기였다고	분위기/NNG+이/VCP+었/EP+다고/EC
한	한/MMN
참석자가	참석자/NNG+가/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.261.3.1
만찬 초반에 이 장관이 박 원내대표와 가볍게 악수를 하자 한 참석자가 “이제 90도 인사는 안 하는 모양”이라고 했고, 이 장관은 “집에서 부인하고 악수하느냐(그만큼 자주 만나는 가까운 사이라는 뜻)”며 박 원내대표와의 각별한 친분을 과시했다.

만찬	만찬/NNG
초반에	초반/NNG+에/JKB
이	이/NNP
장관이	장관/NNG+이/JKS
박	박/NNP
원내대표와	원내/NNG+대표/NNG+와/JKB
가볍게	가볍/VA+게/EC
악수를	악수/NNG+를/JKO
하자	하/VV+자/EC
한	한/MMN
참석자가	참석자/NNG+가/JKS
“이제	“/SS+이제/MAG
90도	90/SN+도/NNB
인사는	인사/NNG+는/JX
안	안/MAG
하는	하/VV+는/ETM
모양”이라고	모양/NNB+”/SS+이라고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
장관은	장관/NNG+은/JX
“집에서	“/SS+집/NNG+에서/JKB
부인하고	부인/NNG+하/XSV+고/EC
악수하느냐(그만큼	악수/NNG+하/XSV+느냐/EF+(/SS+그만큼/MAG
자주	자주/MAG
만나는	만나/VV+는/ETM
가까운	가깝/VA+ㄴ/ETM
사이라는	사이/NNG+이/VCP+라는/ETM
뜻)”며	뜻/NNG+)/SS+”/SS+며/EC
원내대표와의	원내/NNG+대표/NNG+와/JKB+의/JKG
각별한	각별/NNG+하/XSA+ㄴ/ETM
친분을	친분/NNG+을/JKO
과시했다.	과시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.261.3.2
이에 박 원내대표는 우스갯소리로 “(여권에서 내 발언을 문제 삼아) 두드려 패면서 악수하기는 싫다는 거냐”고 말하기도 했다.

이에	이/NP+에/JKB
박	박/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
우스갯소리로	우스갯소리/NNG+로/JKB
“(여권에서	“/SS+(/SS+여권/NNG+에서/JKB
내	나/NP+의/JKG
발언을	발언/NNG+을/JKO
문제	문제/NNG
삼아)	삼/VV+아/EC+)/SS
두드려	두드리/VV+어/EC
패면서	패/VV+면서/EC
악수하기는	악수/NNG+하/XSV+기/ETN+는/JX
싫다는	싫/VA+다는/ETM
거냐”고	거/NNB+이/VCP+냐/EF+”/SS+고/JKQ
말하기도	말/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.261.3.3
민주당에서 박기춘 원내수석부대표와 전혜숙 김희철 홍영표 원내부대표, 전현희 대변인 등이 참석했다.

민주당에서	민주당/NNP+에서/JKB
박기춘	박기춘/NNP
