# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.87
metadata : {}


# id : NWRW1800000049.87.1.1
[제4회 한국축제박람회]신촌물총축제, 365일 축제로 매일 행복하고 즐겁게 살자

[제4회	[/SS+제/XPN+4/SN+회/NNB
한국축제박람회]신촌물총축제,	한국/NNP+축제/NNG+박람회/NNG+]/SS+신촌/NNP+물총/NNG+축제/NNG+,/SP
365일	365/SN+일/NNB
축제로	축제/NNG+로/JKB
매일	매일/MAG
행복하고	행복/NNG+하/XSA+고/EC
즐겁게	즐겁/VA+게/EC
살자	살/VV+자/EC


# id : NWRW1800000049.87.2.1
신촌물총축제

신촌물총축제	신촌/NNP+물총/NNG+축제/NNG


# id : NWRW1800000049.87.3.1
365일 축제를 즐길 수 있는 대한민국을 만들어 볼까.

365일	365/SN+일/NNB
축제를	축제/NNG+를/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
대한민국을	대한민국/NNP+을/JKO
만들어	만들/VV+어/EC
볼까.	보/VX+ㄹ까/EF+./SF


# id : NWRW1800000049.87.4.1
더운 여름을 시원하게 보내기 위해 7월 9, 10일 이틀간 서울시의 브랜드 축제가 되어 돌아온 제4회 신촌 물총축제를 진행한다.

더운	덥/VA+ㄴ/ETM
여름을	여름/NNG+을/JKO
시원하게	시원하/VA+게/EC
보내기	보내/VV+기/ETN
위해	위하/VV+아/EC
7월	7/SN+월/NNB
9,	9/SN+,/SP
10일	10/SN+일/NNB
이틀간	이틀/NNG+간/XSN
서울시의	서울시/NNP+의/JKG
브랜드	브랜드/NNG
축제가	축제/NNG+가/JKC
되어	되/VV+어/EC
돌아온	돌아오/VV+ㄴ/ETM
제4회	제/XPN+4/SN+회/NNB
신촌	신촌/NNP
물총축제를	물총/NNG+축제/NNG+를/JKO
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.87.4.2
올해 물총축제는 ‘해적’ 콘셉트로 다양한 부대행사와 물총대전이 펼쳐진다.

올해	올해/NNG
물총축제는	물총/NNG+축제/NNG+는/JX
‘해적’	‘/SS+해적/NNG+’/SS
콘셉트로	콘셉트/NNG+로/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
부대행사와	부대/NNG+행사/NNG+와/JC
물총대전이	물총/NNG+대전/NNG+이/JKS
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.87.5.1
이를 시작으로 7월 23, 24일에는 세계 최대의 물풍선싸움인 2016 한강 물싸움 축제를 한강 여의도 지구 멀티플라자에서 진행한다.

이를	이/NP+를/JKO
시작으로	시작/NNG+으로/JKB
7월	7/SN+월/NNB
23,	23/SN+,/SP
24일에는	24/SN+일/NNB+에/JKB+는/JX
세계	세계/NNG
최대의	최대/NNG+의/JKG
물풍선싸움인	물/NNG+풍선/NNG+싸움/NNG+이/VCP+ㄴ/ETM
2016	2016/SN
한강	한강/NNP
물싸움	물싸움/NNG
축제를	축제/NNG+를/JKO
여의도	여의도/NNP
지구	지구/NNG
멀티플라자에서	멀티플라자/NNP+에서/JKB
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.87.6.1
유명 DJ와 힙합 뮤지션이 함께할 수 있게 일렉트로닉 & 힙합 음악을 배경음악으로 물싸움을 팀 대항전으로 진행할 예정이다.

유명	유명/NNG
DJ와	DJ/SL+와/JC
힙합	힙합/NNG
뮤지션이	뮤지션/NNG+이/JKS
함께할	함께/MAG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
일렉트로닉	일렉트로닉/NNG
&	&/SW
음악을	음악/NNG+을/JKO
배경음악으로	배경/NNG+음악/NNG+으로/JKB
물싸움을	물싸움/NNG+을/JKO
팀	팀/NNG
대항전으로	대항전/NNG+으로/JKB
진행할	진행/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.87.6.2
7월 28∼31일 4일간은 서울시청 앞 서울광장에서 빗물축제를 진행한다.

7월	7/SN+월/NNB
28∼31일	28/SN+∼/SO+31/SN+일/NNB
4일간은	4/SN+일/NNB+간/XSN+은/JX
서울시청	서울시청/NNP
앞	앞/NNG
서울광장에서	서울광장/NNP+에서/JKB
빗물축제를	빗물/NNG+축제/NNG+를/JKO
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.87.6.3
비를 좋아하는 사람들과 함께 비를 맞으면서 춤도 추고 영화도 보고 콘서트도 보는 축제로 물순환 시민문화제와 함께 학문적으로 문화적으로 물순환에 대해 공감대를 형성할 축제이다.

비를	비/NNG+를/JKO
좋아하는	좋아하/VV+는/ETM
사람들과	사람/NNG+들/XSN+과/JKB
함께	함께/MAG
맞으면서	맞/VV+으면서/EC
춤도	춤/NNG+도/JX
추고	추/VV+고/EC
영화도	영화/NNG+도/JX
보고	보/VV+고/EC
콘서트도	콘서트/NNG+도/JX
보는	보/VV+는/ETM
축제로	축제/NNG+로/JKB
물순환	물/NNG+순환/NNG
시민문화제와	시민/NNG+문화제/NNG+와/JKB
학문적으로	학문/NNG+적/XSN+으로/JKB
문화적으로	문화/NNG+적/XSN+으로/JKB
물순환에	물/NNG+순환/NNG+에/JKB
대해	대하/VV+아/EC
공감대를	공감대/NNG+를/JKO
형성할	형성/NNG+하/XSV+ㄹ/ETM
축제이다.	축제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.87.7.1
8월 12일부터 14일까지는 2016 한강 이불 영화제가 여의도 한강공원에서 개최된다.

8월	8/SN+월/NNB
12일부터	12/SN+일/NNB+부터/JX
14일까지는	14/SN+일/NNB+까지/JX+는/JX
2016	2016/SN
한강	한강/NNP
이불	이불/NNG
영화제가	영화제/NNG+가/JKS
여의도	여의도/NNP
한강공원에서	한강공원/NNP+에서/JKB
개최된다.	개최/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.87.8.1
