# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.339
metadata : {}


# id : NWRW1800000038.339.1.1
원안위, 미래부 아닌 독립기구로… 농림축산부, 농축산식품부로 개명

원안위,	원안위/NNG+,/SP
미래부	미래부/NNG
아닌	아니/VCN+ㄴ/ETM
독립기구로…	독립/NNG+기구/NNG+로/JKB+…/SE
농림축산부,	농림/NNG+축산부/NNG+,/SP
농축산식품부로	농축산/NNG+식품부/NNG+로/JKB
개명	개명/NNG


# id : NWRW1800000038.339.2.1
與野, 나머지 쟁점엔 잠정 합의

與野,	與野/SH+,/SP
나머지	나머지/NNG
쟁점엔	쟁점/NNG+에/JKB+ㄴ/JX
잠정	잠정/NNG
합의	합의/NNG


# id : NWRW1800000038.339.3.1
여야는 22일 정부 조직 개편안 협상을 타결 짓지 못했으나 상당수 쟁점은 합의점에 다다른 상태다.

여야는	여야/NNG+는/JX
22일	22/SN+일/NNB
정부	정부/NNG
조직	조직/NNG
개편안	개편안/NNG
협상을	협상/NNG+을/JKO
타결	타결/NNG
짓지	짓/VV+지/EC
못했으나	못하/VX+았/EP+으나/EC
상당수	상당수/NNG
쟁점은	쟁점/NNG+은/JX
합의점에	합의점/NNG+에/JKB
다다른	다다르/VV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.339.4.1
◇통상교섭 기능

◇통상교섭	◇/SW+통상/NNG+교섭/NNG
기능	기능/NNG


# id : NWRW1800000038.339.5.1
우선 통상교섭 기능은 원안대로 외교통상부에서 산업통상자원부로 이관하기로 했다.

우선	우선/MAG
통상교섭	통상/NNG+교섭/NNG
기능은	기능/NNG+은/JX
원안대로	원안/NNG+대로/JX
외교통상부에서	외교/NNG+통상부/NNG+에서/JKB
산업통상자원부로	산업/NNG+통상/NNG+자원부/NNG+로/JKB
이관하기로	이관/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.339.5.2
이에 따라 외교부 내의 통상·자유무역협정(FTA) 관련 부서 직원 100여명이 산업통상자원부로 자리를 옮기게 됐다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
외교부	외교부/NNG
내의	내/NNB+의/JKG
통상·자유무역협정(FTA)	통상/NNG+·/SP+자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS
관련	관련/NNG
부서	부서/NNG
직원	직원/NNG
100여명이	100/SN+여/XSN+명/NNB+이/JKS
산업통상자원부로	산업/NNG+통상/NNG+자원부/NNG+로/JKB
자리를	자리/NNG+를/JKO
옮기게	옮기/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.339.5.3
외교부에는 통상교섭본부에서 환경·녹색성장 등을 담당해온 국제경제국을 비롯한 2~3개 국(局)만 남을 예정이다.

외교부에는	외교부/NNG+에/JKB+는/JX
통상교섭본부에서	통상/NNG+교섭/NNG+본부/NNG+에서/JKB
환경·녹색성장	환경/NNG+·/SP+녹색/NNG+성장/NNG
등을	등/NNB+을/JKO
담당해온	담당/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
국제경제국을	국제/NNG+경제국/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
2~3개	2/SN+~/SO+3/SN+개/NNB
국(局)만	국/NNG+(/SS+局/SH+)/SS+만/JX
남을	남/VV+을/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.339.5.4
또 '정부 대표 및 특별사절의 임명과 권한에 관한 법률'도 개정돼 통상교섭과 관련된 정부 대표의 임명 및 정부의 지휘·감독 권한의 일부가 산업통상자원부로 이관된다.

또	또/MAG
'정부	'/SS+정부/NNG
대표	대표/NNG
및	및/MAG
특별사절의	특별/NNG+사절/NNG+의/JKG
임명과	임명/NNG+과/JC
권한에	권한/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률'도	법률/NNG+'/SS+도/JX
개정돼	개정/NNG+되/XSV+어/EC
통상교섭과	통상/NNG+교섭/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
정부	정부/NNG
대표의	대표/NNG+의/JKG
임명	임명/NNG
정부의	정부/NNG+의/JKG
지휘·감독	지휘/NNG+·/SP+감독/NNG
권한의	권한/NNG+의/JKG
일부가	일부/NNG+가/JKS
산업통상자원부로	산업/NNG+통상/NNG+자원부/NNG+로/JKB
이관된다.	이관/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.339.6.1
◇농림축산부 명칭·기능

◇농림축산부	◇/SW+농림/NNG+축산부/NNG
명칭·기능	명칭/NNG+·/SP+기능/NNG


# id : NWRW1800000038.339.7.1
농림수산식품부는 해양수산부가 신설되면서 농림축산부로 바뀔 예정이었으나 야당의 의견을 받아들여 농림축산식품부로 하기로 잠정 합의됐다.

농림수산식품부는	농림/NNG+수산/NNG+식품부/NNG+는/JX
해양수산부가	해양/NNG+수산부/NNG+가/JKS
신설되면서	신설/NNG+되/XSV+면서/EC
농림축산부로	농림/NNG+축산부/NNG+로/JKB
바뀔	바뀌/VV+ㄹ/ETM
예정이었으나	예정/NNG+이/VCP+었/EP+으나/EC
야당의	야당/NNG+의/JKG
의견을	의견/NNG+을/JKO
받아들여	받아들이/VV+어/EC
농림축산식품부로	농림/NNG+축산/NNG+식품부/NNG+로/JKB
하기로	하/VV+기/ETN+로/JKB
잠정	잠정/NNG
합의됐다.	합의/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.339.7.2
'식품'이라는 명칭이 유지됨에 따라 식품산업 진흥 기능은 온전하게 농림부에 남고, 식품 안전과 관련된 업무 중에서도 구제역 관리 등 생산 단계에서의 안전 관리 기능은 농림부에 남을 것으로 보인다.

'식품'이라는	'/SS+식품/NNG+'/SS+이/VCP+라는/ETM
명칭이	명칭/NNG+이/JKS
유지됨에	유지/NNG+되/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
식품산업	식품/NNG+산업/NNG
진흥	진흥/NNG
기능은	기능/NNG+은/JX
온전하게	온전하/VA+게/EC
농림부에	농림부/NNG+에/JKB
남고,	남/VV+고/EC+,/SP
식품	식품/NNG
안전과	안전/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
업무	업무/NNG
중에서도	중/NNB+에서/JKB+도/JX
구제역	구제역/NNG
관리	관리/NNG
등	등/NNB
생산	생산/NNG
단계에서의	단계/NNG+에서/JKB+의/JKG
안전	안전/NNG
남을	남/VV+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.339.7.3
식약처는 유통과 소비 단계에서 식품 안전을 책임지는 것이다.

식약처는	식약처/NNG+는/JX
유통과	유통/NNG+과/JC
소비	소비/NNG
단계에서	단계/NNG+에서/JKB
식품	식품/NNG
안전을	안전/NNG+을/JKO
책임지는	책임지/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.339.7.4
결국 농림부는 현재 업무에서 수산 기능은 부활하는 해양수산부로 이전하고, 식품 안전 가운데 일부 기능은 식약처로 이전하는 모양새가 된다.

결국	결국/MAG
농림부는	농림부/NNG+는/JX
현재	현재/MAG
업무에서	업무/NNG+에서/JKB
수산	수산/NNG
기능은	기능/NNG+은/JX
부활하는	부활/NNG+하/XSV+는/ETM
해양수산부로	해양/NNG+수산부/NNG+로/JKB
이전하고,	이전/NNG+하/XSV+고/EC+,/SP
식품	식품/NNG
안전	안전/NNG
가운데	가운데/NNG
일부	일부/NNG
식약처로	식약처/NNG+로/JKB
이전하는	이전/NNG+하/XSV+는/ETM
모양새가	모양새/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.339.8.1
◇원자력안전위원회

◇원자력안전위원회	◇/SW+원자력/NNG+안전/NNG+위원회/NNG


# id : NWRW1800000038.339.9.1
원자력안전위원회(원안위)는 현재처럼 독립기구로 남게 될 것으로 전해졌다.

원자력안전위원회(원안위)는	원자력/NNG+안전/NNG+위원회/NNG+(/SS+원안위/NNG+)/SS+는/JX
현재처럼	현재/NNG+처럼/JKB
독립기구로	독립/NNG+기구/NNG+로/JKB
남게	남/VV+게/EC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.339.9.2
대통령직인수위원회는 당초 원안위를 미래창조과학부 산하로 이관하기로 했었다.

대통령직인수위원회는	대통령직/NNG+인수/NNG+위원회/NNG+는/JX
당초	당초/NNG
원안위를	원안위/NNG+를/JKO
미래창조과학부	미래/NNG+창조/NNG+과학부/NNG
산하로	산하/NNG+로/JKB
이관하기로	이관/NNG+하/XSV+기/ETN+로/JKB
했었다.	하/VV+았었/EP+다/EF+./SF


# id : NWRW1800000038.339.9.3
그러나 이 같은 인수위 안이 발표되자 원자력안전 전문가뿐만 아니라 평소 원안위에 대해 비판적이던 반(反)원자력단체들조차 "대통령 직속의 독립적인 규제기구를 통해 원전 운영의 투명성을 높이는 세계적인 추세에 역행하는 결정"이라고 반발하는 등 논란이 일었다.

그러나	그러나/MAJ
이	이/NP
같은	같/VA+은/ETM
인수위	인수위/NNG
안이	안/NNG+이/JKS
발표되자	발표/NNG+되/XSV+자/EC
원자력안전	원자력/NNG+안전/NNG
전문가뿐만	전문가/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
평소	평소/NNG
원안위에	원안위/NNG+에/JKB
대해	대하/VV+아/EC
비판적이던	비판/NNG+적/XSN+이/VCP+던/ETM
반(反)원자력단체들조차	반/XPN+(/SS+反/SH+)/SS+원자력/NNG+단체/NNG+들/XSN+조차/JX
"대통령	"/SS+대통령/NNG
직속의	직속/NNG+의/JKG
독립적인	독립/NNG+적/XSN+이/VCP+ㄴ/ETM
규제기구를	규제/NNG+기구/NNG+를/JKO
통해	통하/VV+아/EC
원전	원전/NNG
운영의	운영/NNG+의/JKG
투명성을	투명/NNG+성/XSN+을/JKO
높이는	높이/VV+는/ETM
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
추세에	추세/NNG+에/JKB
역행하는	역행/NNG+하/XSV+는/ETM
결정"이라고	결정/NNG+"/SS+이라고/JKQ
반발하는	반발/NNG+하/XSV+는/ETM
등	등/NNB
논란이	논란/NNG+이/JKS
일었다.	일/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.339.9.4
원자력 규제(원안위)와 원자력 진흥(원자력연구원 등의 연구개발 기능)을 한 지붕 아래 두는 것은 선수(진흥)가 심판(규제)을 겸하는 꼴이라는 것이다.

원자력	원자력/NNG
규제(원안위)와	규제/NNG+(/SS+원안위/NNG+)/SS+와/JC
진흥(원자력연구원	진흥/NNG+(/SS+원자력연구원/NNP
등의	등/NNB+의/JKG
연구개발	연구/NNG+개발/NNG
기능)을	기능/NNG+)/SS+을/JKO
한	한/MMN
지붕	지붕/NNG
아래	아래/NNG
두는	두/VV+는/ETM
것은	것/NNB+은/JX
선수(진흥)가	선수/NNG+(/SS+진흥/NNG+)/SS+가/JKS
심판(규제)을	심판/NNG+(/SS+규제/NNG+)/SS+을/JKO
겸하는	겸/NNB+하/XSV+는/ETM
꼴이라는	꼴/NNG+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.339.10.1
◇중소기업청 승격 문제

◇중소기업청	◇/SW+중소기업청/NNG
승격	승격/NNG
문제	문제/NNG


# id : NWRW1800000038.339.11.1
중소기업청을 중소기업부로 승격시키는 문제는 추후 논의하기로 의견이 모였다.

중소기업청을	중소기업청/NNG+을/JKO
중소기업부로	중소기업부/NNG+로/JKB
승격시키는	승격/NNG+시키/XSV+는/ETM
문제는	문제/NNG+는/JX
추후	추후/NNG
논의하기로	논의/NNG+하/XSV+기/ETN+로/JKB
의견이	의견/NNG+이/JKS
모였다.	모이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.339.11.2
중소기업중앙회 고위 관계자는 "승격이 일단 무산돼 아쉽지만 그래도 여지가 남아 있어서 다행"이라고 말했다.

중소기업중앙회	중소기업/NNG+중앙회/NNG
고위	고위/NNG
관계자는	관계자/NNG+는/JX
"승격이	"/SS+승격/NNG+이/JKS
일단	일단/MAG
무산돼	무산/NNG+되/XSV+어/EC
아쉽지만	아쉽/VA+지만/EC
그래도	그러/VV+어도/EC
여지가	여지/NNG+가/JKS
남아	남/VV+아/EC
있어서	있/VX+어서/EC
다행"이라고	다행/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.339.11.3
박근혜 당선인이 후보 시절부터 "'중소기업 대통령'이 되겠다"고 여러 차례 공언한 만큼 이번엔 장관급 부처로 승격될 것이라고 기대한 중소기업인이 적지 않았다.

박근혜	박근혜/NNP
당선인이	당선인/NNG+이/JKS
후보	후보/NNG
시절부터	시절/NNG+부터/JX
"'중소기업	"/SS+'/SS+중소기업/NNG
대통령'이	대통령/NNG+'/SS+이/JKC
되겠다"고	되/VV+겠/EP+다/EF+"/SS+고/JKQ
여러	여러/MMN
차례	차례/NNG
공언한	공언/NNG+하/XSV+ㄴ/ETM
만큼	만큼/NNB
이번엔	이번/NNG+에/JKB+ㄴ/JX
장관급	장관급/NNG
부처로	부처/NNG+로/JKB
승격될	승격/NNG+되/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
기대한	기대/NNG+하/XSV+ㄴ/ETM
중소기업인이	중소기업인/NNG+이/JKS
적지	적/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.339.11.4
중소기업중앙회 관계자는 "그나마 정책 과제에 중소기업 관련 내용이 많이 반영된 것에 위안을 받고 있다"면서 "당선인이 내건 약속이 앞으로 차질 없이 추진되기를 희망한다"고 말했다.

중소기업중앙회	중소기업/NNG+중앙회/NNG
관계자는	관계자/NNG+는/JX
"그나마	"/SS+그나마/MAG
정책	정책/NNG
과제에	과제/NNG+에/JKB
중소기업	중소기업/NNG
관련	관련/NNG
내용이	내용/NNG+이/JKS
많이	많이/MAG
반영된	반영/NNG+되/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
위안을	위안/NNG+을/JKO
받고	받/VV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"당선인이	"/SS+당선인/NNG+이/JKS
내건	내걸/VV+ㄴ/ETM
약속이	약속/NNG+이/JKS
앞으로	앞/NNG+으로/JKB
차질	차질/NNG
없이	없이/MAG
추진되기를	추진/NNG+되/XSV+기/ETN+를/JKO
희망한다"고	희망/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.339.12.1
◇교과부 산학협력 기능 이관

◇교과부	◇/SW+교과부/NNG
산학협력	산학/NNG+협력/NNG
기능	기능/NNG
이관	이관/NNG


# id : NWRW1800000038.339.13.1
현재 교육과학기술부에서 담당하고 있는 산학협력 기능은 미래창조과학부와 교육부에서 나눠 갖게 될 것으로 보인다.

현재	현재/MAG
교육과학기술부에서	교육/NNG+과학/NNG+기술부/NNG+에서/JKB
담당하고	담당/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
산학협력	산학/NNG+협력/NNG
기능은	기능/NNG+은/JX
미래창조과학부와	미래/NNG+창조/NNG+과학부/NNG+와/JC
교육부에서	교육부/NNG+에서/JKB
나눠	나누/VV+어/EC
갖게	갖/VV+게/EC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.339.13.2
인수위는 당초 산학협력 업무를 통째로 미래부로 이관한다는 방침이었다.

인수위는	인수위/NNG+는/JX
당초	당초/NNG
산학협력	산학/NNG+협력/NNG
업무를	업무/NNG+를/JKO
통째로	통/NNG+째/XSN+로/JKB
미래부로	미래부/NNG+로/JKB
이관한다는	이관/NNG+하/XSV+ㄴ다는/ETM
방침이었다.	방침/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.339.13.3
민주통합당은 산학협력 기능은 현행대로 교육부에서 담당하는 것이 맞는다는 입장이었고, 전국대학교기획처장협의회도 같은 입장이었다.

민주통합당은	민주통합당/NNP+은/JX
산학협력	산학/NNG+협력/NNG
기능은	기능/NNG+은/JX
현행대로	현행/NNG+대로/JX
교육부에서	교육부/NNG+에서/JKB
담당하는	담당/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
맞는다는	맞/VV+는다는/ETM
입장이었고,	입장/NNG+이/VCP+었/EP+고/EC+,/SP
전국대학교기획처장협의회도	전국대학교기획처장협의회/NNP+도/JX
같은	같/VA+은/ETM
입장이었다.	입장/NNG+이/VCP+었/EP+다/EF+./SF


