# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.196
metadata : {}


# id : NWRW1800000037.196.1.1
한인 주부-유학생이 홍콩-LA서 원정 성매매 알선

한인	한인/NNG
주부-유학생이	주부/NNG+-/SO+유학/NNG+생/XSN+이/JKS
홍콩-LA서	홍콩/NNP+-/SO+LA/SL+서/JKB
원정	원정/NNG
성매매	성매매/NNG
알선	알선/NNG


# id : NWRW1800000037.196.2.1
국내 구인사이트서 여성들 모집 전문 사진사 동원해 반라 찍어 영업… 9억원대 수익 올린 포주 2명 구속

국내	국내/NNG
구인사이트서	구인/NNG+사이트/NNG+서/JKB
여성들	여성/NNG+들/XSN
모집	모집/NNG
전문	전문/NNG
사진사	사진사/NNG
동원해	동원/NNG+하/XSV+아/EC
반라	반라/NNG
찍어	찍/VV+어/EC
영업…	영업/NNG+…/SE
9억원대	9/SN+억/NR+원/NNB+대/XSN
수익	수익/NNG
올린	올리/VV+ㄴ/ETM
포주	포주/NNG
2명	2/SN+명/NNB
구속	구속/NNG


# id : NWRW1800000037.196.3.1
서울지방경찰청 국제범죄수사대는 한국인 여성들을 고용해 해외에서 성매매를 알선한 혐의로 홍콩에 사는 정모 씨(34·여)와 미국 로스앤젤레스에 사는 홍모 씨(25·여)를 구속했다고 8일 밝혔다.

서울지방경찰청	서울지방경찰청/NNP
국제범죄수사대는	국제/NNG+범죄/NNG+수사대/NNG+는/JX
한국인	한국인/NNG
여성들을	여성/NNG+들/XSN+을/JKO
고용해	고용/NNG+하/XSV+아/EC
해외에서	해외/NNG+에서/JKB
성매매를	성매매/NNG+를/JKO
알선한	알선/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
홍콩에	홍콩/NNP+에/JKB
사는	살/VV+는/ETM
정모	정/NNP+모/NP
씨(34·여)와	씨/NNB+(/SS+34/SN+·/SP+여/NNG+)/SS+와/JC
미국	미국/NNP
로스앤젤레스에	로스앤젤레스/NNP+에/JKB
홍모	홍/NNP+모/NP
