# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.199
metadata : {}


# id : NWRW1800000054.199.1.1
[잠깐만요!] 6·10 항쟁 기념식에 학생들 동원됐었나

[잠깐만요!]	[/SS+잠깐/NNG+만/JX+요/JX+!/SF+]/SS
6·10	6/SN+·/SP+10/SN
항쟁	항쟁/NNG
기념식에	기념식/NNG+에/JKB
학생들	학생/NNG+들/XSN
동원됐었나	동원/NNG+되/XSV+었었/EP+나/EC


# id : NWRW1800000054.199.2.1
서울시교육청, 봉사 인증 내걸고 중·고교생 모집… 1770명 참가 "대대적 공문 발송, 유례없던 일"

서울시교육청,	서울시교육청/NNP+,/SP
봉사	봉사/NNG
인증	인증/NNG
내걸고	내걸/VV+고/EC
중·고교생	중·고교/NNG+생/XSN
모집…	모집/NNG+…/SE
1770명	1770/SN+명/NNB
참가	참가/NNG
"대대적	"/SS+대대적/MMA
공문	공문/NNG
발송,	발송/NNG+,/SP
유례없던	유례없/VA+던/ETM
일"	일/NNG+"/SS


# id : NWRW1800000054.199.3.1
지난달 서울시청 앞 광장에서 열린 '제30주년 6·10 민주 항쟁 기념식'(주최 민주화운동기념사업회)은 10년 만에 현직 대통령이 참석하는 등 역대 최대 규모로 치러졌다.

지난달	지난달/NNG
서울시청	서울시청/NNP
앞	앞/NNG
광장에서	광장/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
'제30주년	'/SS+제/XPN+30/SN+주년/NNB
6·10	6/SN+·/SP+10/SN
민주	민주/NNG
항쟁	항쟁/NNG
기념식'(주최	기념식/NNG+'/SS+(/SS+주최/NNG
민주화운동기념사업회)은	민주화운동기념사업회/NNP+)/SS+은/JX
10년	10/SN+년/NNB
만에	만/NNB+에/JKB
현직	현직/NNG
대통령이	대통령/NNG+이/JKS
참석하는	참석/NNG+하/XSV+는/ETM
등	등/NNB
역대	역대/NNG
최대	최대/NNG
규모로	규모/NNG+로/JKB
치러졌다.	치르/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.199.3.2
참석 인원만 5000여 명(주최 측 추산)에 이르렀다.

참석	참석/NNG
인원만	인원/NNG+만/JX
5000여	5000/SN+여/XSN
명(주최	명/NNB+(/SS+주최/NNG
측	측/NNB
추산)에	추산/NNG+)/SS+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.199.3.3
당시 행사 참가자 중 상당수가 중·고생이었다.

당시	당시/NNG
행사	행사/NNG
참가자	참가자/NNG
중	중/NNB
상당수가	상당수/NNG+가/JKS
중·고생이었다.	중·고생/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.199.3.4
참가한 중·고생들은 행사 후 주최 측으로부터 '봉사 활동 확인서'를 받아갔다고 한다.

참가한	참가/NNG+하/XSV+ㄴ/ETM
중·고생들은	중·고생/NNG+들/XSN+은/JX
행사	행사/NNG
후	후/NNG
주최	주최/NNG
측으로부터	측/NNB+으로부터/JKB
'봉사	'/SS+봉사/NNG
활동	활동/NNG
확인서'를	확인서/NNG+'/SS+를/JKO
받아갔다고	받/VV+아/EC+가/VX+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.199.3.5
그 인원이 1770명이다.

그	그/MMD
인원이	인원/NNG+이/JKS
1770명이다.	1770/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.199.4.1
이렇게 많은 학생이 기념식을 찾은 배경에는 서울시교육청의 노력이 있었다.

이렇게	이렇/VA+게/EC
많은	많/VA+은/ETM
학생이	학생/NNG+이/JKS
기념식을	기념식/NNG+을/JKO
찾은	찾/VV+은/ETM
배경에는	배경/NNG+에/JKB+는/JX
서울시교육청의	서울시교육청/NNP+의/JKG
노력이	노력/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.199.4.2
서울시교육청은 이번 행사 12일 전인 5월 29일 700여 곳에 이르는 서울 시내 중·고등학교 전체에 '봉사 활동 참가자 모집' 공문을 보냈다.

서울시교육청은	서울시교육청/NNP+은/JX
이번	이번/NNG
행사	행사/NNG
12일	12/SN+일/NNB
전인	전/NNG+이/VCP+ㄴ/ETM
5월	5/SN+월/NNB
29일	29/SN+일/NNB
700여	700/SN+여/XSN
곳에	곳/NNG+에/JKB
이르는	이르/VV+는/ETM
서울	서울/NNP
시내	시내/NNG
중·고등학교	중·고등학교/NNG
전체에	전체/NNG+에/JKB
'봉사	'/SS+봉사/NNG
활동	활동/NNG
참가자	참가자/NNG
모집'	모집/NNG+'/SS
공문을	공문/NNG+을/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.199.4.3
공문에는 6·10 민주 항쟁 기념식과 서울메트로미술관 역사 전시회, 정독도서관에서 열린 교육청 행사 '6·10 세대와 촛불 세대의 대화'까지 참석할 경우 봉사 시간 4시간을 부여한다고 명시돼 있다.

공문에는	공문/NNG+에/JKB+는/JX
6·10	6/SN+·/SP+10/SN
민주	민주/NNG
항쟁	항쟁/NNG
기념식과	기념식/NNG+과/JC
서울메트로미술관	서울메트로미술관/NNP
역사	역사/NNG
전시회,	전시회/NNG+,/SP
정독도서관에서	정독도서관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
교육청	교육청/NNG
행사	행사/NNG
'6·10	'/SS+6/SN+·/SP+10/SN
세대와	세대/NNG+와/JKB
촛불	촛불/NNG
세대의	세대/NNG+의/JKG
대화'까지	대화/NNG+'/SS+까지/JX
참석할	참석/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
봉사	봉사/NNG
시간	시간/NNG
4시간을	4/SN+시간/NNB+을/JKO
부여한다고	부여/NNG+하/XSV+ㄴ다고/EC
명시돼	명시/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.199.5.1
교육청 관계자는 "단순 참석이 아니라 의자 정리나 쓰레기 줍기 등을 한 학생들에게 봉사 활동 시간을 준 것"이라며 "6·10 항쟁이 학생 시위라 아이들에게도 의미가 있어 주최 측과 연계해 봉사 활동 학생을 모집하게 됐다"고 설명했다.

교육청	교육청/NNG
관계자는	관계자/NNG+는/JX
"단순	"/SS+단순/NNG
참석이	참석/NNG+이/JKC
아니라	아니/VCN+라/EC
의자	의자/NNG
정리나	정리/NNG+나/JC
쓰레기	쓰레기/NNG
줍기	줍/VV+기/ETN
등을	등/NNB+을/JKO
한	하/VV+ㄴ/ETM
학생들에게	학생/NNG+들/XSN+에게/JKB
봉사	봉사/NNG
활동	활동/NNG
시간을	시간/NNG+을/JKO
준	주/VV+ㄴ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"6·10	"/SS+6/SN+·/SP+10/SN
항쟁이	항쟁/NNG+이/JKS
학생	학생/NNG
시위라	시위/NNG+이/VCP+라/EC
아이들에게도	아이/NNG+들/XSN+에게/JKB+도/JX
의미가	의미/NNG+가/JKS
있어	있/VA+어/EC
주최	주최/NNG
측과	측/NNB+과/JKB
연계해	연계/NNG+하/XSV+아/EC
학생을	학생/NNG+을/JKO
모집하게	모집/NNG+하/XSV+게/EC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.199.6.1
시 교육청이 이런 기념식 참가를 독려하기 위해 일선 학교에 대대적으로 봉사 활동 모집 공문을 보내는 건 이례적이다.

시	시/NNG
교육청이	교육청/NNG+이/JKS
이런	이런/MMD
기념식	기념식/NNG
참가를	참가/NNG+를/JKO
독려하기	독려/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
일선	일선/NNG
학교에	학교/NNG+에/JKB
대대적으로	대대적/NNG+으로/JKB
봉사	봉사/NNG
활동	활동/NNG
모집	모집/NNG
공문을	공문/NNG+을/JKO
보내는	보내/VV+는/ETM
건	거/NNB+ㄴ/JX
이례적이다.	이례/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000054.199.6.2
