# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.382
metadata : {}


# id : NWRW1800000044.382.1.1
김정은, 노동당 창건기념일에도 안나타나

김정은,	김정은/NNP+,/SP
노동당	노동당/NNP
창건기념일에도	창건/NNG+기념일/NNG+에/JKB+도/JX
안나타나	안/MAG+나타나/VV+아/EF


# id : NWRW1800000044.382.2.1
[한겨레] 김정은 북한 노동당 제1비서가 노동당 창건기념일인 10일에도 모습을 드러내지 않은 것으로 보인다.

[한겨레]	[/SS+한겨레/NNP+]/SS
김정은	김정은/NNP
북한	북한/NNP
노동당	노동당/NNP
제1비서가	제/XPN+1/SN+비서/NNG+가/JKS
창건기념일인	창건/NNG+기념일/NNG+이/VCP+ㄴ/ETM
10일에도	10/SN+일/NNB+에/JKB+도/JX
모습을	모습/NNG+을/JKO
드러내지	드러내/VV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.382.2.2
김 제1비서는 지난달 3일부터 공개석상에 나오지 않고 있다.

김	김/NNP
제1비서는	제/XPN+1/SN+비서/NNG+는/JX
지난달	지난달/NNG
3일부터	3/SN+일/NNB+부터/JX
공개석상에	공개/NNG+석상/NNG+에/JKB
나오지	나오/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.382.3.1
10일 통일부에 따르면, 올해 당 창건기념일에는 북한 매체가 김 제1비서의 금수산태양궁전 참배 관련 소식을 보도하지 않았다.

10일	10/SN+일/NNB
통일부에	통일부/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
올해	올해/NNG
당	당/NNG
창건기념일에는	창건/NNG+기념일/NNG+에/JKB+는/JX
북한	북한/NNP
매체가	매체/NNG+가/JKS
김	김/NNP
제1비서의	제/XPN+1/SN+비서/NNG+의/JKG
금수산태양궁전	금수산태양궁전/NNP
참배	참배/NNG
관련	관련/NNG
소식을	소식/NNG+을/JKO
보도하지	보도/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.382.3.2
통일부 관계자는 “김정일 국방위원장도 당 창건일에 금수산태양궁전을 참배하지 않은 적이 잦았던 만큼, 이번에 김 제1비서가 등장하지 않은 사실에 큰 의미를 부여하기는 어려워 보인다”고 말했다.

통일부	통일부/NNG
관계자는	관계자/NNG+는/JX
“김정일	“/SS+김정일/NNP
국방위원장도	국방/NNG+위원장/NNG+도/JX
당	당/NNG
창건일에	창건일/NNG+에/JKB
금수산태양궁전을	금수산태양궁전/NNP+을/JKO
참배하지	참배/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
적이	적/NNB+이/JKS
잦았던	잦/VA+았/EP+던/ETM
만큼,	만큼/NNB+,/SP
이번에	이번/NNG+에/JKB
김	김/NNP
제1비서가	제/XPN+1/SN+비서/NNG+가/JKS
등장하지	등장/NNG+하/XSV+지/EC
사실에	사실/NNG+에/JKB
큰	크/VA+ㄴ/ETM
의미를	의미/NNG+를/JKO
부여하기는	부여/NNG+하/XSV+기/ETN+는/JX
어려워	어렵/VA+어/EC
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.382.3.3
그러나 김 제1비서가 2012년 집권한 뒤 빠지지 않았던 최고인민회의(9월25일)에 불참한 데 이어, 2년간 이어온 당 창건기념일 참배도 하지 않은 것으로 보여, 그의 건강 이상설에 무게가 실린다.

그러나	그러나/MAJ
김	김/NNP
제1비서가	제/XPN+1/SN+비서/NNG+가/JKS
2012년	2012/SN+년/NNB
집권한	집권/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
빠지지	빠지/VV+지/EC
않았던	않/VX+았/EP+던/ETM
최고인민회의(9월25일)에	최고인민회의/NNG+(/SS+9/SN+월/NNB+25/SN+일/NNB+)/SS+에/JKB
불참한	불참/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어,	잇/VV+어/EC+,/SP
2년간	2/SN+년/NNB+간/XSN
이어온	잇/VV+어/EC+오/VX+ㄴ/ETM
당	당/NNG
창건기념일	창건/NNG+기념일/NNG
참배도	참배/NNG+도/JX
하지	하/VV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
보여,	보이/VV+어/EC+,/SP
그의	그/NP+의/JKG
건강	건강/NNG
이상설에	이상설/NNG+에/JKB
무게가	무게/NNG+가/JKS
실린다.	실리/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.382.4.1
일각에서는 김 제1비서가 발목 질환 등을 동반한 통풍을 앓고 있다고 얘기하지만 현재로서는 확인된 사실은 없다.

일각에서는	일각/NNG+에서/JKB+는/JX
김	김/NNP
제1비서가	제/XPN+1/SN+비서/NNG+가/JKS
발목	발목/NNG
질환	질환/NNG
등을	등/NNB+을/JKO
동반한	동반/NNG+하/XSV+ㄴ/ETM
