# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.223
metadata : {}


# id : NWRW1800000038.223.1.1
이상한 건보료 시스템… 이건희 회장, 직장인 최고액의 절반만 내

이상한	이상/NNG+하/XSA+ㄴ/ETM
건보료	건보료/NNG
시스템…	시스템/NNG+…/SE
이건희	이건희/NNP
회장,	회장/NNG+,/SP
직장인	직장인/NNG
최고액의	최고액/NNG+의/JKG
절반만	절반/NNG+만/JX
내	내/VV+어/EF


# id : NWRW1800000038.223.2.1
급여 안 받아 지역가입자 신분… 상한선인 月 219만원만 납부

급여	급여/NNG
안	안/MAG
받아	받/VV+아/EC
지역가입자	지역/NNG+가입자/NNG
신분…	신분/NNG+…/SE
상한선인	상한선/NNG+이/VCP+ㄴ/ETM
月	月/SH
219만원만	219/SN+만/NR+원/NNB+만/JX
납부	납부/NNG


# id : NWRW1800000038.223.3.1
우리나라 최고 부자인 이건희 삼성그룹 회장은 건강보험료(이하 건보료)를 얼마나 낼까.

우리나라	우리나라/NNG
최고	최고/NNG
부자인	부자/NNG+이/VCP+ㄴ/ETM
이건희	이건희/NNP
삼성그룹	삼성그룹/NNP
회장은	회장/NNG+은/JX
건강보험료(이하	건강/NNG+보험료/NNG+(/SS+이하/NNG
건보료)를	건보료/NNG+)/SS+를/JKO
얼마나	얼마나/MAG
낼까.	내/VV+ㄹ까/EF+./SF


# id : NWRW1800000038.223.4.1
삼성그룹에 따르면 이건희 회장은 지난 2010년 복귀한 이후 그룹 내 어떤 계열사에도 등기임원으로 올라 있지 않고 급여도 받지 않고 있다.

삼성그룹에	삼성그룹/NNP+에/JKB
따르면	따르/VV+면/EC
이건희	이건희/NNP
회장은	회장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
2010년	2010/SN+년/NNB
복귀한	복귀/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
그룹	그룹/NNG
내	내/NNB
어떤	어떤/MMD
계열사에도	계열사/NNG+에/JKB+도/JX
등기임원으로	등기/NNG+임원/NNG+으로/JKB
올라	오르/VV+아/EC
있지	있/VX+지/EC
않고	않/VX+고/EC
급여도	급여/NNG+도/JX
받지	받/VV+지/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.223.4.2
이 때문에 다른 재벌 총수들과 달리 건강보험 지역 가입자로 되어 있어 지역 가입자가 내는 최고 보험료인 월 219만원을 낸다.

이	이/MMD
때문에	때문/NNB+에/JKB
다른	다른/MMD
재벌	재벌/NNG
총수들과	총수/NNG+들/XSN+과/JKB
달리	달리/MAG
건강보험	건강/NNG+보험/NNG
지역	지역/NNG
가입자로	가입자/NNG+로/JKB
되어	되/VV+어/EC
있어	있/VX+어/EC
가입자가	가입자/NNG+가/JKS
내는	내/VV+는/ETM
최고	최고/NNG
보험료인	보험료/NNG+이/VCP+ㄴ/ETM
월	월/NNG
219만원을	219/SN+만/NR+원/NNB+을/JKO
낸다.	내/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.223.4.3
지역 가입자와 직장 가입자의 건보료 차이 때문에 이 회장이 내는 건보료는 고소득 직장인이 내는 건보료의 절반 수준에 그친다.

지역	지역/NNG
가입자와	가입자/NNG+와/JKB
직장	직장/NNG
가입자의	가입자/NNG+의/JKG
건보료	건보료/NNG
차이	차이/NNG
때문에	때문/NNB+에/JKB
이	이/NNP
회장이	회장/NNG+이/JKS
내는	내/VV+는/ETM
건보료는	건보료/NNG+는/JX
고소득	고/XPN+소득/NNG
직장인이	직장인/NNG+이/JKS
건보료의	건보료/NNG+의/JKG
절반	절반/NNG
수준에	수준/NNG+에/JKB
그친다.	그치/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.223.5.1
현재 지역 가입자의 건보료 상한선은 월 218만9830원이다.

현재	현재/MAG
지역	지역/NNG
가입자의	가입자/NNG+의/JKG
건보료	건보료/NNG
상한선은	상한선/NNG+은/JX
월	월/NNG
218만9830원이다.	218/SN+만/NR+9830/SN+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.223.5.2
월급이 7810만원 이상인 고액 직장 가입자의 건보료 상한선도 이와 비슷한 월 230만원이다.

월급이	월급/NNG+이/JKS
7810만원	7810/SN+만/NR+원/NNB
이상인	이상/NNG+이/VCP+ㄴ/ETM
고액	고액/NNG
직장	직장/NNG
가입자의	가입자/NNG+의/JKG
건보료	건보료/NNG
상한선도	상한선/NNG+도/JX
이와	이/NP+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
월	월/NNG
230만원이다.	230/SN+만/NR+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.223.5.3
