# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.146
metadata : {}


# id : NWRW1800000030.146.1.1
불법조업 中어선 나포현장 "멈춰라"… "탕" 고무탄 발사… 1분 만에 승선

불법조업	불법/NNG+조업/NNG
中어선	中/SH+어선/NNG
나포현장	나포/NNG+현장/NNG
"멈춰라"…	"/SS+멈추/VV+어라/EF+"/SS+…/SE
"탕"	"/SS+탕/MAG+"/SS
고무탄	고무탄/NNG
발사…	발사/NNG+…/SE
1분	1/SN+분/NNB
만에	만/NNB+에/JKB
승선	승선/NNG


# id : NWRW1800000030.146.2.1
•100m 앞도 안보이는 악조건 고속단정 1호가 왼쪽으로, 2호는 오른쪽으로 돌진

•100m	•/SW+100/SN+m/SW
앞도	앞/NNG+도/JX
안보이는	안/MAG+보이/VV+는/ETM
악조건	악조건/NNG
고속단정	고속/NNG+단정/NNG
1호가	1/SN+호/NNB+가/JKS
왼쪽으로,	왼쪽/NNG+으로/JKB+,/SP
2호는	2/SN+호/NNB+는/JX
오른쪽으로	오른쪽/NNG+으로/JKB
돌진	돌진/NNG


# id : NWRW1800000030.146.3.1
"팅촨(停船·정선, 배를 멈춰라)! 팅촨!"

"팅촨(停船·정선,	"/SS+팅촨/NNP+(/SS+停船/SH+·/SP+정선/NNP+,/SP
배를	배/NNG+를/JKO
멈춰라)!	멈추/VV+어라/EF+)/SS+!/SF
팅촨!"	팅촨/NNP+!/SF+"/SS


# id : NWRW1800000030.146.4.1
7일 밤 8시 50분쯤 서해 소청도에서 남서쪽으로 40노티컬마일(약 74㎞) 떨어진 지점.

7일	7/SN+일/NNB
밤	밤/NNG
8시	8/SN+시/NNB
50분쯤	50/SN+분/NNB+쯤/XSN
서해	서해/NNP
소청도에서	소청도/NNP+에서/JKB
남서쪽으로	남서쪽/NNG+으로/JKB
40노티컬마일(약	40/SN+노티컬마일/NNB+(/SS+약/MMA
74㎞)	74/SN+㎞/SW+)/SS
떨어진	떨어지/VV+ㄴ/ETM
지점.	지점/NNG+./SF


# id : NWRW1800000030.146.4.2
안개가 자욱한 망망대해의 정적을 깨고 인천해경 3005함(3000t급)에서 내려진 후 달려온 '고속단정 1호'의 확성기 소리가 울렸다.

안개가	안개/NNG+가/JKS
자욱한	자욱하/VA+ㄴ/ETM
망망대해의	망망대해/NNG+의/JKG
정적을	정적/NNG+을/JKO
깨고	깨/VV+고/EC
인천해경	인천해경/NNP
3005함(3000t급)에서	3005/SN+함/NNG+(/SS+3000/SN+t/SW+급/NNG+)/SS+에서/JKB
내려진	내려지/VV+ㄴ/ETM
후	후/NNG
달려온	달려오/VV+ㄴ/ETM
'고속단정	'/SS+고속/NNG+단정/NNG
1호'의	1/SN+호/NNB+'/SS+의/JKG
확성기	확성기/NNG
소리가	소리/NNG+가/JKS
울렸다.	울리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.146.5.1
