# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.400
metadata : {}


# id : NWRW1800000049.400.1.1
서울시-강남구, 이번엔 ‘수서 행복주택’ 충돌

서울시-강남구,	서울시/NNP+-/SO+강남구/NNP+,/SP
이번엔	이번/NNG+에/JKB+ㄴ/JX
‘수서	‘/SS+수서/NNP
행복주택’	행복/NNG+주택/NNG+’/SS
충돌	충돌/NNG


# id : NWRW1800000049.400.2.1
區, 개발제한지역 지정 고시 vs 市 “직권해제… 8월 착공 강행”

區,	區/SH+,/SP
개발제한지역	개발/NNG+제한/NNG+지역/NNG
지정	지정/NNG
고시	고시/NNG
vs	vs/SL
市	市/SH
“직권해제…	“/SS+직권/NNG+해제/NNG+…/SE
8월	8/SN+월/NNB
착공	착공/NNG
강행”	강행/NNG+”/SS


# id : NWRW1800000049.400.3.1
서울시가 지하철 3호선 수서역 주변 공영주차장 터에 행복주택을 짓기로 했다.

서울시가	서울시/NNP+가/JKS
지하철	지하철/NNG
3호선	3/SN+호선/NNB
수서역	수서역/NNP
주변	주변/NNG
공영주차장	공영/NNG+주차장/NNG
터에	터/NNG+에/JKB
행복주택을	행복/NNG+주택/NNG+을/JKO
짓기로	짓/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.400.3.2
그러나 당초 광장 조성을 주장하던 강남구는 서울시의 개발계획에 반대하며 법적 대응 방침을 밝혔다.

그러나	그러나/MAJ
당초	당초/NNG
광장	광장/NNG
조성을	조성/NNG+을/JKO
주장하던	주장/NNG+하/XSV+던/ETM
강남구는	강남구/NNP+는/JX
서울시의	서울시/NNP+의/JKG
개발계획에	개발/NNG+계획/NNG+에/JKB
반대하며	반대/NNG+하/XSV+며/EC
법적	법/NNG+적/XSN
대응	대응/NNG
방침을	방침/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.400.4.1
서울시는 7일 강남구 수서동 727 일대에 공영주차장을 갖춘 행복주택을 세우겠다고 밝혔다.

서울시는	서울시/NNP+는/JX
7일	7/SN+일/NNB
강남구	강남구/NNP
수서동	수서동/NNP
727	727/SN
일대에	일대/NNG+에/JKB
공영주차장을	공영/NNG+주차장/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
행복주택을	행복/NNG+주택/NNG+을/JKO
세우겠다고	세우/VV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


