# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.84
metadata : {}


# id : NWRW1800000025.84.1.1
[월드 베스트]자동차/금융위기의 승자 현대·기아차,미국 판매 쑥쑥

[월드	[/SS+월드/NNG
베스트]자동차/금융위기의	베스트/NNG+]/SS+자동차/NNG+//SP+금융/NNG+위기/NNG+의/JKG
승자	승자/NNG
현대·기아차,미국	현대/NNP+·/SP+기아차/NNP+,/SP+미국/NNP
판매	판매/NNG
쑥쑥	쑥쑥/MAG


# id : NWRW1800000025.84.2.1
정몽구 현대·기아자동차그룹 회장은 올해 시무식에서 ‘글로벌 선두업체로의 도약’을 경영 목표로 제시했다.

정몽구	정몽구/NNP
현대·기아자동차그룹	현대/NNP+·/SP+기아자동차그룹/NNP
회장은	회장/NNG+은/JX
올해	올해/NNG
시무식에서	시무식/NNG+에서/JKB
‘글로벌	‘/SS+글로벌/NNG
선두업체로의	선두/NNG+업체/NNG+로/JKB+의/JKG
도약’을	도약/NNG+’/SS+을/JKO
경영	경영/NNG
목표로	목표/NNG+로/JKB
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.84.2.2
정 회장은 지난해 글로벌 경제위기의 한파를 뚫고 현대·기아차가 예상 밖의 실적을 거둔 것에 만족하지 않고 ‘글로벌 선두 기업’이라는 새로운 비전을 제시한 것이다.

정	정/NNP
회장은	회장/NNG+은/JX
지난해	지난해/NNG
글로벌	글로벌/NNG
경제위기의	경제/NNG+위기/NNG+의/JKG
한파를	한파/NNG+를/JKO
뚫고	뚫/VV+고/EC
현대·기아차가	현대/NNP+·/SP+기아차/NNP+가/JKS
예상	예상/NNG
밖의	밖/NNG+의/JKG
실적을	실적/NNG+을/JKO
거둔	거두/VV+ㄴ/ETM
것에	것/NNB+에/JKB
만족하지	만족/NNG+하/XSA+지/EC
않고	않/VX+고/EC
‘글로벌	‘/SS+글로벌/NNG
선두	선두/NNG
기업’이라는	기업/NNG+’/SS+이/VCP+라는/ETM
새로운	새롭/VA+ㄴ/ETM
비전을	비전/NNG+을/JKO
제시한	제시/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.84.3.1
○ 지난해 실적은 글로벌 선두

○	○/SW
지난해	지난해/NNG
실적은	실적/NNG+은/JX
글로벌	글로벌/NNG
선두	선두/NNG


# id : NWRW1800000025.84.4.1
지난해 실적만 놓고 본다면 현대·기아차는 글로벌 선두 업체 반열에 올랐다고 할 수 있다.

지난해	지난해/NNG
실적만	실적/NNG+만/JX
놓고	놓/VV+고/EC
본다면	보/VV+ㄴ다면/EC
현대·기아차는	현대/NNP+·/SP+기아차/NNP+는/JX
글로벌	글로벌/NNG
선두	선두/NNG
업체	업체/NNG
반열에	반열/NNG+에/JKB
올랐다고	오르/VV+았/EP+다고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.84.4.2
지난해 각각 310만 대, 153만 대를 판매한 현대차와 기아차의 영업이익은 총 3조3790억 원.

지난해	지난해/NNG
각각	각각/MAG
310만	310/SN+만/NR
대,	대/NNB+,/SP
153만	153/SN+만/NR
대를	대/NNB+를/JKO
판매한	판매/NNG+하/XSV+ㄴ/ETM
현대차와	현대차/NNP+와/JC
기아차의	기아차/NNP+의/JKG
영업이익은	영업/NNG+이익/NNG+은/JX
총	총/MMA
3조3790억	3/SN+조/NR+3790/SN+억/NR
원.	원/NNB+./SF


# id : NWRW1800000025.84.4.3
영업이익 기준으로 세계 1위다.

영업이익	영업/NNG+이익/NNG
기준으로	기준/NNG+으로/JKB
세계	세계/NNG
1위다.	1/SN+위/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.84.4.4
2위인 폴크스바겐의 영업이익은 2008년보다 70%가량 감소한 18억6000만 유로(약 2조8830억 원)에 그쳤다.

