# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.304
metadata : {}


# id : NWRW1800000030.304.1.1
[상하이 스캔들] 총영사관에 무슨 일이… 1·2인자 전쟁에 불륜폭로 벽보·투서까지…

[상하이	[/SS+상하이/NNP
스캔들]	스캔들/NNG+]/SS
총영사관에	총영사관/NNG+에/JKB
무슨	무슨/MMD
일이…	일/NNG+이/JKS+…/SE
1·2인자	1/SN+·/SP+2인자/NNG
전쟁에	전쟁/NNG+에/JKB
불륜폭로	불륜/NNG+폭로/NNG
벽보·투서까지…	벽보/NNG+·/SP+투서/NNG+까지/JX+…/SE


# id : NWRW1800000030.304.2.1
•"H에 덩氏 뺏긴K, H부인과 바람 피웠다" 한인 거주지에 벽보 붙어 …

•"H에	•/SW+"/SS+H/SL+에/JKB
덩氏	덩/NNP+氏/SH
뺏긴K,	뺏기/VV+ㄴ/ETM+K/SL+,/SP
H부인과	H/SL+부인/NNG+과/JKB
바람	바람/NNG
피웠다"	피우/VV+었/EP+다/EF+"/SS
한인	한인/NNG
거주지에	거주지/NNG+에/JKB
벽보	벽보/NNG
붙어	붙/VV+어/EC
…	…/SE


# id : NWRW1800000030.304.3.1
총영사는 부총영사와 반목(反目)하고, 영사들은 상하이의 실력자로 알려진 중국 여성과의 불륜을 서로 의심하며 갈등을 일으켰다.

총영사는	총영사/NNG+는/JX
부총영사와	부총영사/NNG+와/JC
반목(反目)하고,	반목/NNG+(/SS+反目/SH+)/SS+하/XSV+고/EC+,/SP
영사들은	영사/NNG+들/XSN+은/JX
상하이의	상하이/NNP+의/JKG
실력자로	실력자/NNG+로/JKB
알려진	알려지/VV+ㄴ/ETM
중국	중국/NNP
여성과의	여성/NNG+과/JKB+의/JKG
불륜을	불륜/NNG+을/JKO
서로	서로/MAG
의심하며	의심/NNG+하/XSV+며/EC
갈등을	갈등/NNG+을/JKO
일으켰다.	일으키/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.304.3.2
2009년부터 최근까지 중국 상하이 주재 한국총영사관에서 벌어진 일이다.

2009년부터	2009/SN+년/NNB+부터/JX
최근까지	최근/NNG+까지/JX
중국	중국/NNP
상하이	상하이/NNP
주재	주재/NNG
한국총영사관에서	한국총영사관/NNP+에서/JKB
벌어진	벌어지/VV+ㄴ/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.304.4.1
2008년 6월 13일 '이명박 후보 대선 캠프'에서 활동했던 김정기(51)씨가 상하이 주재 총영사로 부임했다.

2008년	2008/SN+년/NNB
6월	6/SN+월/NNB
13일	13/SN+일/NNB
'이명박	'/SS+이명박/NNP
후보	후보/NNG
대선	대선/NNG
캠프'에서	캠프/NNG+'/SS+에서/JKB
활동했던	활동/NNG+하/XSV+았/EP+던/ETM
김정기(51)씨가	김정기/NNP+(/SS+51/SN+)/SS+씨/NNB+가/JKS
상하이	상하이/NNP
주재	주재/NNG
총영사로	총영사/NNG+로/JKB
부임했다.	부임/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.304.4.2
1980~90년대 '거로(巨路) 영어' 강의로 유명했던 김씨는 2004년 총선에서 낙선했다가 이 대통령을 도운 공을 인정받아 재외(在外) 공관장이 됐다.

1980~90년대	1980/SN+~/SO+90/SN+년대/NNB
'거로(巨路)	'/SS+거로/NNG+(/SS+巨路/SH+)/SS
영어'	영어/NNP+'/SS
강의로	강의/NNG+로/JKB
유명했던	유명/NNG+하/XSA+았/EP+던/ETM
김씨는	김/NNP+씨/NNB+는/JX
2004년	2004/SN+년/NNB
총선에서	총선/NNG+에서/JKB
낙선했다가	낙선/NNG+하/XSV+았/EP+다가/EC
이	이/NNP
대통령을	대통령/NNG+을/JKO
도운	돕/VV+ㄴ/ETM
공을	공/NNG+을/JKO
인정받아	인정/NNG+받/XSV+아/EC
재외(在外)	재외/NNG+(/SS+在外/SH+)/SS
공관장이	공관장/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.304.4.3
그는 영사만 22명이 근무하는 상하이에 부임한 지 얼마 안 돼 '총영사관을 많이 도와주고 있다'는 33세의 중국 여성 덩(鄧)모씨를 소개받았다.

그는	그/NP+는/JX
영사만	영사/NNG+만/JX
22명이	22/SN+명/NNB+이/JKS
근무하는	근무/NNG+하/XSV+는/ETM
상하이에	상하이/NNP+에/JKB
부임한	부임/NNG+하/XSV+ㄴ/ETM
지	지/NNB
얼마	얼마/NNG
안	안/MAG
돼	되/VV+어/EC
'총영사관을	'/SS+총영사관/NNG+을/JKO
많이	많이/MAG
도와주고	도와주/VV+고/EC
있다'는	있/VX+다/EF+'/SS+는/ETM
33세의	33/SN+세/NNB+의/JKG
중국	중국/NNP
여성	여성/NNG
덩(鄧)모씨를	덩/NNP+(/SS+鄧/SH+)/SS+모/NP+씨/NNB+를/JKO
소개받았다.	소개/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.304.4.4
김 전 총영사는 부임 초기부터 상하이의 고위 인사들을 만날 때 덩씨의 도움을 톡톡히 받았다고 했다.

김	김/NNP
전	전/MMD
총영사는	총영사/NNG+는/JX
부임	부임/NNG
초기부터	초기/NNG+부터/JX
상하이의	상하이/NNP+의/JKG
고위	고위/NNG
인사들을	인사/NNG+들/XSN+을/JKO
만날	만나/VV+ㄹ/ETM
때	때/NNG
덩씨의	덩/NNP+씨/NNB+의/JKG
도움을	도움/NNG+을/JKO
톡톡히	톡톡히/MAG
받았다고	받/VV+았/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.304.4.5
그는 한 모임에서 덩씨의 어깨에 손을 올리고 사진을 찍기도 했다.

그는	그/NP+는/JX
한	한/MMN
모임에서	모임/NNG+에서/JKB
덩씨의	덩/NNP+씨/NNB+의/JKG
어깨에	어깨/NNG+에/JKB
손을	손/NNG+을/JKO
올리고	올리/VV+고/EC
사진을	사진/NNG+을/JKO
찍기도	찍/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.304.5.1
김 전 총영사에 이어 2009년 8월 국가정보원의 J씨가 부총영사로 부임했다.

김	김/NNP
전	전/MMD
총영사에	총영사/NNG+에/JKB
이어	잇/VV+어/EC
2009년	2009/SN+년/NNB
8월	8/SN+월/NNB
국가정보원의	국가/NNG+정보원/NNG+의/JKG
J씨가	J/SL+씨/NNB+가/JKS
