# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000034.51
metadata : {}


# id : NWRW1800000034.51.1.1
中 "일본에 침략당한 필리핀이… 역사 잊었나"

中	中/SH
"일본에	"/SS+일본/NNP+에/JKB
침략당한	침략/NNG+당하/XSV+ㄴ/ETM
필리핀이…	필리핀/NNP+이/JKS+…/SE
역사	역사/NNG
잊었나"	잊/VV+었/EP+나/EF+"/SS


# id : NWRW1800000034.51.2.1
日 재무장 지지에 강한 비난 "남중국해에 美·日 끌어들여 중국 막으려는 건 환상에 불과"

日	日/SH
재무장	재/XPN+무장/NNG
지지에	지지/NNG+에/JKB
강한	강하/VA+ㄴ/ETM
비난	비난/NNG
"남중국해에	"/SS+남중국해/NNP+에/JKB
美·日	美/SH+·/SP+日/SH
끌어들여	끌어들이/VV+어/EC
중국	중국/NNP
막으려는	막/VV+으려는/ETM
건	거/NNB+ㄴ/JX
환상에	환상/NNG+에/JKB
불과"	불과/MAG+"/SS


# id : NWRW1800000034.51.3.1
중국 관영 환구시보(環求時報)는 11일 필리핀이 남중국해에서 중국의 군사력 증강을 견제하기 위해 일본의 재무장을 환영한다는 입장을 밝힌 것에 대해 "(일본의 2차 대전 침략이라는) 역사를 망각하고 (일본을 끌어들여) 중국을 압박하려는 것"이라고 했다.

중국	중국/NNP
관영	관영/NNG
환구시보(環求時報)는	환구시보/NNP+(/SS+環求時報/SH+)/SS+는/JX
11일	11/SN+일/NNB
필리핀이	필리핀/NNP+이/JKS
남중국해에서	남중국해/NNP+에서/JKB
중국의	중국/NNP+의/JKG
군사력	군사력/NNG
증강을	증강/NNG+을/JKO
견제하기	견제/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
일본의	일본/NNP+의/JKG
재무장을	재/XPN+무장/NNG+을/JKO
환영한다는	환영/NNG+하/XSV+ㄴ다는/ETM
입장을	입장/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
"(일본의	"/SS+(/SS+일본/NNP+의/JKG
2차	2/SN+차/NNB
대전	대전/NNG
침략이라는)	침략/NNG+이/VCP+라는/ETM+)/SS
역사를	역사/NNG+를/JKO
망각하고	망각/NNG+하/XSV+고/EC
(일본을	(/SS+일본/NNP+을/JKO
끌어들여)	끌어들이/VV+어/EC+)/SS
중국을	중국/NNP+을/JKO
압박하려는	압박/NNG+하/XSV+려는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000034.51.4.1
