# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.197
metadata : {}


# id : NWRW1800000041.197.1.1
日의원 147명 야스쿠니 참배

日의원	日/SH+의원/NNG
147명	147/SN+명/NNB
야스쿠니	야스쿠니/NNP
참배	참배/NNG


# id : NWRW1800000041.197.2.1
오바마 국빈방문 하루 앞두고 총무상도 열흘만에 또 ‘도발’

오바마	오바마/NNP
국빈방문	국빈/NNG+방문/NNG
하루	하루/NNG
앞두고	앞두/VV+고/EC
총무상도	총무상/NNG+도/JX
열흘만에	열흘/NNG+만/NNB+에/JKB
또	또/MAG
‘도발’	‘/SS+도발/NNG+’/SS


# id : NWRW1800000041.197.3.1
버락 오바마 미국 대통령의 일본 국빈 방문(23∼25일)을 하루 앞두고 아베 신조(安倍晋三) 내각의 각료 1명과 국회의원들이 대거 야스쿠니(靖國)신사를 참배했다.

버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령의	대통령/NNG+의/JKG
일본	일본/NNP
국빈	국빈/NNG
방문(23∼25일)을	방문/NNG+(/SS+23/SN+∼/SO+25/SN+일/NNB+)/SS+을/JKO
하루	하루/NNG
앞두고	앞두/VV+고/EC
아베	아베/NNP
신조(安倍晋三)	신조/NNP+(/SS+安倍晋三/SH+)/SS
내각의	내각/NNG+의/JKG
각료	각료/NNG
1명과	1/SN+명/NNB+과/JC
국회의원들이	국회/NNG+의원/NNG+들/XSN+이/JKS
대거	대거/MAG
야스쿠니(靖國)신사를	야스쿠니/NNP+(/SS+靖國/SH+)/SS+신사/NNG+를/JKO
참배했다.	참배/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.197.3.2
지난해 말 아베 총리의 야스쿠니신사 참배에 미국 정부가 이례적으로 “실망했다”는 논평을 내며 경고했지만 아랑곳하지 않는 분위기다.

지난해	지난해/NNG
말	말/NNB
아베	아베/NNP
총리의	총리/NNG+의/JKG
야스쿠니신사	야스쿠니신사/NNP
참배에	참배/NNG+에/JKB
미국	미국/NNP
정부가	정부/NNG+가/JKS
이례적으로	이례/NNG+적/XSN+으로/JKB
“실망했다”는	“/SS+실망/NNG+하/XSV+았/EP+다/EF+”/SS+는/ETM
논평을	논평/NNG+을/JKO
내며	내/VV+며/EC
경고했지만	경고/NNG+하/XSV+았/EP+지만/EC
아랑곳하지	아랑곳/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.197.3.3
야스쿠니신사에는 태평양전쟁 A급 전범 14명이 합사돼 있다.

야스쿠니신사에는	야스쿠니신사/NNP+에/JKB+는/JX
태평양전쟁	태평양/NNP+전쟁/NNG
A급	A/SL+급/NNG
전범	전범/NNG
14명이	14/SN+명/NNB+이/JKS
합사돼	합사/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.197.4.1
일본의 초당파 의원연맹 ‘다 함께 야스쿠니신사를 참배하는 국회의원 모임’ 의원 147명은 22일 야스쿠니신사 봄 제사(21∼23일)에 맞춰 집단 참배했다.

일본의	일본/NNP+의/JKG
초당파	초/XPN+당파/NNG
의원연맹	의원/NNG+연맹/NNG
‘다	‘/SS+다/MAG
함께	함께/MAG
야스쿠니신사를	야스쿠니신사/NNP+를/JKO
참배하는	참배/NNG+하/XSV+는/ETM
국회의원	국회/NNG+의원/NNG
모임’	모임/NNG+’/SS
의원	의원/NNG
147명은	147/SN+명/NNB+은/JX
22일	22/SN+일/NNB
야스쿠니신사	야스쿠니신사/NNP
봄	봄/NNG
