# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.216
metadata : {}


# id : NWRW1800000024.216.1.1
외고생 25%만 어문계 진학

외고생	외고/NNG+생/XSN
25%만	25/SN+%/SW+만/JX
어문계	어문/NNG+계/XSN
진학	진학/NNG


# id : NWRW1800000024.216.2.1
외국어고 졸업생 가운데 어문계열로 진학한 학생은 네 명 가운데 한 명꼴뿐인 것으로 나타났다.

외국어고	외국어고/NNG
졸업생	졸업/NNG+생/XSN
가운데	가운데/NNG
어문계열로	어문/NNG+계열/NNG+로/JKB
진학한	진학/NNG+하/XSV+ㄴ/ETM
학생은	학생/NNG+은/JX
네	네/MMN
명	명/NNB
한	한/MMN
명꼴뿐인	명/NNB+꼴/XSN+뿐/JX+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.216.3.1
권영길 민주노동당 의원이 25일 진보신당 주최로 열린 ‘교육혁명을 위한 토론회’에서 공개한 자료를 보면, 올해 전국 30개 외고 졸업생 8162명 가운데 대학에 진학한 6766명의 25%인 1689명만이 ‘동일계열’인 어문계열에 진학했다.

권영길	권영길/NNP
민주노동당	민주노동당/NNP
의원이	의원/NNG+이/JKS
25일	25/SN+일/NNB
진보신당	진보신당/NNP
주최로	주최/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
‘교육혁명을	‘/SS+교육/NNG+혁명/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
토론회’에서	토론회/NNG+’/SS+에서/JKB
공개한	공개/NNG+하/XSV+ㄴ/ETM
자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
올해	올해/NNG
전국	전국/NNG
30개	30/SN+개/NNB
외고	외고/NNG
졸업생	졸업/NNG+생/XSN
8162명	8162/SN+명/NNB
가운데	가운데/NNG
대학에	대학/NNG+에/JKB
진학한	진학/NNG+하/XSV+ㄴ/ETM
6766명의	6766/SN+명/NNB+의/JKG
25%인	25/SN+%/SW+이/VCP+ㄴ/ETM
1689명만이	1689/SN+명/NNB+만/JX+이/JKS
‘동일계열’인	‘/SS+동일/NNG+계열/NNG+’/SS+이/VCP+ㄴ/ETM
어문계열에	어문/NNG+계열/NNG+에/JKB
진학했다.	진학/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.216.3.2
권 의원은 “외고가 ‘외국어 분야의 전문적인 교육’이라는 설립 취지를 벗어나 갈수록 입시학원화하고 있다는 사실을 알 수 있다”며 “이런 상황이라면 외고가 더 이상 특수목적고일 이유가 없다”고 지적했다.

권	권/NNP
의원은	의원/NNG+은/JX
“외고가	“/SS+외고/NNG+가/JKS
‘외국어	‘/SS+외국어/NNG
분야의	분야/NNG+의/JKG
전문적인	전문/NNG+적/XSN+이/VCP+ㄴ/ETM
교육’이라는	교육/NNG+’/SS+이/VCP+라는/ETM
설립	설립/NNG
취지를	취지/NNG+를/JKO
벗어나	벗어나/VV+아/EC
갈수록	갈수록/MAG
입시학원화하고	입시/NNG+학원/NNG+화/XSN+하/XSV+고/EC
있다는	있/VX+다는/ETM
사실을	사실/NNG+을/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“이런	“/SS+이런/MMD
상황이라면	상황/NNG+이/VCP+라면/EC
외고가	외고/NNG+가/JKS
더	더/MAG
이상	이상/NNG
특수목적고일	특수/NNG+목적고/NNG+이/VCP+ㄹ/ETM
이유가	이유/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


