# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.402
metadata : {}


# id : NWRW1800000022.402.1.1
[수도권Ⅰ] 경기도·프랑크푸르트 교류 협의;독일의 자동차·신재생에너지업체 상륙 기대

[수도권Ⅰ]	[/SS+수도/NNG+권/XSN+Ⅰ/SL+]/SS
경기도·프랑크푸르트	경기도/NNP+·/SP+프랑크푸르트/NNP
교류	교류/NNG
협의;독일의	협의/NNG+;/SW+독일/NNP+의/JKG
자동차·신재생에너지업체	자동차/NNG+·/SP+신/XPN+재생/NNG+에너지/NNG+업체/NNG
상륙	상륙/NNG
기대	기대/NNG


# id : NWRW1800000022.402.2.1
독일 프랑크푸르트 페트라로스 시장 일행이 17일 수원 경기중소기업지원센터(중기센터)를 방문, 김문수 경기지사 및 홍기화 중기센터 대표이사와 오찬 간담회를 갖고 교류 확대에 협의했다.

독일	독일/NNP
프랑크푸르트	프랑크푸르트/NNP
페트라로스	페트라로스/NNP
시장	시장/NNG
일행이	일행/NNG+이/JKS
17일	17/SN+일/NNB
수원	수원/NNP
경기중소기업지원센터(중기센터)를	경기중소기업지원센터/NNP+(/SS+중기센터/NNP+)/SS+를/JKO
방문,	방문/NNG+,/SP
김문수	김문수/NNP
경기지사	경기/NNP+지사/NNG
및	및/MAG
홍기화	홍기화/NNP
중기센터	중기센터/NNP
대표이사와	대표/NNG+이사/NNG+와/JKB
오찬	오찬/NNG
간담회를	간담회/NNG+를/JKO
갖고	갖/VV+고/EC
교류	교류/NNG
확대에	확대/NNG+에/JKB
협의했다.	협의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.402.3.1
이 자리에서 페트라로스 시장 일행은 김 지사에게 내년 2월 프랑크푸르트 전시장에서 개최되는 소비재전시회인 '암비엔테(ambiente·프랑크푸르트 춘계소비재전시회)'에 도내 기업들의 대거 참여를 요청했다.

이	이/MMD
자리에서	자리/NNG+에서/JKB
페트라로스	페트라로스/NNP
시장	시장/NNG
일행은	일행/NNG+은/JX
김	김/NNP
지사에게	지사/NNG+에게/JKB
내년	내년/NNG
2월	2/SN+월/NNB
프랑크푸르트	프랑크푸르트/NNP
전시장에서	전시장/NNG+에서/JKB
개최되는	개최/NNG+되/XSV+는/ETM
소비재전시회인	소비재/NNG+전시회/NNG+이/VCP+ㄴ/ETM
'암비엔테(ambiente·프랑크푸르트	'/SS+암비엔테/NNP+(/SS+ambiente/SL+·/SP+프랑크푸르트/NNP
춘계소비재전시회)'에	춘계/NNG+소비재/NNG+전시회/NNG+)/SS+'/SS+에/JKB
도내	도내/NNG
기업들의	기업/NNG+들/XSN+의/JKG
대거	대거/MAG
참여를	참여/NNG+를/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.402.3.2
이로써 경기도는 공간 200㎡를 확보, 도내 기업들이 유럽시장 수출 확대에 한발 더 다가갈 수 있도록 교두보를 마련했다.

이로써	이/NP+로써/JKB
경기도는	경기도/NNP+는/JX
공간	공간/NNG
200㎡를	200/SN+㎡/SW+를/JKO
확보,	확보/NNG+,/SP
도내	도내/NNG
기업들이	기업/NNG+들/XSN+이/JKS
유럽시장	유럽/NNP+시장/NNG
수출	수출/NNG
확대에	확대/NNG+에/JKB
한발	한발/MAG
더	더/MAG
다가갈	다가가/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
교두보를	교두보/NNG+를/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.402.3.3
