# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.254
metadata : {}


# id : NWRW1800000030.254.1.1
[조선데스크] 여론조사를 믿습니까?

[조선데스크]	[/SS+조선/NNP+데스크/NNG+]/SS
여론조사를	여론/NNG+조사/NNG+를/JKO
믿습니까?	믿/VV+습니까/EF+?/SF


# id : NWRW1800000030.254.2.1
"이명박 대통령 지지율이 진짜로 40%를 넘나요?" 여론조사를 담당하는 기자로서 많이 받는 질문이다.

"이명박	"/SS+이명박/NNP
대통령	대통령/NNG
지지율이	지지/NNG+율/XSN+이/JKS
진짜로	진짜로/MAG
40%를	40/SN+%/SW+를/JKO
넘나요?"	넘/VV+나/EF+요/JX+?/SF+"/SS
여론조사를	여론/NNG+조사/NNG+를/JKO
담당하는	담당/NNG+하/XSV+는/ETM
기자로서	기자/NNG+로서/JKB
많이	많이/MAG
받는	받/VV+는/ETM
질문이다.	질문/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.254.2.2
이 대통령의 지지율이 지난 20개월 동안 40~50%를 유지하고 있음에도 이런 질문이 많은 것은 여론조사가 얼마나 '찬밥 신세'인지를 잘 보여주고 있다.

이	이/NNP
대통령의	대통령/NNG+의/JKG
지지율이	지지/NNG+율/XSN+이/JKS
지난	지나/VV+ㄴ/ETM
20개월	20/SN+개월/NNB
동안	동안/NNG
40~50%를	40/SN+~/SO+50/SN+%/SW+를/JKO
유지하고	유지/NNG+하/XSV+고/EC
있음에도	있/VX+음/ETN+에/JKB+도/JX
이런	이런/MMD
질문이	질문/NNG+이/JKS
많은	많/VA+은/ETM
것은	것/NNB+은/JX
여론조사가	여론/NNG+조사/NNG+가/JKS
얼마나	얼마나/MAG
'찬밥	'/SS+찬밥/NNG
신세'인지를	신세/NNG+'/SS+이/VCP+ㄴ지/EF+를/JKO
잘	잘/MAG
보여주고	보이/VV+어/EC+주/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.254.3.1
여론조사에 대한 불신은 여론조사업계 종사자들도 높다.

여론조사에	여론/NNG+조사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불신은	불신/NNG+은/JX
여론조사업계	여론/NNG+조사업/NNG+계/XSN
종사자들도	종사자/NNG+들/XSN+도/JX
높다.	높/VA+다/EF+./SF


# id : NWRW1800000030.254.3.2
지난 2006년 한국조사협회 자료에 따르면 조사업계 종사자 중에서 "여론조사를 믿는다"는 비율은 절반가량인 59%에 머물렀다.

지난	지나/VV+ㄴ/ETM
2006년	2006/SN+년/NNB
한국조사협회	한국조사협회/NNP
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
조사업계	조사업/NNG+계/XSN
종사자	종사자/NNG
중에서	중/NNB+에서/JKB
"여론조사를	"/SS+여론/NNG+조사/NNG+를/JKO
믿는다"는	믿/VV+는다/EF+"/SS+는/ETM
비율은	비율/NNG+은/JX
절반가량인	절반/NNG+가량/XSN+이/VCP+ㄴ/ETM
59%에	59/SN+%/SW+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.254.3.3
불신 이유로는 '솔직하지 못한 응답'이 많이 꼽혔지만, '대중의 속마음을 읽는 과학'이란 여론조사의 존재 이유를 스스로 부정한 셈이다.

불신	불신/NNG
이유로는	이유/NNG+로/JKB+는/JX
'솔직하지	'/SS+솔직하/VA+지/EC
못한	못하/VX+ㄴ/ETM
응답'이	응답/NNG+'/SS+이/JKS
많이	많이/MAG
꼽혔지만,	꼽히/VV+었/EP+지만/EC+,/SP
'대중의	'/SS+대중/NNG+의/JKG
속마음을	속마음/NNG+을/JKO
읽는	읽/VV+는/ETM
과학'이란	과학/NNG+'/SS+이/VCP+란/ETM
여론조사의	여론/NNG+조사/NNG+의/JKG
존재	존재/NNG
이유를	이유/NNG+를/JKO
스스로	스스로/MAG
부정한	부정/NNG+하/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.254.4.1
조사업계가 '응답자 탓'만 하고 조사방식의 개선에 소홀했던 것은 작년 지방선거에서 전화 여론조사가 크게 빗나간 '참사'로 이어졌다.

조사업계가	조사업/NNG+계/XSN+가/JKS
'응답자	'/SS+응답자/NNG
탓'만	탓/NNG+'/SS+만/JX
하고	하/VV+고/EC
조사방식의	조사/NNG+방식/NNG+의/JKG
개선에	개선/NNG+에/JKB
소홀했던	소홀/NNG+하/XSA+았/EP+던/ETM
것은	것/NNB+은/JX
작년	작년/NNG
지방선거에서	지방/NNG+선거/NNG+에서/JKB
전화	전화/NNG
여론조사가	여론/NNG+조사/NNG+가/JKS
크게	크/VA+게/EC
빗나간	빗나가/VV+ㄴ/ETM
'참사'로	'/SS+참사/NNG+'/SS+로/JKB
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.254.4.2
전화 여론조사는 수십년간 전화번호부에 등록된 집전화를 대상으로 하는 방식을 썼지만, 그동안 통신환경은 엄청나게 바뀌었기 때문이다.

전화	전화/NNG
여론조사는	여론/NNG+조사/NNG+는/JX
수십년간	수십/NR+년/NNB+간/XSN
