# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.386
metadata : {}


# id : NWRW1800000026.386.1.1
[대한민국이 공격당했다] 李대통령 "서해 5도, 세계 최고 장비 갖춰 철저하게 대응하라";北, 올 세 차례 空地 훈련

[대한민국이	[/SS+대한민국/NNP+이/JKS
공격당했다]	공격/NNG+당하/XSV+았/EP+다/EF+]/SS
李대통령	李/SH+대통령/NNG
"서해	"/SS+서해/NNP
5도,	5도/NNG+,/SP
세계	세계/NNG
최고	최고/NNG
장비	장비/NNG
갖춰	갖추/VV+어/EC
철저하게	철저/NNG+하/XSA+게/EC
대응하라";北,	대응/NNG+하/XSV+라/EF+"/SS+;/SP+北/SH+,/SP
올	올/NNG
세	세/MMN
차례	차례/NNG
空地	空地/SH
훈련	훈련/NNG


# id : NWRW1800000026.386.2.1
정부가 25일 북한의 연평도 포격 도발과 관련된 1차 대책을 내놓았다.

정부가	정부/NNG+가/JKS
25일	25/SN+일/NNB
북한의	북한/NNP+의/JKG
연평도	연평도/NNP
포격	포격/NNG
도발과	도발/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
1차	1/SN+차/NNB
대책을	대책/NNG+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.386.2.2
안보와 경제 분야 등으로 나눠서 나온 응급 처방이었다.

안보와	안보/NNG+와/JC
경제	경제/NNG
분야	분야/NNG
등으로	등/NNB+으로/JKB
나눠서	나누/VV+어서/EC
나온	나오/VV+ㄴ/ETM
응급	응급/NNG
처방이었다.	처방/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.386.3.1
이번 대책의 핵심은 당장 큰 피해를 입은 서해 5도 지역문제였다.

이번	이번/NNG
대책의	대책/NNG+의/JKG
핵심은	핵심/NNG+은/JX
당장	당장/NNG
큰	크/VA+ㄴ/ETM
피해를	피해/NNG+를/JKO
입은	입/VV+은/ETM
서해	서해/NNP
5도	5도/NNG
지역문제였다.	지역/NNG+문제/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.386.3.2
