# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.394
metadata : {}


# id : NWRW1800000040.394.1.1
열람방식·공개범위 결정안돼 여야공방 제2라운드 이어질듯

열람방식·공개범위	열람/NNG+방식/NNG+·/SP+공개/NNG+범위/NNG
결정안돼	결정/NNG+안/MAG+되/XSV+어/EC
여야공방	여야/NNG+공방/NNG
제2라운드	제/XPN+2/SN+라운드/NNG
이어질듯	이어지/VV+ㄹ/ETM+듯/NNB


# id : NWRW1800000040.394.2.1
봉인 풀린 ‘대화록’ 남은 쟁점은

봉인	봉인/NNG
풀린	풀리/VV+ㄴ/ETM
‘대화록’	‘/SS+대화록/NNG+’/SS
남은	남/VV+은/ETM
쟁점은	쟁점/NNG+은/JX


# id : NWRW1800000040.394.3.1
정치권 아전인수식 해석으로

정치권	정치/NNG+권/XSN
아전인수식	아전인수식/NNG
해석으로	해석/NNG+으로/JKB


# id : NWRW1800000040.394.4.1
말끔한 논란해소 기대 힘들어

말끔한	말끔하/VA+ㄴ/ETM
논란해소	논란/NNG+해소/NNG
기대	기대/NNG
힘들어	힘들/VA+어/EF


# id : NWRW1800000040.394.5.1
여야가 2일 국회 본회의에서 ‘2007년 남북정상회담 회의록 등 국가기록원 자료제출 요구안’을 통과시킴에 따라, 국가기록원 대통령기록관에 봉인돼 있던 ‘회담 전문’과 관련 자료들이 국회로 넘어오게 됐다.

여야가	여야/NNG+가/JKS
2일	2/SN+일/NNB
국회	국회/NNG
본회의에서	본회의/NNG+에서/JKB
‘2007년	‘/SS+2007/SN+년/NNB
남북정상회담	남북/NNP+정상/NNG+회담/NNG
회의록	회의록/NNG
등	등/NNB
국가기록원	국가/NNG+기록원/NNG
자료제출	자료/NNG+제출/NNG
요구안’을	요구안/NNG+’/SS+을/JKO
통과시킴에	통과/NNG+시키/XSV+ㅁ/ETN+에/JKB
따라,	따르/VV+아/EC+,/SP
대통령기록관에	대통령/NNG+기록관/NNG+에/JKB
봉인돼	봉인/NNG+되/XSV+어/EC
있던	있/VX+던/ETM
‘회담	‘/SS+회담/NNG
전문’과	전문/NNG+’/SS+과/JC
관련	관련/NNG
자료들이	자료/NNG+들/XSN+이/JKS
국회로	국회/NNG+로/JKB
넘어오게	넘어오/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.394.6.1
국회가 열람·공개를 요청한 대상은 국가기록원에 있는 정상회담 회의록(대화록), 녹음기록물(녹음파일 및 녹취록 포함), 회담 사전준비 및 사후 조처와 관련된 회의록과 보고서 등이다.

국회가	국회/NNG+가/JKS
열람·공개를	열람/NNG+·/SP+공개/NNG+를/JKO
요청한	요청/NNG+하/XSV+ㄴ/ETM
대상은	대상/NNG+은/JX
국가기록원에	국가/NNG+기록원/NNG+에/JKB
있는	있/VA+는/ETM
정상회담	정상/NNG+회담/NNG
회의록(대화록),	회의록/NNG+(/SS+대화록/NNG+)/SS+,/SP
녹음기록물(녹음파일	녹음/NNG+기록물/NNG+(/SS+녹음/NNG+파일/NNG
및	및/MAG
녹취록	녹취록/NNG
포함),	포함/NNG+)/SS+,/SP
회담	회담/NNG
사전준비	사전/NNG+준비/NNG
사후	사후/NNG
조처와	조처/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
회의록과	회의록/NNG+과/JC
보고서	보고서/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.394.6.2
회담 당시 대통령비서실장이었던 문재인 민주당 의원이 노무현 전 대통령의 서해 ‘북방한계선(NLL) 발언’을 둘러싼 논란의 진위를 명확히 가려줄 자료들이라고 지목한 것들이기도 하다.

회담	회담/NNG
당시	당시/NNG
대통령비서실장이었던	대통령/NNG+비서실장/NNG+이/VCP+었/EP+던/ETM
문재인	문재인/NNP
민주당	민주당/NNP
의원이	의원/NNG+이/JKS
노무현	노무현/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
서해	서해/NNP
‘북방한계선(NLL)	‘/SS+북방/NNG+한계선/NNG+(/SS+NLL/SL+)/SS
발언’을	발언/NNG+’/SS+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
논란의	논란/NNG+의/JKG
진위를	진위/NNG+를/JKO
명확히	명확히/MAG
가려줄	가리/VV+어/EC+주/VX+ㄹ/ETM
자료들이라고	자료/NNG+들/XSN+이/VCP+라고/EC
지목한	지목/NNG+하/XSV+ㄴ/ETM
것들이기도	것/NNB+들/XSN+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000040.394.6.3
반면 최근 국가정보원이 국회 정보위원회 소속 새누리당 의원들만을 상대로 공개했던 것은, 회담 당시 녹음된 내용을 국정원이 그대로 풀어 옮겨적었다는 대화록 전문과, 전문 내용과는 일부 다른 내용에 오타까지 있는 발췌본 두 가지였다.

반면	반면/NNG
최근	최근/MAG
국가정보원이	국가/NNG+정보원/NNG+이/JKS
국회	국회/NNG
정보위원회	정보/NNG+위원회/NNG
소속	소속/NNG
새누리당	새누리당/NNP
의원들만을	의원/NNG+들/XSN+만/JX+을/JKO
상대로	상대/NNG+로/JKB
공개했던	공개/NNG+하/XSV+았/EP+던/ETM
것은,	것/NNB+은/JX+,/SP
회담	회담/NNG
당시	당시/NNG
녹음된	녹음/NNG+되/XSV+ㄴ/ETM
내용을	내용/NNG+을/JKO
국정원이	국정원/NNG+이/JKS
그대로	그대로/MAG
풀어	풀/VV+어/EC
옮겨적었다는	옮기/VV+어/EC+적/VV+었/EP+다는/ETM
대화록	대화록/NNG
전문과,	전문/NNG+과/JC+,/SP
전문	전문/NNG
내용과는	내용/NNG+과/JKB+는/JX
일부	일부/NNG
다른	다르/VA+ㄴ/ETM
내용에	내용/NNG+에/JKB
오타까지	오타/NNG+까지/JX
있는	있/VA+는/ETM
발췌본	발췌본/NNG
두	두/MMN
가지였다.	가지/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.394.7.1
자료제출 요구안이 본회의를 통과했기 때문에, 이제 국회의장이 국가기록원에 국회 재적의원 3분의 2 이상 찬성으로 요구안이 통과됐다는 증거자료를 제시해 열람 등을 요청하면, 국가기록원장은 의장의 요청을 받은 10일 이내에 사본 제출 등을 통한 열람에 응하게 된다.

자료제출	자료/NNG+제출/NNG
요구안이	요구안/NNG+이/JKS
본회의를	본회의/NNG+를/JKO
통과했기	통과/NNG+하/XSV+았/EP+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
이제	이제/MAG
국회의장이	국회/NNG+의장/NNG+이/JKS
국가기록원에	국가/NNG+기록원/NNG+에/JKB
국회	국회/NNG
재적의원	재적/NNG+의원/NNG
3분의	3/SN+분/XSN+의/JKG
2	2/SN
이상	이상/NNG
