# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.202
metadata : {}


# id : NWRW1800000046.202.1.1
내일 첫골 태극전사, 한국 아시안컵 100호골 주인공

내일	내일/MAG
첫골	첫/MMN+골/NNG
태극전사,	태극/NNG+전사/NNG+,/SP
한국	한국/NNP
아시안컵	아시안/NNP+컵/NNG
100호골	100/SN+호/NNB+골/NNG
주인공	주인공/NNG


# id : NWRW1800000046.202.2.1
최순호, 1980년 7골 몰아넣어… 이동국 통산 10골로 최다 득점

최순호,	최순호/NNP+,/SP
1980년	1980/SN+년/NNB
7골	7/SN+골/NNG
몰아넣어…	몰아넣/VV+어/EC+…/SE
이동국	이동국/NNP
통산	통산/NNG
10골로	10/SN+골/NNG+로/JKB
최다	최다/NNG
득점	득점/NNG


# id : NWRW1800000046.202.3.1
한국 축구대표팀 선수들에게 경기에 임하는 각오를 물으면 한결같이 "골 욕심보다 팀이 이기는 게 먼저"라고 한다.

한국	한국/NNP
축구대표팀	축구/NNG+대표/NNG+팀/NNG
선수들에게	선수/NNG+들/XSN+에게/JKB
경기에	경기/NNG+에/JKB
임하는	임하/VV+는/ETM
각오를	각오/NNG+를/JKO
물으면	묻/VV+으면/EC
한결같이	한결같이/MAG
"골	"/SS+골/NNG
욕심보다	욕심/NNG+보다/JKB
팀이	팀/NNG+이/JKS
이기는	이기/VV+는/ETM
게	거/NNB+이/JKS
먼저"라고	먼저/NNG+"/SS+라고/JKQ
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.202.3.2
하지만 오는 31일 호주와의 아시안컵 결승전을 앞두고는 달라진 모습이다.

하지만	하지만/MAJ
오는	오/VV+는/ETM
31일	31/SN+일/NNB
호주와의	호주/NNP+와/JKB+의/JKG
아시안컵	아시안/NNP+컵/NNG
결승전을	결승전/NNG+을/JKO
앞두고는	앞두/VV+고/EC+는/JX
달라진	달라지/VV+ㄴ/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.202.4.1
지난 28일 호주 시드니 코가라 파크에서 열린 대표팀의 훈련 분위기는 처음부터 끝까지 진지했다.

지난	지나/VV+ㄴ/ETM
28일	28/SN+일/NNB
호주	호주/NNP
시드니	시드니/NNP
코가라	코가라/NNP
파크에서	파크/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
대표팀의	대표/NNG+팀/NNG+의/JKG
훈련	훈련/NNG
분위기는	분위기/NNG+는/JX
처음부터	처음/NNG+부터/JX
끝까지	끝/NNG+까지/JX
진지했다.	진지하/VA+았/EP+다/EF+./SF


# id : NWRW1800000046.202.4.2
이근호(엘자이시), 손흥민(레버쿠젠) 등 공격수들은 강하게 슈팅을 날리며 킥을 가다듬었다.

이근호(엘자이시),	이근호/NNP+(/SS+엘자이시/NNP+)/SS+,/SP
손흥민(레버쿠젠)	손흥민/NNP+(/SS+레버쿠젠/NNP+)/SS
등	등/NNB
공격수들은	공격수/NNG+들/XSN+은/JX
강하게	강하/VA+게/EC
슈팅을	슈팅/NNG+을/JKO
날리며	날리/VV+며/EC
킥을	킥/NNG+을/JKO
가다듬었다.	가다듬/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.202.4.3
공이 골대를 맞고 나오면 눈을 질끈 감고 아쉬워했다.

공이	공/NNG+이/JKS
골대를	골대/NNG+를/JKO
맞고	맞/VV+고/EC
나오면	나오/VV+면/EC
눈을	눈/NNG+을/JKO
질끈	질끈/MAG
감고	감/VV+고/EC
아쉬워했다.	아쉬워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.202.4.4
체력 회복에 중점을 둔 훈련이지만 선수들의 움직임은 실전을 방불케 할 정도로 매서웠다.

체력	체력/NNG
회복에	회복/NNG+에/JKB
중점을	중점/NNG+을/JKO
둔	두/VV+ㄴ/ETM
훈련이지만	훈련/NNG+이/VCP+지만/EC
선수들의	선수/NNG+들/XSN+의/JKG
움직임은	움직임/NNG+은/JX
실전을	실전/NNG+을/JKO
방불케	방불하/VA+게/EC
할	하/VX+ㄹ/ETM
정도로	정도/NNG+로/JKB
매서웠다.	매섭/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.202.4.5
29일 시드니 레이카르트 오벌에서 비공개로 진행된 훈련에서도 선수들은 몸을 사리지 않는 모습을 보였다고 한다.

29일	29/SN+일/NNB
시드니	시드니/NNP
레이카르트	레이카르트/NNP
오벌에서	오벌/NNG+에서/JKB
비공개로	비/XPN+공개/NNG+로/JKB
진행된	진행/NNG+되/XSV+ㄴ/ETM
훈련에서도	훈련/NNG+에서/JKB+도/JX
선수들은	선수/NNG+들/XSN+은/JX
몸을	몸/NNG+을/JKO
사리지	사리/VV+지/EC
않는	않/VX+는/ETM
모습을	모습/NNG+을/JKO
보였다고	보이/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.202.4.6
이처럼 대표팀이 다른 때보다 눈에 불을 켜고 훈련에 열을 올리는 이유는 한국이 다음 경기에서 골을 넣으면 아시안컵 통산 100번째 골 고지에 오르기 때문이다.

이처럼	이/NP+처럼/JKB
대표팀이	대표/NNG+팀/NNG+이/JKS
다른	다른/MMD
때보다	때/NNG+보다/JKB
눈에	눈/NNG+에/JKB
불을	불/NNG+을/JKO
켜고	켜/VV+고/EC
훈련에	훈련/NNG+에/JKB
열을	열/NNG+을/JKO
올리는	올리/VV+는/ETM
이유는	이유/NNG+는/JX
한국이	한국/NNP+이/JKS
다음	다음/NNG
경기에서	경기/NNG+에서/JKB
골을	골/NNG+을/JKO
넣으면	넣/VV+으면/EC
아시안컵	아시안/NNP+컵/NNG
통산	통산/NNG
100번째	100/SN+번/NNB+째/XSN
골	골/NNG
고지에	고지/NNG+에/JKB
오르기	오르/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.202.4.7
아시아 최고의 권위를 자랑하는 축구대회인 아시안컵에서 통산 100번째 골을 돌파하는 건 쉽게 다가갈 수 없는 대기록이다.

아시아	아시아/NNP
최고의	최고/NNG+의/JKG
권위를	권위/NNG+를/JKO
자랑하는	자랑/NNG+하/XSV+는/ETM
축구대회인	축구/NNG+대회/NNG+이/VCP+ㄴ/ETM
아시안컵에서	아시안/NNP+컵/NNG+에서/JKB
통산	통산/NNG
100번째	100/SN+번/NNB+째/XSN
골을	골/NNG+을/JKO
돌파하는	돌파/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
쉽게	쉽/VA+게/EC
다가갈	다가가/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
