# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.96
metadata : {}


# id : NWRW1800000046.96.1.1
[추억人] 박상천 前 민주당 대표

[추억人]	[/SS+추억/NNG+人/SH+]/SS
박상천	박상천/NNP
前	前/SH
민주당	민주당/NNP
대표	대표/NNG


# id : NWRW1800000046.96.2.1
장외 투쟁보다 대화 강조한 '名대변인'

장외	장외/NNG
투쟁보다	투쟁/NNG+보다/JKB
대화	대화/NNG
강조한	강조/NNG+하/XSV+ㄴ/ETM
'名대변인'	'/SS+名/SH+대변인/NNG+'/SS


# id : NWRW1800000046.96.3.1
박상천(76) 민주당 전 대표가 4일 오전 지병으로 별세했다.

박상천(76)	박상천/NNP+(/SS+76/SN+)/SS
민주당	민주당/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
4일	4/SN+일/NNB
오전	오전/NNG
지병으로	지병/NNG+으로/JKB
별세했다.	별세/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.96.3.2
1938년 전남 고흥에서 태어난 그는 광주고를 거쳐 서울대 법대에 입학했다.

1938년	1938/SN+년/NNB
전남	전남/NNP
고흥에서	고흥/NNP+에서/JKB
태어난	태어나/VV+ㄴ/ETM
그는	그/NP+는/JX
광주고를	광주고/NNP+를/JKO
거쳐	거치/VV+어/EC
서울대	서울대/NNP
법대에	법대/NNG+에/JKB
입학했다.	입학/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.96.3.3
재학 중이던 1961년 사시에 합격, 이후 2년을 판사, 20년을 검사로 활동했다.

재학	재학/NNG
중이던	중/NNB+이/VCP+던/ETM
1961년	1961/SN+년/NNB
사시에	사시/NNG+에/JKB
합격,	합격/NNG+,/SP
이후	이후/NNG
2년을	2/SN+년/NNB+을/JKO
판사,	판사/NNG+,/SP
20년을	20/SN+년/NNB+을/JKO
검사로	검사/NNG+로/JKB
활동했다.	활동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.96.3.4
1988년 김대중 전 대통령의 평민당 소속으로 고향에서 처음 당선됐고, 이후 5선(13·14·15·16·18대) 의원을 지냈다.

1988년	1988/SN+년/NNB
김대중	김대중/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
평민당	평민당/NNP
소속으로	소속/NNG+으로/JKB
고향에서	고향/NNG+에서/JKB
처음	처음/NNG
당선됐고,	당선/NNG+되/XSV+었/EP+고/EC+,/SP
이후	이후/NNG
5선(13·14·15·16·18대)	5/SN+선/NNB+(/SS+13/SN+·/SP+14/SN+·/SP+15/SN+·/SP+16/SN+·/SP+18/SN+대/NNB+)/SS
의원을	의원/NNG+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.96.4.1
김 전 대통령은 율사 출신에 토론을 즐기며 때론 대들기도 했던 그를 아꼈다.

김	김/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
율사	율사/NNG
출신에	출신/NNG+에/JKB
토론을	토론/NNG+을/JKO
즐기며	즐기/VV+며/EC
때론	때로/MAG+ㄴ/JX
대들기도	대들/VV+기/ETN+도/JX
했던	하/VX+았/EP+던/ETM
그를	그/NP+를/JKO
아꼈다.	아끼/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.96.4.2
당 대변인, 원내총무에 이어 1998년 김대중 정부 초대 법무장관에 기용했다.

당	당/NNG
대변인,	대변인/NNG+,/SP
원내총무에	원내/NNG+총무/NNG+에/JKB
이어	잇/VV+어/EC
1998년	1998/SN+년/NNB
김대중	김대중/NNP
정부	정부/NNG
초대	초대/NNG
법무장관에	법무/NNG+장관/NNG+에/JKB
기용했다.	기용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.96.4.3
김 전 대통령 앞에서도 담배 피우며 토론하던 몇 안 되는 정치인이었다.

김	김/NNP
전	전/MMD
대통령	대통령/NNG
앞에서도	앞/NNG+에서/JKB+도/JX
담배	담배/NNG
피우며	피우/VV+며/EC
토론하던	토론/NNG+하/XSV+던/ETM
몇	몇/NR
안	안/MAG
되는	되/VV+는/ETM
정치인이었다.	정치인/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.96.4.4
논쟁 사안에 대해선 상대에게 "첫째, 둘째…"로 시작하는 어법으로 설득했다.

논쟁	논쟁/NNG
사안에	사안/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
상대에게	상대/NNG+에게/JKB
"첫째,	"/SS+첫째/NR+,/SP
둘째…"로	둘째/NR+…/SE+"/SS+로/JKB
시작하는	시작/NNG+하/XSV+는/ETM
어법으로	어법/NNG+으로/JKB
설득했다.	설득/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.96.4.5
주요 법안 통과를 주도해 '법안 제조기'라는 별명도 얻었다.

주요	주요/NNG
법안	법안/NNG
통과를	통과/NNG+를/JKO
주도해	주도/NNG+하/XSV+아/EC
'법안	'/SS+법안/NNG
제조기'라는	제조기/NNG+'/SS+이/VCP+라는/ETM
별명도	별명/NNG+도/JX
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.96.4.6
그와 동갑에다가 대학, 사시 합격, 정치 입문(1988년) 시기까지 같은 박희태 전 국회의장과 여야 '명(名)대변인' 시대를 열었다.

그와	그/NP+와/JKB
동갑에다가	동갑/NNG+에다가/JKB
대학,	대학/NNG+,/SP
사시	사시/NNG
합격,	합격/NNG+,/SP
정치	정치/NNG
입문(1988년)	입문/NNG+(/SS+1988/SN+년/NNB+)/SS
시기까지	시기/NNG+까지/JX
같은	같/VA+은/ETM
박희태	박희태/NNP
전	전/MMD
국회의장과	국회/NNG+의장/NNG+과/JKB
여야	여야/NNG
'명(名)대변인'	'/SS+명/NA+(/SS+名/SH+)/SS+대변인/NNG+'/SS
시대를	시대/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.96.4.7
박 전 의장은 빈소를 찾아 "난 한 마리 짝 잃은 거위" "난 (고인의) 맞수가 아니라 하수"라고 했다.

박	박/NNP
전	전/MMD
의장은	의장/NNG+은/JX
빈소를	빈소/NNG+를/JKO
찾아	찾/VV+아/EC
"난	"/SS+나/NP+ㄴ/JX
한	한/MMN
마리	마리/NNB
짝	짝/NNG
