# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.37
metadata : {}


# id : NWRW1800000053.37.1.1
“융합형 창의 인재 양성… 산업의 밑거름 만들겠다”

“융합형	“/SS+융합/NNG+형/XSN
창의	창의/NNG
인재	인재/NNG
양성…	양성/NNG+…/SE
산업의	산업/NNG+의/JKG
밑거름	밑거름/NNG
만들겠다”	만들/VV+겠/EP+다/EF+”/SS


# id : NWRW1800000053.37.2.1
박태현 한국과학창의재단 이사장

박태현	박태현/NNP
한국과학창의재단	한국과학창의재단/NNP
이사장	이사장/NNG


# id : NWRW1800000053.37.3.1
“지난 50년간 과학기술에 대한 관심이 사회 저변에 스며들 수 있도록 다양한 활동을 펼쳐왔다.

“지난	“/SS+지나/VV+ㄴ/ETM
50년간	50/SN+년/NNB+간/XSN
과학기술에	과학/NNG+기술/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심이	관심/NNG+이/JKS
사회	사회/NNG
저변에	저변/NNG+에/JKB
스며들	스며들/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
활동을	활동/NNG+을/JKO
펼쳐왔다.	펼치/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.37.3.2
앞으로는 한 걸음 더 나아가 과학기술이 산업의 밑거름이 될 수 있도록 인재를 육성하는 등 기반 조성에 힘쓰겠다.”

앞으로는	앞/NNG+으로/JKB+는/JX
한	한/MMN
걸음	걸음/NNG
더	더/MAG
나아가	나아가/VV+아/EC
과학기술이	과학/NNG+기술/NNG+이/JKS
산업의	산업/NNG+의/JKG
밑거름이	밑거름/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
인재를	인재/NNG+를/JKO
육성하는	육성/NNG+하/XSV+는/ETM
등	등/NNB
기반	기반/NNG
조성에	조성/NNG+에/JKB
힘쓰겠다.”	힘쓰/VV+겠/EP+다/EF+./SF+”/SS


